scenario,line,bus0,bus1,capacity_MW,mean_abs_flow_MW,max_abs_flow_MW,utilisation_max_pct,congested_hours_95pct,net_flow_MWh_bus0_to_bus1
baseline_2025,Bus1-Bus2,Bus1,Bus2,5000.0,2141.8552598144825,2471.452353160799,49.429047063215975,0,-359831.6836488331
baseline_2025,Bus2-Bus3,Bus2,Bus3,5000.0,3845.8163295072018,5000.0,100.0,19,-644963.7054936113
baseline_2025,Bus3-Bus4,Bus3,Bus4,5000.0,3539.166842681192,5000.0,100.0,74,-582290.5856687428
baseline_2025,Bus4-Bus5,Bus4,Bus5,5000.0,2476.0995227031185,5000.0,100.0,15,-401408.004698651
baseline_2025,Bus6-Bus7,Bus6,Bus7,5000.0,2399.0608776507547,5000.0,100.0,14,-13673.497484810716
baseline_2025,Bus7-Bus8,Bus7,Bus8,5000.0,2534.4607830543573,5000.0,100.0,7,41191.71805835974
baseline_2025,Bus8-Bus9,Bus8,Bus9,5000.0,2233.5736870589362,5000.0,100.0,29,235521.99925174174
baseline_2025,Bus9-Bus10,Bus9,Bus10,5000.0,2475.7445607728723,5000.0,100.0,25,218511.6240935717
baseline_2025,Bus10-Bus11,Bus10,Bus11,5000.0,2999.7799831314906,5000.0,100.0,41,306255.7594641374
baseline_2025,Bus11-Bus12,Bus11,Bus12,5000.0,2792.7181886613885,5000.0,100.0,35,144017.68835662317
baseline_2025,Bus12-Bus13,Bus12,Bus13,5000.0,2870.873016065325,5000.0,100.0,39,-11409.239776553135
baseline_2025,Bus13-Bus14,Bus13,Bus14,5000.0,2982.8044185069452,5000.0,100.0,48,-173108.43738116685
baseline_2025,Bus14-Bus15,Bus14,Bus15,5000.0,3379.2778956033726,5000.0,100.0,14,-256904.91507926473
baseline_2025,Bus15-Bus16,Bus15,Bus16,5000.0,2883.2182526666575,5000.0,100.0,2,-353819.9756323797
baseline_2025,Bus16-Bus17,Bus16,Bus17,5000.0,2442.5326542977414,5000.0,100.0,2,-310166.35989228653
baseline_2025,Bus17-Bus18,Bus17,Bus18,5000.0,1761.373462901079,5000.0,100.0,1,-193136.25362597257
baseline_2025,Bus18-Bus19,Bus18,Bus19,5000.0,1319.8554658728458,5000.0,100.0,2,-134241.52438743832
baseline_2025,Bus19-Bus20,Bus19,Bus20,5000.0,622.3954964280761,4961.72614219876,99.23452284397518,2,-59861.83613561516
baseline_2025,Bus1-Bus6,Bus1,Bus6,1500.0,1500.0,1500.0,100.0,168,252000.0
baseline_2025,Bus2-Bus7,Bus2,Bus7,1500.0,1500.0,1500.0,100.0,168,252000.0
baseline_2025,Bus3-Bus8,Bus3,Bus8,1500.0,1500.0,1500.0,100.0,168,252000.0
