hour,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
0,0.0,26.808225,3386.6839,5653.3647,3182.2403,740.87191,415.485067,2085.21031,524.9677800000001,926.83266,952.10865,470.150184,353.960088,2213.74462,864.6854900000001,754.433028,889.05827,560.97892,504.23286,560.32455
1,0.0,0.0,4956.8335,4156.1711,1829.1317,630.725833,548.20415,2208.04767,491.10580000000004,832.466588,993.9387300000001,481.118962,374.576451,2043.33842,889.58943,830.9043100000001,828.35451,609.14362,504.23286,555.55828
2,0.0,0.0,1882.2256,5383.7657,3075.1275,682.1576699999999,477.40637,2208.97934,495.16213000000005,919.01162,905.36629,466.793453,428.11626,2207.59631,745.302389,765.7676700000001,912.99802,497.27343,546.055927,582.33196
3,0.0,0.0,7127.1107,3236.6787,0.0,637.511116,529.18993,2094.7446,398.66915900000004,846.541413,902.64495,523.18619,465.72266,2135.57873,744.336478,772.3317900000001,889.92271,528.39264,573.615319,612.09352
4,0.0,264.98943,5413.0645,1573.2819,3541.333,653.5199849999999,520.7863600000001,2146.59049,362.27532,948.38601,913.39129,592.96732,407.82462,2087.40508,830.17547,757.322442,992.9261300000001,488.59211000000005,559.660795,585.1985999999999
5,0.0,0.0,6478.7321,2344.729,2974.2043,712.47585,558.19172,2193.7628999999997,497.49096000000003,934.39193,965.1176700000001,609.18155,402.414179,2066.12523,782.49357,829.49417,987.23789,537.28651,629.3224,580.52097
6,0.0,4991.0432,3378.2961,1249.3658,2792.2421,656.224328,549.07434,2086.20391,401.37489300000004,866.691236,856.18836,521.96375,435.70605,2121.78809,786.89916,832.52056,887.08202,425.683951,504.23286,533.88845
7,0.0,2229.1894,4076.6459,2567.1796,3597.9026,648.795521,491.41722,2086.57638,401.62899000000004,1016.86809,908.5049200000001,508.88853,476.88215,2174.26795,767.7583500000001,756.6266720000001,902.92629,488.58261000000005,591.28381,545.5735999999999
8,0.0,431.03964,4380.5826,2771.3941,4402.2931,596.34804,614.92018,2058.23432,478.89472,932.7415100000001,938.00994,424.35784,385.905486,2117.1566199999997,762.85857,732.762776,905.17498,432.111059,504.23286,642.10824
9,0.0,0.0,3159.1514,4303.1892,3912.6545,688.43904,548.94977,2026.3247099999999,440.30161000000004,939.21005,905.7673500000001,448.832755,354.44494499999996,2192.95289,678.42867,799.74739,883.03796,430.17136400000004,641.87824,654.48338
10,25.393893,3663.8484,3339.0973,2869.8023,1255.0847,688.14373,503.13716999999997,2033.7559,436.98019800000003,999.18258,880.64629,435.090416,452.51007,2037.3486400000002,785.09235,781.16994,910.53865,430.715877,610.03945,568.96677
11,0.0,3064.8419,4139.7697,2284.1406,2045.7964,770.25565,565.5214100000001,1993.83816,525.7839,1054.98409,910.88185,443.643092,429.16762,2100.63574,788.25333,829.1203300000001,856.56693,432.864333,646.93976,579.72928
12,0.0,3777.2221,2199.2801,3338.152,2956.5231,654.2669129999999,666.42354,2045.4657499999998,390.282437,953.93605,714.771727,468.172205,474.11613,2028.9697,717.016705,904.89093,830.31361,410.074337,594.0360000000001,527.18426
13,0.0,5720.6247,2736.6386,500.0,3884.1683,689.34482,636.75171,1994.1551789999999,475.24018,1013.6006500000001,872.6187,456.51403300000004,500.39691,2099.3547399999998,726.718971,830.2317800000001,909.18564,423.863047,712.29349,624.581
14,0.0,2314.6792,2975.8064,2889.2733,4666.9833,700.55914,577.99524,2033.65236,439.40947000000006,1036.23074,794.7539,424.35784,492.14239,2114.57134,678.42867,860.1610900000001,899.77342,490.94537,711.06509,591.43083
15,0.0,1813.6484,3217.8791,3560.6551,3722.755,777.41712,577.45749,1934.1361499999998,458.84558000000004,1052.1055900000001,724.854671,529.17272,593.0445,2037.9602100000002,760.42634,873.32824,817.58966,461.91911000000005,698.14223,646.30229
16,0.0,1953.675,3303.5979,1485.996,4935.6042,704.7496699999999,576.6479400000001,2019.3282399999998,531.64281,1027.2597600000001,831.32123,445.99597700000004,540.84514,1932.73071,768.59909,919.70928,891.58054,458.39286000000004,671.57712,495.47289
17,0.0,1441.6561,1399.0167,4317.8387,4288.168,734.7030299999999,692.74272,2036.40617,491.13927,999.37833,864.50517,520.57548,541.99648,2046.65689,743.603251,770.3845900000001,803.98852,396.076276,715.03018,509.92521999999997
18,157.35394,2224.9466,965.89788,3752.0572,4714.459,762.39777,602.63048,1926.0984899999999,503.67703000000006,973.96293,779.9219870000001,622.2183600000001,558.87033,2047.9901300000001,810.92918,856.29305,836.9818300000001,379.850373,657.3929,529.36221
19,0.0,1273.3053,3799.2542,3262.3093,4183.0693,752.3435099999999,598.23837,2001.2996600000001,541.6400100000001,1015.6369900000001,826.52543,483.143339,469.9101,2036.52551,747.107672,899.4608000000001,854.35265,478.95424,740.77991,538.8559
20,0.0,2498.5701,2920.1812,4593.0069,3019.8801,731.21173,620.1809000000001,2040.17617,481.0027,952.17555,852.87689,424.35784,576.22421,2069.1937900000003,802.0374400000001,949.48737,801.17082,483.13051,784.18617,484.52127
21,575.22924,0.0,1948.8965,5760.54,4686.2437,773.03068,571.4469,1926.0984899999999,468.25484000000006,852.7584410000001,832.8336,537.13212,516.28077,1946.08358,733.4891700000001,863.7801000000001,815.8456,522.17886,757.31417,440.715336
22,0.0,0.0,2410.0437,4737.2886,5236.3673,825.85156,536.51338,2059.76584,468.42127000000005,1012.44543,845.4716000000001,617.6971599999999,547.8718,2027.19195,794.38855,791.76943,758.505543,428.433257,667.68973,518.02536
23,0.0,0.0,3150.9432,5102.7574,3460.5911,728.5391199999999,528.95039,1998.296813,432.035563,1026.53923,798.60757,671.48293,453.64144999999996,2047.8106200000002,798.11995,912.1973300000001,766.882048,457.88361,720.93289,500.37149
24,0.0,0.0,1691.7252,4281.0195,5492.2789,792.88544,524.07639,1944.971171,641.88158,853.064169,764.9875900000001,522.45722,421.20149,1932.73071,829.29751,843.55032,760.122934,398.51484600000003,635.23265,409.846836
25,0.0,0.0,1884.532,2615.2064,7314.0896,756.1360999999999,514.5212799999999,1981.911463,491.45773,909.9648400000001,711.12238,618.35715,530.39624,1998.9699,810.4200900000001,808.56699,728.271874,472.1412,723.93966,515.96021
26,0.0,0.0,2252.113,3236.8517,6989.8497,854.22187,541.58203,2018.5954299999999,541.76089,980.2651900000001,753.390429,578.84577,498.104,1957.693788,832.61139,828.35445,753.530178,552.76178,711.78676,500.57618
27,108.68773,0.0,2394.4854,3788.6816,6641.1495,719.9846,496.96101,2001.82438,543.70652,1040.9058,728.192931,604.21043,423.36312999999996,1980.43369,889.96766,840.8480400000001,710.63517,490.41729,588.3453000000001,444.148267
28,0.0,59.282627,2373.5283,4859.3894,5513.5125,768.1814099999999,520.74887,2033.50674,576.0525600000001,927.9166,885.0508500000001,747.7618,413.80973,2005.155936,835.28474,809.5355400000001,736.351817,555.97083,615.1373,438.37429399999996
29,0.0,0.0,2078.6163,3140.906,6945.4213,813.28118,470.65582,1970.0867309999999,602.9446800000001,879.697173,775.2056190000001,544.93668,502.28934,1968.2544670000002,784.03792,718.621692,748.4712440000001,523.79174,649.4653900000001,460.72071
