hour,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
0,0.0,0.0,0.0,0.0,0.0,385.43484,6621.4724,3709.2135,7294.5845,6258.1149,8505.8305,7948.859,0.0,6944.2443,7441.208,8369.1728,5982.1037,6289.9901,5858.1785,6660.4822
1,0.0,0.0,0.0,0.0,0.0,6843.0189,0.0,0.0,6545.3674,5615.3522,7632.2079,6669.4919,7554.8839,0.0,6676.9314,7509.5862,5367.6898,5643.9536,5256.4927,5976.3929
2,0.0,0.0,0.0,0.0,0.0,0.0,5046.9113,0.0,5559.9599,3419.0537,6483.1762,6058.6504,0.0,5062.6409,5671.7169,6379.0152,4559.5821,4794.2543,4465.1258,5076.6448
3,0.0,0.0,0.0,0.0,0.0,2280.5759,4708.5832,5132.9727,0.0,0.0,6048.5657,0.0,5987.286,4174.3033,5291.5039,5951.3873,4253.9229,4472.8635,4165.7986,4736.3234
4,0.0,0.0,0.0,0.0,0.0,6072.5756,2451.5624,5747.6715,0.0,1303.9592,6772.9113,0.0,6296.4684,5301.1272,5925.1876,6664.0953,4763.3512,5008.5109,4664.6736,5303.5215
5,0.0,0.0,0.0,0.0,0.0,6943.0086,6396.1007,0.0,7046.3024,6045.1106,4320.3303,0.0,7730.6658,6597.0008,7187.9354,8084.3155,5778.4939,6075.9009,5658.7866,6433.7828
6,0.0,0.0,0.0,0.0,0.0,8417.9752,6749.4587,0.0,8051.8177,6907.7546,0.0,8774.0108,9293.6797,7102.6787,8213.6618,9237.9564,6603.0915,6942.9388,6466.3018,7351.8908
7,0.0,0.0,0.0,0.0,0.0,8520.7717,0.0,8064.8806,5915.8345,6992.109,9503.452,8881.1551,0.0,8037.1897,8313.9633,9350.7662,6683.7254,7027.7228,6545.2653,7441.6688
8,0.0,0.0,0.0,0.0,0.0,7688.379,0.0,7277.0238,7353.9568,0.0,3440.3298,8013.5566,8488.1851,6452.5216,7501.7737,8437.2915,6030.7934,6341.1858,5905.8595,6714.6934
9,0.0,0.0,0.0,0.0,0.0,3878.5109,5767.0517,6286.8421,4413.0053,0.0,7408.2563,0.0,7333.2012,4166.5397,6481.0104,7289.2326,5210.1858,5478.3432,5102.2516,5801.0278
10,0.0,0.0,0.0,0.0,0.0,6262.0855,0.0,5927.042,0.0,5138.6407,6984.2769,4708.7752,6913.5172,0.0,6110.0979,6872.065,4912.0034,5164.814,4810.2464,5469.0311
11,0.0,0.0,0.0,0.0,0.0,6915.7191,3174.8958,6545.7039,2034.1374,5675.0097,0.0,3566.9848,7205.9794,6285.0059,6747.8671,7589.368,5424.7161,5703.9149,5312.3377,6039.8861
12,0.0,0.0,0.0,0.0,0.0,8178.3922,7100.8157,0.0,5694.4517,6711.1539,9121.5867,0.0,9029.1734,7405.3553,7979.8938,8975.0361,6415.1617,6745.3367,6282.2652,7142.6495
13,0.0,0.0,0.0,0.0,0.0,9155.8791,5129.2581,8666.0075,6782.3847,0.0,4338.8609,9543.1241,10108.346,7671.5899,8933.656,10047.738,7181.906,7551.5438,7033.1257,7996.3437
14,0.0,0.0,0.0,0.0,0.0,9164.9823,6864.9357,0.0,8766.3321,0.0,10221.958,8333.5006,10118.396,8126.1088,8942.5382,10057.728,7189.0466,7559.0519,7040.1183,8004.294
15,0.0,0.0,0.0,0.0,0.0,8253.4028,7165.9429,3063.9605,7894.4037,51.373771,9205.248,8602.4778,9111.9871,0.0,8053.0837,9057.3533,6474.0002,6807.2035,6339.8848,7208.1604
16,0.0,0.0,0.0,0.0,0.0,7163.1092,0.0,6779.8578,6851.5347,1895.586,0.0,7020.0747,7367.4274,6650.028,6989.2528,7860.856,5618.7698,5907.9562,5502.3714,6255.9458
17,0.0,0.0,0.0,0.0,0.0,6765.1003,0.0,4822.5118,6470.838,5551.4125,6680.798,0.0,3457.5157,6369.6903,6600.904,7424.0777,5306.5701,5579.6883,5196.6392,5908.3422
18,0.0,0.0,0.0,0.0,0.0,7395.9583,6421.4744,4209.1219,0.0,6069.0919,8248.9165,7708.768,0.0,5723.4052,7216.4503,8116.3865,5801.4175,6100.0044,5681.2353,6459.306
