snapshot,onshore wind_Bus1,onshore wind_Bus2,onshore wind_Bus3,onshore wind_Bus4,onshore wind_Bus5,onshore wind_Bus6,onshore wind_Bus7,onshore wind_Bus8,onshore wind_Bus9,onshore wind_Bus10,onshore wind_Bus11,onshore wind_Bus12,onshore wind_Bus13,onshore wind_Bus14,onshore wind_Bus15,onshore wind_Bus16,onshore wind_Bus17,onshore wind_Bus18,onshore wind_Bus19,onshore wind_Bus20,gas_Bus1,gas_Bus2,gas_Bus3,gas_Bus4,gas_Bus5,gas_Bus6,gas_Bus7,gas_Bus8,gas_Bus9,gas_Bus10,gas_Bus11,gas_Bus12,gas_Bus13,gas_Bus14,gas_Bus15,gas_Bus16,gas_Bus17,gas_Bus18,gas_Bus19,gas_Bus20,nuclear_Bus2,nuclear_Bus8,nuclear_Bus14,LS_Bus1,LS_Bus2,LS_Bus3,LS_Bus4,LS_Bus5,LS_Bus6,LS_Bus7,LS_Bus8,LS_Bus9,LS_Bus10,LS_Bus11,LS_Bus12,LS_Bus13,LS_Bus14,LS_Bus15,LS_Bus16,LS_Bus17,LS_Bus18,LS_Bus19,LS_Bus20
0,0.0,4451.0622,7498.035,0.0,0.0,169.52387,45.022957,184.11182,187.69246,133.38919,265.98627,70.792344,51.199028,306.01391,211.25682,89.929448,203.4231,223.95659,25.0,202.39002,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,5091.4222,-0.0,3633.0623,15269.617,-0.0,11385.004,-0.0,5544.4043,6077.9574,16576.523,-0.0,2707.7853,11082.957,-0.0,11100.158
1,0.0,0.0,5704.0793,4156.1711,1631.8858,59.377793,177.74204,306.94918,153.83048,39.023118,307.81635,81.761122,71.815391,135.60771,236.16076,166.40073,142.71934,272.12129,25.0,197.62375,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13605.479,605.99285,-0.0,-0.0,6638.2692,13831.631,-0.0,15396.734,2466.0238,-0.0,14326.405,-0.0,-0.0,10420.835
2,0.0,0.0,2432.2256,5383.7657,3075.1275,110.80963,106.94426,307.88085,157.88681,125.56815,219.24391,67.435613,125.3552,299.8656,91.873719,101.26409,227.36285,160.2511,66.823067,224.39743,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,8630.6422,3069.505,-0.0,3286.3704,-0.0,-0.0,15591.857,-0.0,5028.162,-0.0,9259.8316,-0.0,14296.981,3413.3827,-0.0
3,0.0,0.0,7127.1107,3482.0098,54.668924,66.163076,158.72782,193.64611,61.393839,53.097943,216.52257,123.82835,162.9616,227.84802,90.907808,107.82821,204.28754,191.37031,94.382459,254.15899,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,5791.809,-0.0,-0.0,-0.0,12103.655,5145.9207,5129.3125,-0.0,-0.0,3829.4492,15179.055,900.65433,-0.0,-0.0,9124.2299
4,0.0,514.98943,5413.0645,1573.2819,3541.333,82.171945,150.32425,245.492,25.0,154.94254,227.26891,193.60948,105.06356,179.67437,176.7468,92.818862,307.29096,151.56978,80.427935,227.26407,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,8217.9704,-0.0,-0.0,-0.0,12534.744,-0.0,1595.9659,15906.483,-0.0,-0.0,15906.773,-0.0,-0.0,12113.68,-0.0
5,0.0,0.0,6478.7321,2344.729,2974.2043,141.12781,187.72961,292.66441,160.21564,140.94846,278.99529,209.82371,99.653119,158.39452,129.0649,164.99059,301.60272,200.26418,150.08954,222.58644,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,4492.1671,-0.0,13278.825,5048.8114,861.9228,-0.0,17069.126,-0.0,13674.022,6405.4418,2046.0773,-0.0,10568.079,-0.0,10853.262
6,0.0,4991.0432,3378.2961,1249.3658,2792.2421,84.876288,178.61223,185.10542,64.099573,73.247766,170.06598,122.60591,132.94499,214.05738,133.47049,168.01698,201.44685,88.661621,25.0,175.95392,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,6521.508,-0.0,10531.823,-0.0,14541.063,8532.6119,8252.0471,5888.6291,-0.0,17426.763,-0.0,4121.4453,12479.324,-0.0,11818.002
7,0.0,2229.1894,4076.6459,2567.1796,3597.9026,77.447481,120.95511,185.47789,64.35367,223.42462,222.38254,109.53069,174.12109,266.53724,114.32968,92.123092,217.29112,151.56028,112.05095,187.63907,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,6778.6425,-0.0,14478.304,723.75477,-0.0,18594.947,-0.0,7302.5543,17089.941,-0.0,6140.3445,15780.799,-0.0,2493.1218,11896.095
8,0.0,431.03964,4380.5826,2771.3941,4402.2931,25.0,244.45807,157.13583,141.6194,139.29804,251.88756,25.0,83.144426,209.42591,109.4299,68.259196,219.53981,95.088729,25.0,284.17371,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,5152.4768,-0.0,3718.7895,5375.0621,13876.31,-0.0,15226.25,8102.2796,-0.0,12980.949,2830.1471,-0.0,11310.701,-0.0,11072.585
9,0.0,0.0,4124.4556,4303.1892,2947.3504,117.091,178.48766,125.22622,103.02629,145.76658,219.64497,49.474915,51.683885,285.22218,25.0,135.24381,197.40279,93.149034,162.64538,296.54885,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13171.887,-0.0,184.89369,-0.0,12976.811,-0.0,6978.7562,15028.806,-0.0,2292.0669,13835.693,-0.0,-0.0,10146.544
10,25.393893,3663.8484,3339.0973,2869.8023,1255.0847,116.79569,132.67506,132.65741,99.704878,205.73911,194.52391,35.732576,149.74901,129.61793,131.66368,116.66636,224.90348,93.693547,130.80659,211.03224,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,9073.9417,-0.0,-0.0,-0.0,12519.329,6103.6306,6091.848,1232.1109,-0.0,11415.901,-0.0,12935.77,-0.0,-0.0,9900.0644
11,0.0,3064.8419,4139.7697,2284.1406,2045.7964,198.90761,195.0593,92.73967,188.50858,261.54062,224.75947,44.285252,126.40656,192.90503,134.82466,164.61675,170.93176,95.842003,167.7069,221.79475,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3584.4531,13051.866,-0.0,-0.0,4511.5576,16764.574,7205.9794,1378.0936,-0.0,16760.248,-0.0,4504.5977,-0.0,10460.157
12,0.0,4496.9741,2199.2801,3338.152,2236.771,82.918873,295.96143,144.36726,53.007117,160.49258,28.649347,68.814365,171.35507,121.23899,63.588035,240.38735,144.67844,73.052007,114.80314,169.24973,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,11024.125,-0.0,9129.746,-0.0,189.59127,18406.815,8056.1226,-0.0,15418.045,-0.0,15333.022,5584.8481,-0.0,2023.4915,11615.465
13,0.0,5554.8858,2902.3775,500.0,3884.1683,117.99678,266.2896,93.056689,137.96486,220.15718,186.49632,57.156193,197.63585,191.62403,73.290301,165.7282,223.55047,86.840717,233.06063,266.64647,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,1966.5343,15812.758,5171.8523,1782.0595,-0.0,9339.1861,19086.61,7463.3241,-0.0,18206.937,5490.2269,-0.0,13448.513,-0.0,12371.763
14,0.0,2314.6792,2975.8064,2889.2733,4666.9833,129.2111,207.53313,132.55387,102.13415,242.78727,108.63152,25.0,189.38133,206.84063,25.0,195.65751,214.13825,153.92304,231.83223,233.4963,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,1964.4231,15879.418,-0.0,6952.4086,-0.0,19427.204,8754.5084,-0.0,17850.056,8264.1095,5486.8403,-0.0,13397.16,-0.0,12412.863
15,0.0,4154.103,3217.8791,3560.6551,1382.3004,206.06908,206.99538,33.03766,121.57026,258.66212,38.732291,129.81488,290.28344,130.2295,106.99767,208.82466,131.95449,124.89678,218.90937,288.36776,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,10442.152,-0.0,-0.0,15935.558,2700.9949,-0.0,18073.305,5454.4945,-0.0,17292.657,8184.025,-0.0,2001.6949,5641.7426,11561.858
16,0.0,1953.675,3303.5979,1485.996,4935.6042,133.40163,206.18583,118.22975,194.36749,233.81629,145.19885,46.638137,238.08408,25.0,115.17042,255.2057,205.94537,121.37053,192.34426,137.53836,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14101.017,1431.1786,-0.0,-0.0,7157.8923,17020.075,-0.0,3222.7872,13161.8,-0.0,14727.189,-0.0,280.3576,10760.473
17,0.0,1441.6561,1399.0167,4317.8387,4288.168,163.35499,322.28061,135.30768,153.86395,205.93486,178.38279,121.21764,239.23542,138.92618,90.174581,105.88101,118.35335,59.053946,235.79732,151.99069,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13211.392,398.47052,-0.0,-0.0,16680.798,-0.0,3457.5157,5308.6984,12510.994,-0.0,14167.803,-0.0,-0.0,10398.417
18,157.35394,2224.9466,965.89788,3752.0572,4714.459,191.04973,232.16837,25.0,166.40171,180.51946,93.799607,222.86052,256.10927,140.25942,157.50051,191.78947,151.34666,42.828043,178.16004,171.42768,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,133.56049,14318.844,-0.0,-0.0,9708.852,-0.0,17086.55,-0.0,3599.7396,16405.521,2224.5291,-0.0,10743.996,-0.0,10929.944
19,0.0,2850.0089,3799.2542,3262.3093,2606.3657,180.99547,227.77626,100.20117,204.36469,222.19352,140.40305,83.785499,167.14904,128.7948,93.679002,234.95722,168.71748,141.93191,261.54705,180.92137,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,6718.8522,-0.0,10825.464,-0.0,14542.611,8766.8211,7508.2635,-0.0,17315.315,6185.2544,-0.0,15892.595,-0.0,2481.643,11973.205
20,0.0,612.83402,2920.1812,4593.0069,4905.6162,159.86369,249.71879,139.07768,143.72738,158.73208,166.75451,25.0,273.46315,161.46308,148.60877,284.98379,115.53565,146.10818,304.95331,126.58674,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,2250.7055,11546.834,-0.0,7088.4786,15328.645,-0.0,9181.1613,19892.077,-0.0,16689.764,-0.0,6092.5287,13836.708,-0.0,12796.57
21,0.0,2143.6995,1948.8965,6525.7479,2352.5655,201.68264,200.98479,25.0,130.97952,59.314971,146.71122,137.77428,213.51971,38.35287,80.0605,199.27652,130.21043,185.15653,278.08131,82.780806,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,12104.79,1520.7369,-0.0,17001.657,5342.641,8863.8284,-0.0,19837.095,8249.9515,-0.0,17844.24,-0.0,3752.5685,6446.2965,12749.462
22,0.0,0.0,4398.8011,4737.2886,3247.6098,254.50352,166.05127,158.66735,131.14595,219.00196,159.34922,218.33932,245.11074,119.46124,140.95988,127.26585,72.870373,91.410927,188.45687,160.09083,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,11045.418,-0.0,5634.0996,-0.0,12848.219,-0.0,16801.876,-0.0,17074.471,5768.6327,-0.0,5807.9497,6475.9837,5762.7348,11793.075
23,0.0,0.0,3150.9432,5102.7574,3460.5911,157.19108,158.48828,97.198323,94.760243,233.09576,112.48519,272.12509,150.88039,140.07991,144.69128,247.69375,81.246878,120.86128,241.70003,142.43696,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,9995.2818,-0.0,-0.0,2559.6618,13401.297,-0.0,14116.187,7521.6586,-0.0,2056.6597,7015.2842,10399.656,-0.0,4828.0745,10808.597
24,0.0,0.0,4435.2972,4686.2756,2343.4508,221.5374,153.61428,43.872681,304.60626,59.620699,78.86521,123.09938,118.44043,25.0,175.86884,179.04674,74.487764,61.492516,155.99979,51.912306,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3380.6212,2987.9343,14359.033,-0.0,39.537279,13643.918,-0.0,5456.8122,15802.287,-0.0,1186.1464,9792.6682,-0.0,10525.957
