snapshot,Bus1_Bus2,Bus2_Bus3,Bus3_Bus4,Bus4_Bus5,Bus6_Bus7,Bus7_Bus8,Bus8_Bus9,Bus9_Bus10,Bus10_Bus11,Bus11_Bus12,Bus12_Bus13,Bus13_Bus14,Bus14_Bus15,Bus15_Bus16,Bus16_Bus17,Bus17_Bus18,Bus18_Bus19,Bus19_Bus20,Bus1_Bus6,Bus2_Bus7,Bus3_Bus8,Bus4_Bus9,Bus5_Bus10
0,-2274.3385,-275.74605,4989.7932,2339.6171,-294.01268,-5000.0,-5000.0,5000.0,1168.7178,5000.0,-2478.7088,-5000.0,-5000.0,5000.0,-2614.7398,-5000.0,353.94559,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
1,-2194.8072,-4549.45,-1002.6328,621.49532,-4712.293,5000.0,2837.1471,-1717.1144,-5000.0,-5000.0,2180.3074,-5000.0,5000.0,1678.6818,-5000.0,4787.0698,-247.74018,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
2,-2090.2037,-4316.1798,-3942.2652,-935.16812,5000.0,5000.0,3207.1846,2928.7572,577.80994,-5000.0,5000.0,-989.37712,-73.585469,-5000.0,-1353.4159,-5000.0,5000.0,4494.3128,1500.0,1500.0,1500.0,1500.0,1500.0
3,-2050.6384,-4227.9475,878.27949,2042.3897,2506.191,-173.20229,-1711.4304,-5000.0,5000.0,5000.0,5000.0,-521.56332,-4282.2817,-5000.0,5000.0,2536.6541,-1407.8167,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
4,-2116.5801,-3860.0108,-530.20844,-1372.7737,4298.9148,1047.2419,-1053.8392,-5000.0,5000.0,-859.51996,-5000.0,4610.0148,95.012124,-5000.0,5000.0,1229.575,-3290.3438,4718.3229,1500.0,1500.0,1500.0,1500.0,1500.0
5,-2247.9827,-4668.0337,-396.8658,-663.16485,-662.09106,-5000.0,5000.0,5000.0,2251.2042,-5000.0,5000.0,-2730.6658,5000.0,5000.0,-208.74402,-5000.0,29.464173,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
6,-2354.7207,84.979154,1154.7409,-365.46636,259.75709,-5000.0,1150.4428,-5000.0,5000.0,5000.0,5000.0,2030.6555,-5000.0,5000.0,-3405.4359,-5000.0,962.06894,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
7,-2365.1582,-2700.1506,-941.91255,-1159.8095,406.66634,-5000.0,5000.0,-524.75908,-5000.0,5000.0,-3372.2665,-5000.0,5000.0,-2546.205,-5000.0,5000.0,-1539.1402,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
8,-2280.641,-4309.8235,-2167.6986,-2055.8421,-439.55412,-5000.0,-5000.0,-5000.0,5000.0,-2637.0515,5000.0,5000.0,-1242.0334,5000.0,125.61845,-5000.0,401.62665,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
9,-2174.4195,-4503.9846,-2517.5051,-716.07571,-4453.7853,5000.0,2239.4826,-1988.629,-5000.0,1474.3224,-5000.0,-5000.0,5000.0,-802.58172,-5000.0,4508.5452,-539.62665,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
10,-2110.4281,-728.66824,508.96475,934.33867,5000.0,1566.1377,-827.14842,-4879.8711,5000.0,5000.0,5000.0,-228.89621,-5000.0,1090.8951,-5000.0,3934.305,-799.7931,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
11,-2202.1889,-1501.0695,474.45542,215.58863,-4645.4634,-5000.0,5000.0,410.87856,-2709.147,-5000.0,5000.0,5000.0,959.61375,-5000.0,5000.0,431.85084,-334.6021,-5000.0,1500.0,1500.0,1500.0,1500.0,1500.0
