snapshot,onshore wind_Bus1,onshore wind_Bus2,onshore wind_Bus3,onshore wind_Bus4,onshore wind_Bus5,onshore wind_Bus6,onshore wind_Bus7,onshore wind_Bus8,onshore wind_Bus9,onshore wind_Bus10,onshore wind_Bus11,onshore wind_Bus12,onshore wind_Bus13,onshore wind_Bus14,onshore wind_Bus15,onshore wind_Bus16,onshore wind_Bus17,onshore wind_Bus18,onshore wind_Bus19,onshore wind_Bus20,gas_Bus1,gas_Bus2,gas_Bus3,gas_Bus4,gas_Bus5,gas_Bus6,gas_Bus7,gas_Bus8,gas_Bus9,gas_Bus10,gas_Bus11,gas_Bus12,gas_Bus13,gas_Bus14,gas_Bus15,gas_Bus16,gas_Bus17,gas_Bus18,gas_Bus19,gas_Bus20,nuclear_Bus2,nuclear_Bus8,nuclear_Bus14,LS_Bus1,LS_Bus2,LS_Bus3,LS_Bus4,LS_Bus5,LS_Bus6,LS_Bus7,LS_Bus8,LS_Bus9,LS_Bus10,LS_Bus11,LS_Bus12,LS_Bus13,LS_Bus14,LS_Bus15,LS_Bus16,LS_Bus17,LS_Bus18,LS_Bus19,LS_Bus20
0,0.0,726.80823,1818.9242,5653.3647,0.0,169.52387,45.022957,184.11182,187.69246,133.38919,265.98627,70.792344,51.199028,306.01391,211.25682,89.929448,203.4231,223.95659,25.0,202.39002,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,3635.4348,9839.0496,-0.0,10600.899,-0.0,7553.7219,7478.7088,8065.6955,6077.9574,6576.5225,7614.7398,5093.0455,5729.0112,5353.9456,8600.1577
1,0.0,549.45003,3036.5151,4156.1711,0.0,59.377793,177.74204,306.94918,153.83048,39.023118,307.81635,81.761122,71.815391,135.60771,236.16076,166.40073,142.71934,272.12129,25.0,197.62375,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,2962.293,8162.0313,-0.0,9337.1471,-0.0,6638.2692,6651.3232,7180.3074,5396.7338,5787.3419,11678.682,-0.0,9326.405,-0.0,7920.8346
2,0.0,316.17977,1441.1733,5383.7657,0.0,110.80963,106.94426,307.88085,157.88681,125.56815,219.24391,67.435613,125.3552,299.8656,91.873719,101.26409,227.36285,160.2511,66.823067,224.39743,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,1880.6422,8819.505,-0.0,4958.5604,-0.0,5577.8099,5591.857,5989.3771,9038.7849,-0.0,10613.248,-0.0,6862.6348,-0.0,6994.3128
3,0.0,227.94746,3203.8321,3482.0098,0.0,66.163076,158.72782,193.64611,61.393839,53.097943,216.52257,123.82835,162.9616,227.84802,90.907808,107.82821,204.28754,191.37031,94.382459,254.15899,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,4965.0113,-0.0,7288.2281,1892.2248,-0.0,10145.921,129.31248,5521.5633,8307.8858,-0.0,8543.0557,-0.0,3944.4708,3592.1833,6624.2299
4,0.0,375.00022,5344.3867,1573.2819,0.0,82.171945,150.32425,245.492,25.0,154.94254,227.26891,193.60948,105.06356,179.67437,176.7468,92.818862,307.29096,151.56978,80.427935,227.26407,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,2169.0556,9001.6729,-0.0,5831.9856,-0.0,5859.52,5736.4459,11296.468,-0.0,4610.0148,10906.773,3290.3438,-0.0,4105.0128,7218.3229
5,0.0,668.03372,5034.9027,2344.729,0.0,141.12781,187.72961,292.66441,160.21564,140.94846,278.99529,209.82371,99.653119,158.39452,129.0649,164.99059,301.60272,200.26418,150.08954,222.58644,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,3404.2581,9116.734,-0.0,10159.53,-0.0,7251.2042,7069.1261,7730.6658,5943.3563,6405.4418,12254.821,-0.0,5329.8704,5029.4642,8353.2618
6,0.0,1241.0432,3378.2961,1249.3658,2792.2421,84.876288,178.61223,185.10542,64.099573,73.247766,170.06598,122.60591,132.94499,214.05738,133.47049,168.01698,201.44685,88.661621,25.0,175.95392,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,4511.7509,6009.7571,5131.3802,6900.4428,5291.0634,8532.6119,8252.0471,8857.9736,7030.6555,7426.7627,8405.4359,5716.0094,6517.2549,5962.0689,9318.0024
7,0.0,929.34,4076.6459,2567.1796,1147.752,77.447481,120.95511,185.47789,64.35367,223.42462,222.38254,109.53069,174.12109,266.53724,114.32968,92.123092,217.29112,151.56028,112.05095,187.63907,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,4621.9762,6156.6663,5228.3042,6998.5138,5225.2409,8594.9471,8372.2665,8930.2877,7089.9411,7546.205,8594.1395,5780.7991,6539.1402,5953.9815,9396.0952
8,0.0,740.86311,4380.5826,2771.3941,342.46961,25.0,244.45807,157.13583,141.6194,139.29804,251.88756,25.0,83.144426,209.42591,109.4299,68.259196,219.53981,95.088729,25.0,284.17371,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,3842.031,10310.446,-0.0,10220.161,-0.0,7637.0515,7589.1987,8102.2796,6242.0334,6738.9151,7704.5287,5125.6184,5909.0748,5401.6266,8572.5852
9,0.0,503.98457,2817.8214,4303.1892,0.0,117.091,178.48766,125.22622,103.02629,145.76658,219.64497,49.474915,51.683885,285.22218,25.0,135.24381,197.40279,93.149034,162.64538,296.54885,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,7703.7853,-0.0,2978.6193,8924.3763,-0.0,6502.4889,6474.3224,6978.7562,5028.8056,5802.5817,10816.633,-0.0,9508.5452,-0.0,7646.5444
10,0.0,417.91054,3339.0973,2869.8023,776.41647,116.79569,132.67506,132.65741,99.704878,205.73911,194.52391,35.732576,149.74901,129.61793,131.66368,116.66636,224.90348,93.693547,130.80659,211.03224,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,2323.9417,9183.8623,3143.2861,3192.1808,-0.0,6103.6306,6091.848,11461.007,-0.0,5096.1093,10092.36,-0.0,8934.305,-0.0,7400.0644
11,0.0,565.91139,4139.7697,2284.1406,794.72696,198.90761,195.0593,92.73967,188.50858,261.54062,224.75947,44.285252,126.40656,192.90503,134.82466,164.61675,170.93176,95.842003,167.7069,221.79475,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,2895.4634,8490.8554,-0.0,9209.147,-0.0,6802.4106,6764.5742,7205.9794,5418.4798,5959.6138,11328.397,-0.0,10271.051,-0.0,7625.5547
12,0.0,851.81576,2199.2801,3338.152,2131.9294,82.918873,295.96143,144.36726,53.007117,160.49258,28.649347,68.814365,171.35507,121.23899,63.588035,240.38735,144.67844,73.052007,114.80314,169.24973,-0.0,-0.0,-0.0,-0.0,-0.0,571.34804,370.46211,701.09849,337.27532,793.44347,686.12238,399.35784,302.76106,707.73071,653.42867,664.50358,685.63517,337.02233,479.23286,357.93453,-0.0,1200.0,1200.0,-0.0,-0.0,-0.0,-0.0,-0.0,4274.1253,10629.746,-0.0,6682.3734,5007.2178,8406.815,8056.1226,8555.0573,6862.9873,7262.8771,8070.1452,5584.8481,6335.2623,5688.2292,9115.4653
