hour,demand_MW,wind_MW,gas_MW,nuclear_MW,unserved_MW,curtailment_MW,storage_charge_MW,storage_discharge_MW,storage_soc_MWh
1,113235.03081712821,14318.784977587062,8047.356581977324,2400.0,88468.88925756379,15463.028224131616,550.0,550.0,2250.0
2,101604.81038085517,13866.08531705035,8047.356581977324,2400.0,77291.36848182749,11220.834634711462,550.0,550.0,2091.2286759728527
3,86308.16927158141,13284.080983028913,8047.356581977324,2400.0,62576.73170657517,12170.830212861441,550.0,550.0,1932.4573519457056
4,80522.35697790461,12870.914022792746,8047.356581977324,2400.0,57204.08637313454,13162.760074379332,550.0,550.0,1773.6860279185585
5,90165.30637495837,13442.334224739654,8047.356581977324,2400.0,66275.6155682414,9779.890579284609,550.0,550.0,1614.9147038914111
6,109380.90701161747,14635.816393553121,8047.356581977324,2400.0,84297.73403608703,11372.057582038771,550.0,550.0,1456.143379864264
7,124989.68566055656,14429.112561586373,8047.356581977324,2400.0,100113.21651699286,8328.066859903574,550.0,550.0,1297.372055837117
8,126516.00307208969,14790.141956309628,8047.356581977324,2400.0,101278.50453380274,10985.25351360683,550.0,550.0,1138.6007318099696
9,114156.67664708235,14063.769977196358,8047.356581977324,2400.0,89645.55008790866,14120.145258896264,550.0,550.0,979.8294077828225
10,98623.42379830468,13606.185838451394,8047.356581977324,2400.0,74615.45851446997,14927.224982771098,550.0,504.4228634059944,821.0580837556754
11,92979.1398988091,13297.169024906076,8047.356581977324,2400.0,69272.59523908739,6793.927613000458,550.0,512.0190528383285,714.9147038914111
12,102684.2598795031,14152.877621162314,8047.356581977324,2400.0,78221.52567636348,8266.268504269716,550.0,412.49999999999994,600.0
13,121432.36935956641,14341.241028873132,8047.356581977324,2400.0,96781.27174871595,7388.606867680153,550.0,412.49999999999994,600.0
14,135946.04648064196,15496.425858763118,8047.356581977324,2400.0,110139.7640399015,7919.38775119036,550.0,412.49999999999994,600.0
15,136081.209903101,15382.362581294627,8047.356581977324,2400.0,110388.99073982905,7508.146329787996,550.0,412.49999999999994,600.0
16,122546.12188226433,14947.782876313182,8047.356581977324,2400.0,97288.48242397381,9814.364712270517,550.0,412.49999999999994,600.0
17,106357.49615029007,14184.869889164731,8047.356581977324,2400.0,81862.76967914803,5606.8659753545035,550.0,412.49999999999994,600.0
18,100447.87932489335,14003.934515579616,8047.356581977324,2400.0,76134.08822733641,9400.11889120063,550.0,412.49999999999994,600.0
19,109814.82762275719,14353.43506275692,8047.356581977324,2400.0,85151.53597802293,5130.793686955829,550.0,412.49999999999994,600.0
20,127712.73677207026,15192.855609098475,8047.356581977324,2400.0,102210.02458099449,6197.09450363279,550.0,412.49999999999994,600.0
21,140787.0447698484,15773.715170335243,8047.356581977324,2400.0,114703.47301753586,6602.603453570562,550.0,412.49999999999994,600.0
22,139241.418137539,15218.295505077518,8047.356581977324,2400.0,113713.26605048416,4670.9876947100465,550.0,412.49999999999994,600.0
23,124296.19964579133,15003.39634224808,8047.356581977324,2400.0,99012.4582111355,10189.568676542785,550.0,382.9885104304303,600.0
24,107258.94126429211,14217.214677511518,8047.356581977324,2400.0,82702.3585152337,11028.910853409485,550.0,442.0114895695696,634.0769328943558
25,100914.75972337114,13492.487910976533,8047.356581977324,2400.0,77174.91523041732,9269.625051947554,550.0,349.9999999999999,600.0
26,109792.26415792527,14013.60858763869,8047.356581977324,2400.0,85406.29898830924,11494.569303556875,550.0,475.0,672.1687836487033
27,126716.98915249383,15148.037920778901,8047.356581977324,2400.0,101334.0946497376,13603.226627788292,550.0,337.4999999999999,600.0
28,138276.68711117023,15052.09200522614,8047.356581977324,2400.0,112839.73852396676,10574.928004495112,550.0,487.5,686.6025403784439
29,135036.95912951572,15364.6952326949,8047.356581977324,2400.0,109362.40731484351,7744.155033105609,550.0,412.49999999999994,600.0
30,118728.58895188865,14267.547377485827,8047.356581977324,2400.0,94151.18499242551,11438.757381697727,550.0,412.49999999999994,600.0
31,100933.81604945927,13967.20960279835,8047.356581977324,2400.0,76656.74986468362,12755.84936920418,550.0,412.49999999999994,600.0
32,94271.85215084272,13610.55647964925,8047.356581977324,2400.0,70351.43908921613,13719.46919518691,550.0,412.49999999999994,600.0
33,102795.33945361416,13757.991121967283,8047.356581977324,2400.0,78727.49174966954,15265.055916045825,550.0,412.49999999999994,600.0
34,118910.26848501833,14538.647388935377,8047.356581977324,2400.0,94061.76451410561,13589.66661728968,550.0,412.49999999999994,600.0
35,129164.62931452514,14746.73541508822,8047.356581977324,2400.0,104108.03731745962,11944.845556376798,550.0,412.49999999999994,600.0
36,124498.03395960807,14564.224091323296,8047.356581977324,2400.0,99623.95328630743,8222.202259757216,550.0,412.49999999999994,600.0
37,107147.77093531284,14319.504882567451,8047.356581977324,2400.0,82518.40947076806,7619.565752135901,550.0,412.49999999999994,600.0
38,88952.68630676813,13455.603742955092,8047.356581977324,2400.0,65187.2259818357,11383.898108337955,550.0,412.49999999999994,600.0
39,82346.34665525361,12848.24452205687,8047.356581977324,2400.0,59188.24555121943,14005.065477073655,550.0,412.49999999999994,600.0
40,90897.631231448,13293.441729931037,8047.356581977324,2400.0,67294.33291953964,14408.483251440422,550.0,412.49999999999994,600.0
41,106601.50580198779,14197.559179300892,8047.356581977324,2400.0,82094.09004070955,17853.648852431885,550.0,412.49999999999994,600.0
42,115982.85213231116,14063.219373927168,8047.356581977324,2400.0,91684.77617640664,11805.722623708627,550.0,337.4999999999999,600.0
43,110365.58823440973,14246.116565865628,8047.356581977324,2400.0,85734.61508656677,13649.67329980381,550.0,487.5,686.6025403784439
