,mean,std,min,max
Electricity [kW],609.9616063697451,60.76888948133263,494.85523176199706,719.9462950473616
Heat [mmBTU],155.03035152491825,11.68238095358236,125.92659532092156,187.13196227878103
Cooling Energy [Ton],282.46631337817485,15.46906918932295,236.4260274332009,330.8059650061211
PV Power Generation [kW],41.33232945702369,38.102212503849444,0.0,86.72296869916829
Greenhouse Gas Emission [Ton],387.31700658947125,36.5903297536213,312.24025628744056,460.9347694841688
Temperature [°F],74.9995986962949,11.592726720497797,48.00040592578927,103.47210558119411
Dew Point [°F],64.9589632095087,11.880280493249492,33.15102723608064,96.052920342757
Humidity [%],64.8813625203065,10.001453440333025,33.33806491728346,100.0
Wind Speed [mph],8.008635550501829,1.3096200776935114,3.2913172883243837,12.549672384932885
Wind Gust [mph],11.998618487903293,2.4191819580091467,4.889179636132738,20.94785045572698
Pressure [in],29.920070746095462,0.06561208657907977,29.6883168225418,30.14106892259067
Precipitation [in],0.0009252630881376252,0.006007185365850364,0.0,0.1104960400871662
