Building,Electricity [kW]_mean,Electricity [kW]_std,Electricity [kW]_min,Electricity [kW]_max,Electricity [kW]_median,Heat [mmBTU]_mean,Heat [mmBTU]_std,Heat [mmBTU]_min,Heat [mmBTU]_max,Heat [mmBTU]_median,Cooling Energy [Ton]_mean,Cooling Energy [Ton]_std,Cooling Energy [Ton]_min,Cooling Energy [Ton]_max,Cooling Energy [Ton]_median,PV Power Generation [kW]_mean,PV Power Generation [kW]_std,PV Power Generation [kW]_min,PV Power Generation [kW]_max,PV Power Generation [kW]_median,Greenhouse Gas Emission [Ton]_mean,Greenhouse Gas Emission [Ton]_std,Greenhouse Gas Emission [Ton]_min,Greenhouse Gas Emission [Ton]_max,Greenhouse Gas Emission [Ton]_median
BN001,52.01793732694302,11.448828100952596,24.062064419019244,80.27959210349414,51.977271838570275,10.99580974884225,3.8181933061211986,0.2444178054183048,19.88671206519433,10.98727697484292,21.504178269879922,7.6523101564286735,3.410272421940705,39.43030981137966,21.52922026516027,3.4386664690239304,3.5407679828742613,0.0,11.034878855815666,2.933476968369072,31.8892140075882,7.253086565919506,16.08731179709554,49.48214731236883,31.835299836641873
BN002,53.973319289298715,11.444019976107915,26.8096260266747,80.52551503715893,54.018339752447595,12.019623571040821,3.8279796800294363,2.4916518302765605,20.797298507784408,12.015817790023988,22.977763656074867,7.645677243492803,4.64432640672394,42.3185646373883,22.969296866360068,2.552708450800305,2.718258080477732,0.0,10.271732258780126,2.4152953286239685,33.91174522177643,7.864035088354523,17.65949667011926,50.388138785296185,33.024437084740086
BN003,56.023289861570184,11.44649310295241,30.00670304919887,82.81470831013894,55.94760401021574,13.004142539574659,3.8226705572555626,4.465354135199229,22.32270253011072,12.984362445937649,24.50991751119656,7.657460744400212,7.193959903265137,43.007354888732586,24.48475927110986,2.8637068683535625,2.9920454826711915,0.0,11.04077534362584,2.910691086127137,35.383017760720016,6.1696452696329835,21.48307327081749,49.22485513608963,34.628973422559106
BN004,58.016799345749845,11.447329482876206,31.00241236075219,84.9850057635353,58.270647270823346,13.994710557937724,3.819360115981693,4.818728857399718,22.801752114197555,13.999673958515052,25.986159344980233,7.61697406589814,8.151241747402448,44.36367517582549,26.01136839773487,3.5173409393575157,3.642772379765287,0.0,12.29939508500568,3.505289246467106,36.645374239573535,5.654603984601524,22.48989117240944,49.14692731768269,37.24713035950241
BN005,59.95736173865727,11.508828456766041,31.841969441571933,87.06515864609901,59.92020150432151,14.99971224066928,3.8275527051232894,5.896498993245107,23.76216240079473,14.997520016289636,27.523961249269192,7.6255935747075965,9.356239768223563,45.897827033894266,27.52887649210127,4.847196159603413,4.634095644433857,0.0,12.7701014658839,6.064644480222741,37.55978871158155,7.8551613936977205,18.964425415396125,54.86294936567612,38.051667662267036
BN006,61.955990150055825,11.458256301656,34.69045951812957,90.30289435522236,61.9422308782833,15.993817923875273,3.8528426253107075,5.4560126445747335,25.050082200442663,16.0078924527366,28.99988861957496,7.635229512920154,10.85066760169136,46.92787914919211,29.001801986339775,4.89906907351446,4.750214808654539,0.0,13.39137492378552,5.745917907340271,39.126583639348254,3.5164283335321933,28.650616851139148,50.44511602555245,39.05624154368508
BN007,64.03640337168733,11.542111442538179,35.5306766957758,90.48395285696392,64.04665608034949,16.993921217865044,3.81691047405097,8.080390793035072,26.366498694682264,17.017946959519286,30.501313459706516,7.647341529822224,12.806107706239384,49.15232036569629,30.447770262223926,4.142707415986755,4.129449798717421,0.0,13.200464370709728,4.881812146248343,41.14528703515111,5.255482630906404,25.931282138753804,55.11571637231566,41.466303988591385
BN008,65.93124626220471,11.442289818703422,39.895182847992665,92.671884293349,66.02741859589361,18.02099586240643,3.830074475541411,9.120397244350666,26.744797125892894,18.020049454223695,31.983656202933677,7.6266825783875465,12.711347433340716,49.38967034647015,31.951356507347466,4.7794253297381255,4.721365708460173,0.0,13.762329546819087,5.582716912454542,42.37894046554195,6.5746801996650435,25.64063831019801,58.76909112711531,42.665423577956446
BN009,68.00788792057283,11.468685596347639,40.60928061463419,96.30704842288549,67.85400211024191,19.001314534318233,3.8291186227799647,9.75054477572328,28.65097760578828,19.1079015685961,33.52606851082261,7.641878566124858,15.034236269313212,52.15068408757151,33.51515113994108,5.824812722853679,5.536009347830521,0.0,14.832720810868128,7.633803880552961,43.49714566131955,3.797788405643324,31.93004792018025,54.91059230868804,43.46238914776535
BN010,70.04137110300552,11.457741646327488,39.08803994953183,95.96763786465472,70.05650021221686,20.006303328388555,3.8245460684726917,11.000584383441854,29.15920886965828,20.012661722370773,34.95340655373632,7.627977092955534,15.57090108019332,53.187280094149685,34.94252192254136,4.466696027791938,4.223259791380723,0.0,12.130554818641498,6.40185249374292,45.779909846870616,4.84130027919764,30.06080303621944,58.66392943112483,45.917315344710666
