Node,Type,Records,Start,End,Electricity [kW]_mean,Heat [mmBTU]_mean,Cooling Energy [Ton]_mean,PV Power Generation [kW]_mean,Greenhouse Gas Emission [Ton]_mean,Electricity [kW]_min,Heat [mmBTU]_min,Cooling Energy [Ton]_min,PV Power Generation [kW]_min,Greenhouse Gas Emission [Ton]_min,Electricity [kW]_max,Heat [mmBTU]_max,Cooling Energy [Ton]_max,PV Power Generation [kW]_max,Greenhouse Gas Emission [Ton]_max
BN001,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,52.01793732694303,10.995809748842248,21.504178269879926,3.4386664690239304,31.88921400758821,24.062064419019244,0.2444178054183048,3.410272421940705,0.0,16.08731179709554,80.27959210349414,19.88671206519433,39.43030981137966,11.034878855815666,49.48214731236883
BN002,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,53.973319289298715,12.019623571040821,22.97776365607487,2.5527084508003046,33.91174522177642,26.8096260266747,2.4916518302765605,4.64432640672394,0.0,17.65949667011926,80.52551503715893,20.797298507784408,42.3185646373883,10.271732258780126,50.388138785296185
BN003,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,56.023289861570184,13.004142539574659,24.50991751119656,2.863706868353562,35.383017760720016,30.00670304919887,4.465354135199229,7.193959903265137,0.0,21.48307327081749,82.81470831013894,22.32270253011072,43.007354888732586,11.04077534362584,49.22485513608963
BN004,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,58.01679934574985,13.994710557937722,25.986159344980233,3.5173409393575157,36.64537423957353,31.00241236075219,4.818728857399718,8.151241747402448,0.0,22.48989117240944,84.9850057635353,22.801752114197555,44.36367517582549,12.29939508500568,49.14692731768269
BN005,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,59.95736173865727,14.999712240669284,27.523961249269192,4.847196159603415,37.55978871158155,31.841969441571933,5.896498993245107,9.356239768223563,0.0,18.964425415396125,87.06515864609901,23.76216240079473,45.897827033894266,12.7701014658839,54.86294936567612
BN006,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,61.955990150055825,15.993817923875277,28.999888619574957,4.899069073514461,39.12658363934826,34.69045951812957,5.4560126445747335,10.85066760169136,0.0,28.650616851139148,90.30289435522236,25.050082200442663,46.92787914919211,13.39137492378552,50.44511602555245
BN007,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,64.03640337168734,16.99392121786504,30.501313459706516,4.142707415986755,41.14528703515111,35.5306766957758,8.080390793035072,12.806107706239384,0.0,25.931282138753804,90.48395285696392,26.366498694682264,49.15232036569629,13.200464370709728,55.11571637231566
BN008,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,65.93124626220471,18.020995862406433,31.983656202933677,4.7794253297381255,42.37894046554195,39.895182847992665,9.120397244350666,12.711347433340716,0.0,25.64063831019801,92.671884293349,26.744797125892894,49.38967034647015,13.762329546819087,58.76909112711531
BN009,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,68.0078879205728,19.001314534318237,33.52606851082261,5.824812722853679,43.49714566131956,40.60928061463419,9.75054477572328,15.034236269313212,0.0,31.93004792018025,96.30704842288549,28.65097760578828,52.15068408757151,14.832720810868128,54.91059230868804
BN010,Building,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,70.04137110300552,20.00630332838855,34.95340655373632,4.466696027791937,45.77990984687062,39.08803994953183,11.000584383441854,15.57090108019332,0.0,30.06080303621944,95.96763786465472,29.15920886965828,53.187280094149685,12.130554818641498,58.66392943112483
CN01,Community,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,609.9616063697451,155.03035152491825,282.46631337817485,41.33232945702369,387.31700658947125,494.85523176199706,125.92659532092156,236.4260274332009,0.0,312.24025628744056,719.9462950473616,187.13196227878103,330.8059650061211,86.72296869916829,460.9347694841688
Total,Total,8760,2014-01-01 00:00:00,2014-12-31 23:00:00,609.9616063697451,155.03035152491825,282.46631337817485,41.33232945702369,387.31700658947125,494.85523176199706,125.92659532092156,236.4260274332009,0.0,312.24025628744056,719.9462950473616,187.13196227878103,330.8059650061211,86.72296869916829,460.9347694841688
