hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
0,617.9936707179031,168.72772745370426,269.8986769807611,0.0,413.5948889912151
1,639.6680728015598,167.7176636842613,267.3267533785392,0.0,423.61468618176616
2,659.2142892525212,166.1020318713704,264.31483161754585,0.0,432.3007205111809
3,675.9264969447762,163.55786404506898,262.97862168836934,0.0,439.6263320235827
4,687.3456343739508,160.7885824426584,263.1993269111766,0.0,444.5492573020083
5,693.3758374833269,157.09879111729268,265.47939140908414,0.0,446.9134343586681
6,694.1654172584643,153.8371510121552,267.4407605317972,74.4587256630597,409.49264320770834
7,689.3863872737388,150.0861138832492,271.55333470000073,73.88543537113127,407.08697705627867
8,679.069808558498,146.8859356700173,276.4578857536909,73.84152133453082,401.97150146372695
9,663.7516001152334,144.33797027513603,280.48443277544317,73.77177247578452,394.3881914573539
10,644.8979358070624,142.38150918858713,285.5603001084523,74.16177852271133,385.1945914204421
11,624.8475010579479,141.39701269205,290.78482888972377,74.69877565030211,375.6504322893826
12,602.0583639683018,141.37536453681417,294.7715195139394,75.57467106298651,364.60875971648977
13,580.3193459490424,142.11668142517095,298.1452490227409,76.27715843842269,354.28514798740935
14,560.4713449845663,143.86997812145538,300.34909444786314,77.28684021250784,344.8230647120385
15,544.2407494621954,146.26571748046084,301.2676913869192,78.2448569312028,337.1311997870183
16,532.310761460668,149.53824999421408,301.2282571642154,79.20299585188049,331.66100923550107
17,526.4579854351111,152.72833300648313,299.92684301276125,79.99485338933063,329.03543452738745
18,525.1574830837476,156.62771778336582,297.37338636363495,80.57652206471776,328.75347311725164
19,530.1135710800853,160.17846091099491,293.19961710966686,0.0,371.7502472352745
20,542.4659196294332,163.16995551210178,289.5197206728078,0.0,378.08789060290866
21,555.6286003818767,165.74268229269745,284.43701257233863,0.0,384.4245073932154
22,574.7002028128446,167.56187576764643,278.89452546691376,0.0,393.39756923009895
23,595.51157298103,168.63506643108266,274.59945959781095,0.0,403.266198339402
