Comparison,Variable,sum_actual,sum_expected,ratio_actual_over_expected,mean_abs_relative_err,pearson_corr
sum(BN001..BN010) vs Total,Electricity [kW],5343263.671798968,5343263.671798968,1.0,8.308538162658977e-18,1.0
sum(BN001..BN010) vs Total,Heat [mmBTU],1358065.8793582837,1358065.8793582837,1.0,3.324425281307424e-17,0.9999999999999999
sum(BN001..BN010) vs Total,Cooling Energy [Ton],2474404.9051928115,2474404.9051928115,1.0,3.40912812662186e-17,1.0
sum(BN001..BN010) vs Total,PV Power Generation [kW],362071.2060435275,362071.2060435275,1.0,2.1900821713310806e-17,1.0
sum(BN001..BN010) vs Total,Greenhouse Gas Emission [Ton],3392896.977723768,3392896.977723768,1.0,4.3609758936432307e-17,1.0
sum(BN001..BN010) vs CN01,Electricity [kW],5343263.671798968,5343263.671798968,1.0,8.308538162658977e-18,1.0
sum(BN001..BN010) vs CN01,Heat [mmBTU],1358065.8793582837,1358065.8793582837,1.0,3.324425281307424e-17,0.9999999999999999
sum(BN001..BN010) vs CN01,Cooling Energy [Ton],2474404.9051928115,2474404.9051928115,1.0,3.40912812662186e-17,1.0
sum(BN001..BN010) vs CN01,PV Power Generation [kW],362071.2060435275,362071.2060435275,1.0,2.1900821713310806e-17,1.0
sum(BN001..BN010) vs CN01,Greenhouse Gas Emission [Ton],3392896.977723768,3392896.977723768,1.0,4.3609758936432307e-17,1.0
CN01 vs Total,Electricity [kW],5343263.671798968,5343263.671798968,1.0,0.0,1.0
CN01 vs Total,Heat [mmBTU],1358065.8793582837,1358065.8793582837,1.0,0.0,1.0
CN01 vs Total,Cooling Energy [Ton],2474404.9051928115,2474404.9051928115,1.0,0.0,1.0
CN01 vs Total,PV Power Generation [kW],362071.2060435275,362071.2060435275,1.0,0.0,1.0
CN01 vs Total,Greenhouse Gas Emission [Ton],3392896.977723768,3392896.977723768,1.0,0.0,1.0
