entity,rows,annual_sum__Electricity [kW],mean__Electricity [kW],max__Electricity [kW],annual_sum__Heat [mmBTU],mean__Heat [mmBTU],max__Heat [mmBTU],annual_sum__Cooling Energy [Ton],mean__Cooling Energy [Ton],max__Cooling Energy [Ton],annual_sum__PV Power Generation [kW],mean__PV Power Generation [kW],max__PV Power Generation [kW],annual_sum__Greenhouse Gas Emission [Ton],mean__Greenhouse Gas Emission [Ton],max__Greenhouse Gas Emission [Ton],share_of_building_sum__Electricity [kW],share_of_building_sum__Heat [mmBTU],share_of_building_sum__Cooling Energy [Ton],share_of_building_sum__PV Power Generation [kW],share_of_building_sum__Greenhouse Gas Emission [Ton]
BN001,8760,455677.13098402094,52.01793732694303,80.27959210349414,96323.2933998581,10.995809748842248,19.88671206519433,188376.60164414815,21.504178269879926,39.43030981137966,30122.71826864963,3.4386664690239304,11.034878855815666,279349.5147064727,31.88921400758821,49.48214731236883,0.08528067469120491,0.07092681943041891,0.07613006313106602,0.08319556420354603,0.08233362714534384
BN002,8760,472806.27697425673,53.973319289298715,80.52551503715893,105291.90248231759,12.019623571040821,20.797298507784408,201285.20962721587,22.97776365607487,42.3185646373883,22361.726029010668,2.5527084508003046,10.271732258780126,297066.8881427614,33.91174522177642,50.388138785296185,0.0884864206626495,0.07753077673379903,0.08134691666864896,0.06176057542206874,0.08755552853304084
BN003,8760,490764.01918735483,56.023289861570184,82.81470831013894,113916.28864667402,13.004142539574659,22.32270253011072,214706.87739808185,24.50991751119656,43.007354888732586,25086.072166777205,2.863706868353562,11.04077534362584,309955.23558390734,35.383017760720016,49.22485513608963,0.09184723968939465,0.08388126848492942,0.08677111694512721,0.06928491343153481,0.09135415475887823
BN004,8760,508227.1622687687,58.01679934574985,84.9850057635353,122593.66448753445,13.994710557937722,22.801752114197555,227638.75586202685,25.986159344980233,44.36367517582549,30811.906628771838,3.5173409393575157,12.29939508500568,321013.4783386641,36.64537423957353,49.14692731768269,0.09511549372925834,0.09027077872353485,0.09199737495844024,0.08509902503837241,0.09461338804163341
BN005,8760,525226.4888306377,59.95736173865727,87.06515864609901,131397.47922826294,14.999712240669284,23.76216240079473,241109.9005435981,27.523961249269192,45.897827033894266,42461.43835812592,4.847196159603415,12.7701014658839,329023.74911345437,37.55978871158155,54.86294936567612,0.09829694379536477,0.0967533911464966,0.09744157071367035,0.11727372309473648,0.09697428223541003
BN006,8760,542734.473714489,61.955990150055825,90.30289435522236,140105.84501314742,15.993817923875277,25.050082200442663,254039.02430747662,28.999888619574957,46.92787914919211,42915.84508398668,4.899069073514461,13.39137492378552,342748.8726806908,39.12658363934826,50.44511602555245,0.10157359004740286,0.10316572056088362,0.10266671544917637,0.11852874342851616,0.10101953431861485
BN007,8760,560958.8935359811,64.03640337168734,90.48395285696392,148866.74986849775,16.99392121786504,26.366498694682264,267191.5059070291,30.501313459706516,49.15232036569629,36290.11696404398,4.142707415986755,13.200464370709728,360432.71442792367,41.14528703515111,55.11571637231566,0.10498431819800455,0.1096167366629081,0.10798212747893372,0.10022922662257007,0.10623155279820236
BN008,8760,577557.7172569132,65.93124626220471,92.671884293349,157863.92375468035,18.020995862406433,26.744797125892894,280176.828337699,31.983656202933677,49.38967034647015,41867.76588850598,4.7794253297381255,13.762329546819087,371239.5184781475,42.37894046554195,58.76909112711531,0.1080908135425144,0.11624172741109916,0.11322998420740156,0.11563406642027403,0.10941667870128059
BN009,8760,595749.0981842177,68.0078879205728,96.30704842288549,166451.51532062775,19.001314534318237,28.65097760578828,293688.36015480605,33.52606851082261,52.15068408757151,51025.35945219822,5.824812722853679,14.832720810868128,381034.9959931593,43.49714566131956,54.91059230868804,0.11149535841334235,0.1225651257796711,0.11869050192168172,0.14092631117997287,0.11230373291463411
BN010,8760,613562.4108623284,70.04137110300552,95.96763786465472,175255.2171566837,20.00630332838855,29.15920886965828,306191.8414107302,34.95340655373632,53.187280094149685,39128.257203457375,4.466696027791937,12.130554818641498,401032.01025858667,45.77990984687062,58.66392943112483,0.11482914723086356,0.1290476550662591,0.12374362852585398,0.10806785115840849,0.11819752055296169
