task_index,task,field,Haining,Will,Yasaman,LLM,human
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,2,2,2,a system with two layers,
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,0,0,2,momentum,real
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,0,0,0,second-quantized,single-particle
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,1,1,1,"valleys, layers, and momentum","valley index (+K and -K valley), layer index (top and bottom layer)."
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,2,2,2,H_{\tau},
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,2,(?),0,variables,
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",order,1,2,1,bottom layer and top layer,"(+K,bottom), (+K,top), (-K,bottom), (-K,top)"
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",Note that the sublattice degrees of freedom is suppressed for now and will be stated later,2,(?),2,False,
2,"Construct Kinetic Hamiltonian (continuum version, single-particle)",definition_of_variables,2,1,2,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone. The $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), where the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
3,Define each term in Kinetic Hamiltonian (continuum version),Energy_dispersion,2,2,2,$H_{\tau}$,
3,Define each term in Kinetic Hamiltonian (continuum version),parabolic|Dirac|cos,2,0,2,parabolic,
3,Define each term in Kinetic Hamiltonian (continuum version),electrons|holes,0,0,0,electrons,holes
3,Define each term in Kinetic Hamiltonian (continuum version),"In addition, a shift of {momentum_shift} in the momentum ${k_symbol}$ for {shifted_Ek}, respectively.",2,2,2,True,
3,Define each term in Kinetic Hamiltonian (continuum version),momentum_shift,1,0,1,"$\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$",$+\kappa$ and $-\kappa$
3,Define each term in Kinetic Hamiltonian (continuum version),k_symbol,2,2,2,\bm{k},
3,Define each term in Kinetic Hamiltonian (continuum version),shifted_Ek,0,1,1,$\bm{k}-\tau \bm{\kappa}$,"$E_{t,+K}$ and $E_{t,-K}$"
3,Define each term in Kinetic Hamiltonian (continuum version),r_symbol,2,2,2,\bm{r},
3,Define each term in Kinetic Hamiltonian (continuum version),kinetic_symbol,2,2,2,$\hat{\mathcal{H}}_0$,
3,Define each term in Kinetic Hamiltonian (continuum version),definition_of_variables,2,2,1,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the  moir\'e Brillouin zone, the $2\times 2$ Hamiltonian hybridizes the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$), the off diagonal terms describe the interlayer tunneling $\Delta_{\text{T},\tau}$, and the diagonal terms describe the momentum-shifted kinetic energy with the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), plus the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$",
4,Construct Potential Hamiltonian (continuum version),potential_symbol,2,2,2,$H_{\tau}$,
4,Construct Potential Hamiltonian (continuum version),real|momentum,0,0,0,momentum,real
4,Construct Potential Hamiltonian (continuum version),single-particle|second-quantized,0,0,2,second-quantized,single-particle
4,Construct Potential Hamiltonian (continuum version),diagonal_potential,0,1,0,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,$\Delta_l(r)$
4,Construct Potential Hamiltonian (continuum version),potential_degrees_of_freedom,1,1,2,the bottom layer ($\mathfrak{b}$) and top layer ($\mathfrak{t}$),$t$ and $b$
4,Construct Potential Hamiltonian (continuum version),offdiagonal_potential,2,2,2,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$",
4,Construct Potential Hamiltonian (continuum version),definition_of_variables,2,2,1,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moir\'e Brillouin zone, the effective mass $(m_{\mathfrak{b}},m_{\mathfrak{t}})=(0.65,0.35)m_e$ ($m_e$ is the rest electron mass), and the intralayer potential $\Delta_{\mathfrak{b}/\mathfrak{t}}$, and a band offset $V_{z\mathfrak{t}}$.",
5,Define each term in Potential Hamiltonian (continuum version),potential_symbol,2,2,0,$H_{\tau}$,
5,Define each term in Potential Hamiltonian (continuum version),Potential_variables,1,1,1,"$\Delta_{\mathfrak{b}}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$, $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$, and $V_{z\mathfrak{t}}$","the intralayer potential $\Delta_l(r)$ and interlayer tunneling $\Delta_{T,\tau}(r)$"
5,Define each term in Potential Hamiltonian (continuum version),expression_diag,1,2,1,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}+\Delta_{\mathfrak{b}}(\bm{r})$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}+ \Delta_\mathfrak{t}(\bm{r})+V_{z\mathfrak{t}}$,"$\Delta_t(r) = V_{zt}$ and $\Delta_b(r)$ is $2V_b\sum_{j=1,3,5} \cos(g_j \cdot r  +\psi_b)$"
5,Define each term in Potential Hamiltonian (continuum version),expression_offdiag,1,2,2,"$\Delta_{\text{T},\tau}(\bm{r})$ and $\Delta_{\text{T},\tau}^\dag(\bm{r})$","$\Delta_{T,+K}(r)=w(1+\omega^{1}e^{i g_2 \cdot r} + \omega^{2} e^{i g_3 \cdot r})$ and $\Delta_{T,-K}(r)=-w(1+\omega^{-1}e^{-i g_2 \cdot r} + \omega^{-2} e^{-i g_3 \cdot r})$."
5,Define each term in Potential Hamiltonian (continuum version),definition_of_variables,2,2,1,"$\tau=\pm 1$ represents $\pm K$ valleys, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$ is at a corner of the moiré Brillouin zone, $m_{\mathfrak{b}}$ and $m_{\mathfrak{t}}$ are the effective masses of the bottom and top layer respectively with values $(0.65,0.35)m_e$ where $m_e$ is the rest electron mass, $\Delta_{\mathfrak{b}}(\bm{r})$ and $\Delta_{\text{T},\tau}(\bm{r})$ are the intralayer potential and interlayer tunneling term respectively, $V_{z\mathfrak{t}}$ is a band offset, and $V_{\mathfrak{b}}$ and $w$ are theoretical parameters that can be adjusted to study different phases.",
6,"Convert from single-particle to second-quantized form, return in matrix",real|momentum,2,2,2,real,
6,"Convert from single-particle to second-quantized form, return in matrix",nonint_symbol,2,2,2,$\hat{\mathcal{H}}_0$,
6,"Convert from single-particle to second-quantized form, return in matrix",kinetic_symbol,2,1,2,$-\frac{\hbar^2\bm{k}^2}{2m_\mathfrak{b}}$ and $-\frac{\hbar^2\left(\bm{k}-\tau \bm{\kappa}\right)^2}{2m_\mathfrak{t}}$,
6,"Convert from single-particle to second-quantized form, return in matrix",potential_symbol,2,1,2,"$\Delta_{\mathfrak{b},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}(\bm{r})$, $\Delta_{\text{T},\tau}^\dag(\bm{r})$, $\Delta_\mathfrak{t,\tau}(\bm{r})$, and $V_{z\mathfrak{t}}$",
6,"Convert from single-particle to second-quantized form, return in matrix",$r$|$k$,2,2,2,$r$,
6,"Convert from single-particle to second-quantized form, return in matrix",second_nonint_symbol,0,0,2,,$\hat{H}^{0}$
6,"Convert from single-particle to second-quantized form, return in matrix",definition_of_variables,2,2,1,"$\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. Note that the spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
7,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",second_nonint_symbol,2,0,2,$\hat{\mathcal{H}}_0$,
7,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",matrix_element_symbol,2,0,2,$H_{\tau}$,
7,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",basis_symbol,2,2,2,$\Psi_{\tau}$,
7,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",definition_of_variables,2,2,2,"$\hat{\mathcal{H}}_0$ is the second-quantized form Hamiltonian, $H_{\tau}$ is the matrix element, and $\Psi_{\tau}$ is the basis. $\tau=\pm $ represents $\pm K$ valleys, $\hbar \bm{k} = -i \hbar \partial_{\bm{r}}$ is the momentum operator, $\bm{\kappa}=\frac{4\pi}{3a_M}\left(1,0\right)$  is at a corner of the moir\'e Brillouin zone, and $a_M$ is the moir\'e lattice constant. The spin index of the fermion operators $\Psi_{\tau}$ is both layer and valley dependent.",
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),real_creation_op,2,2,2,$\Psi_{\tau}^\dagger(\bm{r})$,
8,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),momentum_creation_op,2,2,2,"$c_{\bm{k}_{\alpha},l_{\alpha},\tau}^\dagger$",
