task_index,task,placeholder,grader,score,llm_value,human_value
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Haining,2.0,a system with two layers,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Will,2.0,a system with two layers,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",system,Yasaman,2.0,a system with two layers,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Haining,0.0,momentum,real
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Will,0.0,momentum,real
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",real|momentum,Yasaman,2.0,momentum,real
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Haining,0.0,second-quantized,single-particle
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Will,0.0,second-quantized,single-particle
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",single-particle|second-quantized,Yasaman,0.0,second-quantized,single-particle
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Haining,1.0,"valleys, layers, and momentum","valley index (+K and -K valley), layer index (top and bottom layer)."
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Will,1.0,"valleys, layers, and momentum","valley index (+K and -K valley), layer index (top and bottom layer)."
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",degrees_of_freedom,Yasaman,1.0,"valleys, layers, and momentum","valley index (+K and -K valley), layer index (top and bottom layer)."
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Haining,2.0,H_{\tau},
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Will,2.0,H_{\tau},
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",kinetic_symbol,Yasaman,2.0,H_{\tau},
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Haining,2.0,variables,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Will,,variables,
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",variable,Yasaman,0.0,variables,
