task,mean_score,Haining,Will,Yasaman,num_experts
"Construct Kinetic Hamiltonian (continuum version, single-particle)",,,,,0
Define each term in Kinetic Hamiltonian (continuum version),,,,,0
Construct Potential Hamiltonian (continuum version),,,,,0
Define each term in Potential Hamiltonian (continuum version),,,,,0
"Convert from single-particle to second-quantized form, return in matrix",,,,,0
"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",,,,,0
Convert noninteracting Hamiltonian in real space to momentum space (continuum version),,,,,0
Particle-hole transformation,,,,,0
Simplify the Hamiltonian in the particle-hole basis,,,,,0
Construct interaction Hamiltonian (momentum space),,,,,0
Wick's theorem,,,,,0
Extract quadratic term,,,,,0
Swap the index to combine Hartree and Fock terms,,,,,0
Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),,,,,0
Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),,,,,0
Combine the Hartree and Fock term,,,,,0
