ML,NO.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_max,sheet,feature_sum,candidate_id,retro_mean,retro_std,archived_predicted_strength,nn_dist,penalized_score
RFR-RFR,1,0.06884542092530306,0.32659784674289927,0.029678038914051935,0.33709696774407394,0.22780497069414712,0.009976754979524381,115.3857041755131,EI,0.9999999999999997,1,68.40347023471571,14.89850117109302,115.3857041755131,0.2611369272133235,50.508742560636264
RFR-RFR,2,0.0705569241329276,0.28289794171587374,0.019934387044717033,0.040593946600422585,0.38380140523527995,0.20221539527078194,182.9865534324133,EI,1.0000000000000029,2,82.9868341893239,21.961567153617462,182.9865534324133,0.30901757133594704,59.64534775907728
RFR-RFR,3,0.019795136119078297,0.45561467165176217,0.0693951389729064,0.049429891497451035,0.16830769773315357,0.2374574640256487,149.58244869072894,EI,1.0000000000000002,3,86.83618677109394,17.765075171388506,149.58244869072894,0.2314733889902318,68.69471362579041
RFR-RFR,4,0.07000394945633134,0.3797019603386503,0.03986354608559462,0.05035568111607122,0.13997395371555724,0.32010090928779855,87.98301486199576,EI,1.000000000000003,4,74.83988012269002,18.44190509746642,87.98301486199576,0.21506761684058082,57.016222900333574
RFR-RFR,5,0.09135703872266165,0.42406318890205646,0.060534257477514106,0.2320105921667729,0.14137585140767983,0.05065907132331367,123.14225053078556,EI,0.9999999999999987,5,94.7790086915101,11.191354257356101,123.14225053078556,0.15874889183130306,82.83337588957993
RFR-RFR,6,0.09943975697769035,0.08119328219560237,0.1790867092533545,0.06978178038710518,0.14936616968528024,0.4211323015009711,37.310686482661005,EI,1.0000000000000038,6,70.82773955721493,13.933370370122054,37.310686482661005,0.28477357797624486,52.47011125310411
RFR-RFR,7,0.227224803109542,0.09873085979990148,0.2572130615716996,0.07912182520738337,0.14841845038052473,0.18929099993094667,65.84571832979476,EI,0.9999999999999977,7,60.26556864697683,12.095326436535911,65.84571832979476,0.2756910545949343,43.190263244911506
RFR-RFR,8,0.02050118733233578,0.319769269353473,0.04003455579891344,0.04053218574791113,0.059931601695884,0.5192312000714863,37.14083510261854,EI,1.0000000000000036,8,62.922365311393925,17.804977480994367,37.14083510261854,0.3637896235133545,39.468291630362565
RFR-RFR,9,0.12129440786166334,0.34304732594513415,0.04073460810304279,0.040604246190731726,0.4543194118994327,0.0,93.36164189667375,EI,1.0000000000000049,9,103.81122967039144,19.825102717707768,93.36164189667375,0.25364420814506583,83.75290998573492
RFR-RFR,10,0.1793287325198463,0.2501117032747501,0.12054717063892714,0.15981108323826002,0.2699873548489832,0.020213955479231358,123.14225053078556,EI,0.999999999999998,10,76.77054217511547,15.835291162888197,123.14225053078556,0.09099842401718136,65.21295963298412
RFR-GP,1,0.0,0.2527142641696688,0.03983828851648235,0.11149497883067107,0.3333308161401877,0.26262165234298546,121.27388535031847,EI,0.9999999999999953,11,99.90541393993135,20.078069763121,121.27388535031847,0.35359220960436416,75.72269067419629
