ML,NO.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_max,sheet,feature_sum,candidate_id,retro_mean,retro_std,archived_predicted_strength,nn_dist,penalized_score
ENU-RFR,2,0.13200113246503298,0.5865731464642919,0.00728738191315575,0.07534488114498074,0.09658101745493361,0.10221244055760915,111.76220806794055,EI,1.0000000000000042,42,130.73815176184718,10.44848552999851,111.76220806794055,0.12538911937727923,120.49834422175675
old-SM-GP,1,0.0,0.5881002724572348,0.0,0.09387710903197888,0.3180226185107864,0.0,353.2908704883227,PRED,1.0,139,136.85931318217357,15.626139459738193,353.2908704883227,0.27377809702387496,118.09511957134949
ENU-GP,2,0.01528745814645494,0.5784187222625344,0.08897746101655464,0.0984151012073523,0.1808930094039388,0.03800824796316653,136.10757254069355,EI,1.0000000000000018,47,127.53111788474739,8.029232986893621,136.10757254069355,0.14596428926689287,117.67792982062487
SM-GBM,2,0.08982283256502514,0.579292111529773,0.03083776524513135,0.10005188662743054,0.12008474216573424,0.07991066186690277,192.7246992215145,PRED,0.9999999999999971,160,126.47277298656836,9.707845852392246,192.7246992215145,0.10867351222497368,117.27190957137329
RFR-GP,4,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0,272.3849964614296,EI,0.9999999999999998,14,136.9087367163655,16.65307244664553,272.3849964614296,0.2862940294544062,117.13043931486649
RFR-GP,1,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0,272.3849964614296,PRED,0.9999999999999998,119,136.9087367163655,16.65307244664553,272.3849964614296,0.2862940294544062,117.13043931486649
SM-GBM,1,0.1104747490792623,0.5888247985830962,0.03023633637415718,0.08008133529070774,0.18014439007144087,0.010238390601335702,141.54281670205236,PRED,0.9999999999999999,159,126.83639610778698,11.49040906026288,141.54281670205236,0.1025754136041398,116.98817503348994
ENU-RFR,1,0.0076698542810283024,0.5908194969948446,0.09188271945307903,0.09522713289899284,0.18602374527201085,0.02837705110004133,118.55626326963906,EI,0.9999999999999969,41,127.16493641405066,10.5016226059454,118.55626326963906,0.15263479636758756,115.80873325637447
LP_df,1,0.08012643627304614,0.5898369082531372,0.03976721977444278,0.13021460556611913,0.150088490271766,0.009966339861488887,115.32908704883228,EI,1.0000000000000002,61,124.9067720300998,11.96248655259678,115.32908704883228,0.09582621928694159,115.09247998232375
ENU-RFR,5,0.03580603356186929,0.5899208919997038,0.020893913662986967,0.11540058049161582,0.17234749165836813,0.06563108862545615,122.12314225053079,EI,1.0000000000000002,45,124.83870179389274,11.549779238945549,122.12314225053079,0.15565501355980063,112.83761163202794
ENU-RFR,3,0.03287831731405658,0.5899099580820163,0.08876638694710208,0.08851667303787093,0.1493610329381764,0.05056763168077526,111.76220806794055,EI,0.9999999999999974,43,122.39929019878593,10.710306981594739,111.76220806794055,0.12010755063899474,112.23983468242878
SM-GBM,3,0.010972957447198872,0.585991646863022,0.07041509822760118,0.12097938198984741,0.1511248883310362,0.060516027141294546,250.87048832271762,PRED,1.0,161,123.27501396804924,10.700494040478645,250.87048832271762,0.14322478678443062,112.19577547643269
RFR-GP-3rd-pred,2,0.0,0.5697701241069648,0.0,0.10015256785522626,0.330077308037806,0.0,206.65251238499647,PRED,0.9999999999999971,186,131.37078644790873,16.95472604744088,206.65251238499647,0.2841521186177929,111.52733867947657
RFR-GP,9,0.0,0.48425920995183225,0.0,0.09102000698981905,0.4247207830583444,0.0,197.76362349610758,EI,0.9999999999999957,19,131.239634251008,13.820492053076011,197.76362349610758,0.3443591987947665,110.55502027267933
RFR-GP,9,0.0,0.48425920995183225,0.0,0.09102000698981905,0.4247207830583444,0.0,197.76362349610758,PRED,0.9999999999999957,127,131.239634251008,13.820492053076011,197.76362349610758,0.3443591987947665,110.55502027267933
RFR-GP,5,0.0,0.5603442178578459,0.0,0.139825675254311,0.2998301068878433,0.0,165.03892427459306,PRED,1.0000000000000002,123,128.94361190888984,16.843123005841452,165.03892427459306,0.2646373933494136,109.93655467199257
ENU-RFR,4,0.04770007044429061,0.5916451262972285,0.03582745648021076,0.07729956754504155,0.14629059011329415,0.10123718911993332,102.30714791224345,EI,0.9999999999999989,44,123.30389409421727,15.164279579416311,102.30714791224345,0.1524372216078572,109.62426544019483
SM-GBM,7,0.13100512743817244,0.534961886171871,0.03018561369260337,0.10113012317166006,0.16218379029180882,0.04053345923388451,144.60014154281671,PRED,1.0000000000000002,165,119.16088098345001,11.538429344645404,144.60014154281671,0.10707211885477666,109.10878155693624
LP_df,2,0.09056945837772513,0.5554798455143414,0.04035248524031987,0.13133097685608386,0.15185796847644026,0.030409265535089748,107.2894550601557,EI,1.0000000000000002,62,116.87940914555209,11.570184491605337,107.2894550601557,0.10205280057137346,107.01220487689447
LP_df,6,0.08979049976874494,0.5440134459076447,0.03991615583699945,0.13852357302346827,0.1283401472353059,0.0594161782278392,120.36801132342534,EI,1.0000000000000027,66,115.99533852842737,11.847360648294975,120.36801132342534,0.10935253370496659,105.69755685608122
