No.,Glass (kPa)_10s,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Q,Modulus (kPa),XlogP3
G-042,146.63835810332625,0.14094187214901174,0.591213469724186,0.07622518060868366,0.09585094387023263,0.0957685336478861,0.0,0.3732480000000001,5855.0,0.7945647355979923
G-107,137.0134465675867,0.13153840151429808,0.585805341416514,0.09346979529372941,0.09231488999068535,0.09687157178477324,0.0,0.3528936296296296,7930.0,0.8034778891600595
G-004,126.82236376503893,0.2163563060405009,0.1994740702224794,0.0881418434484952,0.17430278490590836,0.32172499538261606,0.0,1.1910160000000003,8866.0,0.38459513044044935
G-041,123.99150743099787,0.12457265137375594,0.6201755264247695,0.0921295619726014,0.07596144603593272,0.08716081419294035,0.0,0.43897600000000025,18447.0,0.882022551048468
G-154,121.33050247699929,0.1360027324230745,0.5760787538394659,0.09639392267261102,0.09824696492092226,0.0,0.09327762614392625,0.38371229629629616,5937.0,0.5669427000705657
G-164,118.895966029724,0.1318291300177241,0.5795522916729042,0.1177844702812793,0.07684392559088624,0.0,0.09399018243720617,0.27042162962962957,8901.0,0.6323488537559534
G-152,113.8004246284501,0.14164926999612998,0.5797928455802961,0.10449837361472324,0.08608844230889631,0.0,0.08797106849995458,0.254037037037037,11920.0,0.6055798948562355
G-005,109.27105449398444,0.11982103312688624,0.4100782635726174,0.1918131069994494,0.18716702427784399,0.09112057202320299,0.0,1.1033703703703706,7136.0,0.30477564110839206
G-153,107.8556263269639,0.16249466873075383,0.575870681244267,0.1038209193654809,0.08804577070242324,0.0,0.06976795995707516,0.33329303703703705,10617.0,0.5946095859362549
G-040,107.5725406935598,0.2907703431335454,0.08835411115546692,0.0,0.2228370531533274,0.39803849255766033,0.0,1.2831842962962963,7377.0,0.1896770455657144
G-108,107.5725406935598,0.12131765133120861,0.5865106499216102,0.09573166757103267,0.10734914199275752,0.08909088918339114,0.0,0.45062962962962955,17441.0,0.7552984335651876
G-013,104.74168435951876,0.2123454146473781,0.5079801849379997,0.19680715250970285,0.08286724790491946,0.0,0.0,0.3528936296296296,11690.0,0.5320530341862546
G-074,104.74168435951876,0.5532939832112999,0.20109334402789553,0.17248319354111652,0.07312947921968825,0.0,0.0,0.2232802962962962,12727.0,-0.012248069461321842
G-012,103.60934182590233,0.3078800999942429,0.2213090350308787,0.38635015696330094,0.08446070801157755,0.0,0.0,0.4052239999999998,11698.0,0.10160614399312812
G-081,103.4961075725407,0.34649267432488273,0.4771066025959439,0.08483410318086682,0.09156661989830668,0.0,0.0,0.7453202962962965,15579.0,0.40237225593644
