feature,importance_mean,importance_std
Cationic-ATAC,20.06360155710327,1.4574690329370896
Nucleophilic-HEA,10.138921246323132,0.9542683679997122
XlogP3,8.332176423813747,0.5886069080058441
Acidic-CBEA,2.6628636652985636,0.3414255009982297
Hydrophobic-BA,2.6537366433202956,0.2305984840576134
Aromatic-PEA,1.4862868144231633,0.4325700676361708
Slope,1.178780900469783,0.07037877316109806
Q,1.1764361704164121,0.1458708270421443
Tanδ,1.1594243589788742,0.1088790590204495
Modulus (kPa),0.7653776401180525,0.07235070911006349
Amide-AAm,0.17324767678499411,0.039457110344066175
Phase Seperation,0.013626722987488904,0.005145145530675622
