Feature,N,Mean,Std,Min,Max,Median
Nucleophilic-HEA,184,0.371,0.168,0.0,0.655,0.417
Hydrophobic-BA,184,0.33,0.145,0.0,0.68,0.311
Acidic-CBEA,184,0.135,0.095,0.0,0.466,0.105
Cationic-ATAC,184,0.096,0.09,0.0,0.518,0.086
Aromatic-PEA,184,0.045,0.097,0.0,0.455,0.0
Amide-AAm,184,0.023,0.048,0.0,0.3,0.0
Glass (kPa)_10s,184,50.977,45.968,1.189,304.6,42.067
Steel (kPa)_10s,28,45.793,27.458,8.04,91.154,40.085
Q,180,0.865,0.863,0.176,4.147,0.451
Modulus (kPa),180,11036.156,5896.27,1459.0,28703.0,10265.5
XlogP3,180,0.225,0.362,-0.884,0.965,0.231
