ML,mean,max,count
ENU-RFR,113.30219391365888,122.12314225053079,5
ENU-GP,106.39490445859872,136.10757254069355,5
CLMax,130.3326256192498,145.84571832979475,5
LP_df,118.61854210898795,153.82873319179052,10
RFR-RFR,101.58811040339702,182.9865534324133,10
CLMin,137.02476999292284,198.21656050955414,5
RFR-GP-2rd-ei,94.49398443029017,221.20311394196744,10
RFR-GP-3rd-ei,128.64669340253204,229.69568294409058,9
GP-GP,160.43595187544233,248.54918612880397,10
GP-GP-3rd-ei,175.45081387119603,250.98372257607926,10
GP-RFR,103.73389950460015,254.04104741684358,10
old-SM-GP,195.24416135881103,269.10120311394195,10
GP-GP-2rd-ei,219.74805378627033,281.6135881104034,10
RFR-GP,185.47770700636943,321.18895966029726,10
