rank,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,RF_pred_kPa,GP_pred_mean_kPa,GP_pred_sd_kPa,expected_improvement,high_perf_zdistance,design_score,predicted_gt_1MPa,predicted_gt_100kPa
1,0.030620535623007032,0.5083512767057247,0.00048353658476966613,0.05304012555814053,0.35418101281707326,0.05332351271128508,265.88195329087085,102.80390706596339,110.72374883000191,1.492899455054567,5.602021588870249,198.82218164717807,False,True
2,0.029654157668607573,0.5100155385879166,0.01803194194198471,0.07317273535837975,0.32859893209940444,0.04052669434370689,240.16154753479591,100.28165232311515,111.03453235978168,1.4315290278178638,4.5525337068002205,187.04718082707498,False,True
3,0.002932778398754271,0.5414580521883612,0.002232976123038802,0.07931687907684977,0.3104136968876964,0.06364561732529958,245.62811983958488,98.30928388083645,111.14410042284946,1.3757666325522475,5.4721910803198845,183.81673277083777,False,False
4,0.012131236668590825,0.5807445278650558,0.00409666245224508,0.07620296282305072,0.30106911123202307,0.02575549895903437,245.65277974365023,91.89039904764974,111.52586541513993,1.2094784881694665,4.618793395616667,177.45825125866426,False,False
5,0.0050506800820605624,0.46411807733886506,0.0068089760448123,0.08598181970266423,0.4103766918484188,0.027663754983179047,215.95407721946978,100.41747194357691,110.83325544415158,1.4212422985850823,4.693661326024742,175.36454699140543,False,True
6,0.0076800404335943704,0.5450109768029333,0.020898692116607012,0.1143831793052599,0.28602821189416094,0.025998899447444677,240.47017378312498,89.30603924769389,111.65428425653741,1.1463774758889516,3.547978928652147,174.89795068843733,False,False
7,0.0071908220410789,0.5667058165064256,0.003262200479747321,0.028239100059614056,0.39363704707411373,0.0009650138390202814,255.3277659825432,91.78861712362352,111.23730312419613,1.1880568148291877,6.664030378399911,174.77971807135984,False,False
8,0.03090853557514204,0.5432620167806991,0.00442189674836142,0.08278098029546785,0.3297663322743717,0.008860238325957696,244.0305103404891,90.33113096912433,111.53318497275603,1.1666094237944593,4.701700621255805,174.2108461762171,False,False
9,0.006196966061832671,0.6142587376436116,0.006729811447450385,0.03995107998246383,0.31455661322735684,0.018306791637284638,263.61324211685167,85.02834795175747,111.7042232890738,1.0391248939004818,5.721969723781697,172.98265918619808,False,False
10,0.014999543413892986,0.5173893979824954,0.023749309290237795,0.12155251260362679,0.28649137022375964,0.03581786648598742,232.75640481245568,90.73947690251694,111.56987467916048,1.1801554018406062,3.6968762057872087,172.83930923441716,False,False
11,0.00830372562230023,0.5572902222621061,0.025859534997822523,0.07996533157251637,0.26008554483832946,0.06849564070692532,238.51411496422108,91.19402217115638,111.39882705729536,1.181849549253207,5.058384881341747,171.5729318254387,False,False
12,0.03355020831461913,0.6234595790893853,0.009022021113726566,0.05032702434001075,0.25726354109428434,0.02637762604797393,264.83113941967474,79.72719558132316,111.91754809268228,0.9266830949888796,4.872658923619269,169.704178212625,False,False
13,0.026465272371840716,0.5130209543355226,0.0436519228269749,0.08197753368936372,0.3115384824346161,0.023345834341681884,223.39130298026257,90.20444905310703,111.57392782678602,1.165712217981092,3.6520294711475514,167.99181871931373,False,False
14,0.009890658420630825,0.5268384263044638,0.0023114125820009996,0.01648422804507094,0.42640442469051926,0.018070849957314238,218.23876700479687,97.94198882739022,110.86978567837122,1.3448190605623331,6.406223774206879,167.3170820386474,False,False
15,0.0223068826993972,0.5007744290637327,0.03518004256869358,0.06711522737318942,0.31775095101321005,0.056872467281776896,213.4895966029722,95.59171806180541,111.24138423120853,1.2985408566541699,4.8382392185760015,167.20138174541614,False,False
16,0.02076751612603169,0.4695683526334088,0.06027523310399199,0.029726111027537163,0.39268269590882476,0.026980091200205638,223.15489502241098,91.97176117724464,111.29648581822822,1.1969711372916132,4.888932042446619,166.0495904001591,False,False
17,0.007611898149625615,0.5993356503976524,0.039591648844059774,0.0682197492394157,0.24723275277529155,0.03800830059395494,235.62966108358881,84.85031641962692,111.73726004816783,1.0366462590880117,4.497411021454603,163.90179584311792,False,False
18,0.011082820960088413,0.5406080794434835,0.01280853821003734,0.16786050553197226,0.23809316319975962,0.02954689265465885,238.12635055437602,83.73498007127452,111.56108842265891,0.9995902243037929,4.360096617251941,163.55759035234092,False,False
19,0.0517259730116637,0.5285401503324982,0.0004646532649004302,0.059539302889990355,0.34087145106122635,0.018858469439720908,201.5294173154045,96.47477638660348,111.17222825656778,1.3205959787251542,4.750783257611782,163.2771401974763,False,False
20,0.035693774225539494,0.609739399076162,0.030954196239946205,0.1330711195159078,0.15862654182878733,0.03191496911365706,214.8748289690963,89.6356792690137,110.9162501521978,1.1097081557077635,3.285888897008588,162.8079405371633,False,False
21,0.0246076576301356,0.4872462473308717,0.05020912325364655,0.08705946046153082,0.31463297000766643,0.03624454131614873,207.9111740190295,90.81581135632777,111.53920612595208,1.1803157554935835,3.648350674613905,161.83769368287673,False,False
22,0.03520644872145724,0.6205995479156013,0.000470640415488032,0.12033424186085646,0.1675551470295141,0.05583397405708299,220.70073130455282,88.13405111555556,111.16690238190411,1.0857798496602076,4.128246234768328,161.4152701568869,False,False
23,0.019362954930948507,0.42155779597951376,0.004074524856609066,0.10813434791934466,0.4165899604285144,0.03028041588506946,218.1646614767632,89.3513408480922,111.40407004443152,1.132097657951709,4.5649650557202275,161.2514578992665,False,False
24,0.009056141697721983,0.47602535060192425,0.001187566052912746,0.11698268472403547,0.3952348227037523,0.0015134342196531743,215.12218290477284,88.25922595109347,111.36048744846784,1.10066834001299,4.684174719919847,157.8793212397977,False,False
25,0.006143836878395747,0.6337069473095819,0.009097898754650216,0.1486234818767293,0.17215772701433996,0.03027010816630298,217.27438861366656,86.06238210315351,111.27382758196545,1.0397668734831136,4.209594141419036,157.0550151287458,False,False
26,0.007571315362376177,0.6466036990769858,0.0015075531302513004,0.07629094272109371,0.24542798686383888,0.022598502845453946,232.7643312101909,78.40239124019942,111.93626025308815,0.8985877260733579,4.715467933814929,154.15284611230314,False,False
27,0.009149687464871185,0.6666868400734621,0.014575348759014287,0.035244772751565165,0.2551607722877087,0.019182578663378313,255.7258472910279,71.03978958018288,112.11031535281943,0.7591033677340198,5.599350559641918,153.65105887829003,False,False
28,0.03033043518822649,0.5871968127487,0.09260006872567758,0.055218146068901505,0.23461673537943595,3.78018890584997e-05,251.41174805378648,68.76344277760182,111.95278971723462,0.7109304226762898,4.139572940742514,153.3562430684917,False,False
29,0.025460813143692234,0.6559122692903068,0.00556256133818278,0.12306446385938723,0.169701229453802,0.02029866291462899,215.89532122355888,81.97641595385794,111.41447335579156,0.9504377118489229,3.703478982467714,152.93253093086355,False,False
30,0.012470947056219704,0.5920772925490346,0.0656070745093742,0.0259424225391579,0.283649403666975,0.02025285967923856,238.33910513485898,75.49750371263427,112.00231647330541,0.8408714055025657,4.923036177728539,152.7024457505767,False,False
31,0.013991798324818457,0.5760406392484131,0.08770069064029447,0.14284474833300556,0.1668072891075227,0.012614834345945519,209.6234017456946,82.61631571211186,110.93657130904323,0.9391874188691736,2.9892631037468713,152.0246276477592,False,False
32,0.0015027980634799614,0.639065410419197,0.03577034422584371,0.05269951504406401,0.2676257510371886,0.0033361812102268044,249.24129904851782,71.42846401655645,112.10880558226353,0.7662971355329784,5.437653481088418,151.64325877244403,False,False
33,0.02639542732034738,0.579888549239071,3.737157433523436e-05,0.14054037391154317,0.2510366807469221,0.0021015972077812555,234.8435637335848,75.14914633539863,111.9937858646431,0.8333751237873033,4.646013950421372,151.53731629555435,False,False
34,0.0006320979068626434,0.6860221495657984,0.014859275557908789,0.04649828321531047,0.23873867714917568,0.013249516604943874,255.7258472910279,68.17475034434719,112.14175297148843,0.7087877220285277,5.609583342368248,150.59539849741782,False,False
35,0.01672370757066413,0.6589786957007039,0.03097763317141403,0.09019324165508075,0.1617603744517673,0.04136634745037,212.9986632067311,81.48396726279384,111.46737504290606,0.9420902714969612,3.992325994178596,150.25465104489697,False,False
36,0.019648722246274772,0.6015572511874033,0.056331273221122684,0.08330992344688674,0.23518440152291215,0.0039684283754003995,228.10172210426973,74.9975749027043,111.89161206194434,0.8253393340394686,4.067202150890145,149.86391257332332,False,False
37,0.025180652370331204,0.6427290921875056,0.004212025286935683,0.02478656400645902,0.256899665352621,0.04619200079614743,237.685114413777,76.24508187654288,111.98185841646321,0.8552229234455,6.090616177358257,149.74385335585202,False,False
38,0.025573819338864136,0.5939291832525396,0.06209531550251318,0.14232402677473066,0.1757110981328813,0.00036655699847118977,211.57103090351478,81.17237415620164,111.01344194674267,0.9109643131070397,3.654449536833883,149.26582829327748,False,False
39,0.03803511628160285,0.4386035356990525,0.028265417499697822,0.1259558150958724,0.29505142765010445,0.07408868777366993,216.51081229849783,80.21553281919785,111.85140655729121,0.9340736199921968,4.613008942433907,149.20692602072083,False,False
40,0.00844382624854823,0.5948329055494704,0.0023866058452047694,0.1882436661105247,0.18769609966036901,0.018396896585882845,219.30644019815975,80.451148344193,111.50224599165455,0.9207878359920736,4.8852520635566945,149.196735686573,False,False
41,0.028217188146561697,0.504504035671317,0.029563112672591724,0.11961796606240889,0.31528249280138443,0.0028152046457361286,211.15546119367755,79.75083031281468,111.9298642771776,0.9278621047160103,3.8868642661796864,148.56316383308618,False,False
42,0.0218796539736648,0.586758948919987,0.02963334507608671,0.16745345701160386,0.1876110589667947,0.006663536051862893,214.13679326885253,80.33377375376708,111.44358428277023,0.9150934824814136,4.368307084729485,148.1512909160513,False,False
43,0.040093457002799704,0.6752009033091221,0.0008183175114385707,0.03753238853353998,0.2190564512098526,0.02729848243324699,243.04486907289476,69.83296252985464,112.08546707422232,0.7358350799713111,5.22858749175053,147.69936015077474,False,False
44,0.06065721025059494,0.5754616759534116,0.022182358643710907,0.05739637518645728,0.2558307814687582,0.028471598497067124,201.25878744987023,83.32415082803718,111.79341826877281,1.0028452412401485,4.168269046765721,147.5296993709116,False,False
45,0.015634979391653668,0.6008124419241193,0.04064853895153052,0.13381965905082316,0.20585154552281357,0.003232835159059677,212.66902571361152,78.79185114150832,111.59916536566655,0.889585563354431,3.9602811967243214,147.15003065961108,False,False
46,0.02840000609893131,0.643263285165592,0.05806447517771929,0.09580416407072381,0.1691593942110419,0.005308675275991908,209.11875442321295,80.13594105915261,110.88262958758877,0.8816004258790402,3.5294259247709725,146.99448120718975,False,False
47,0.009101628840008126,0.5533161563604769,0.029867476623646867,0.19779979743946005,0.1834275380807818,0.02648740265562642,206.86728001887226,80.83777451966914,111.52198175605578,0.930456580902173,4.38575183369226,145.62152271671823,False,False
48,0.013364019091279024,0.6756412153617236,0.02215379091275144,0.1312111449418868,0.15730746238994028,0.0003223673024188082,215.89532122355888,77.52905344738954,111.31195938039541,0.8484068678512795,4.323058617891441,145.41657018089685,False,False
49,0.007152736174082018,0.6353939540340762,0.05420068342510507,0.057506605303306875,0.24141349659212288,0.004332524471306965,233.49242745930636,70.7840692392692,112.04472099061027,0.751389234732251,4.890427535159568,145.373253986482,False,False
50,0.03463576967272502,0.4672089878783172,0.029972144001006857,0.011578731264660429,0.4358740512017199,0.020730315981570668,184.22181332075172,91.65951836279146,111.16366247304403,1.1797693686014972,5.781093154548811,145.05259195618476,False,False
