No.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass_max_kPa,Steel_max_kPa,Q,Phase Seperation,Modulus (kPa),Tanδ,XlogP3
G-001,0.5187030996297279,0.19930214833259108,0.09476832310244172,0.18722642893523825,0.0,0.0,22.363765038924274,,2.515456000000001,1.0,5599.0,0.0105,-0.3133557183360619
G-002,0.42178707272479005,0.4062137461445382,0.17199918113067175,0.0,0.0,0.0,12.569002123142251,,0.238328,0.0,19219.0,0.1573,0.5252238952657209
G-003,0.5368643097418104,0.10837528063313279,0.1840671899149181,0.17069321971013868,0.0,0.0,10.927105449398443,,2.9038056296296286,1.0,4555.0,,-0.3969259926288726
G-004,0.2163563060405009,0.1994740702224794,0.0881418434484952,0.17430278490590836,0.32172499538261606,0.0,126.82236376503893,,1.1910160000000003,1.0,8866.0,0.148,0.38459513044044935
G-005,0.11982103312688624,0.4100782635726174,0.1918131069994494,0.18716702427784399,0.09112057202320299,0.0,109.27105449398444,33.85704175513093,1.1033703703703706,1.0,7136.0,0.1024,0.30477564110839206
G-006,0.23359972043322955,0.2999268066669277,0.46647347289984264,0.0,0.0,0.0,7.19037508846426,60.58032554847841,0.2962962962962963,0.0,13350.0,0.0988,0.4751298196846271
G-007,0.5083477338623493,0.22245732419009484,0.10150779687566042,0.16768714507189547,0.0,0.0,39.97169143665959,,2.2999680000000002,1.0,6240.0,0.00755733,-0.22365413696286934
G-008,0.4279597500148048,0.3820111115391019,0.09970859608637408,0.09032054235971926,0.0,0.0,77.5654635527247,,0.5120000000000002,1.0,12158.0,0.1422,0.24047760738737908
G-009,0.44303394698918414,0.17691555573758633,0.38005049727322954,0.0,0.0,0.0,11.040339702760084,,0.33329303703703705,1.0,21207.0,0.0739,0.21106050104204177
G-010,0.638621162720913,0.11451410258815117,0.08572782173699028,0.0763537893540844,0.08478312359986119,0.0,76.9992922859165,,0.5927039999999999,1.0,10703.0,0.0719,-0.041057200082559225
G-011,0.5069656195679517,0.3052583981925558,0.10062452884908858,0.08715145339040398,0.0,0.0,44.217975937721164,,0.5927039999999999,1.0,8089.0,0.1195,0.10939806694177331
G-012,0.3078800999942429,0.2213090350308787,0.38635015696330094,0.08446070801157755,0.0,0.0,103.60934182590233,90.02123142250531,0.4052239999999998,1.0,11698.0,0.1218,0.10160614399312812
G-013,0.2123454146473781,0.5079801849379997,0.19680715250970285,0.08286724790491946,0.0,0.0,104.74168435951876,91.15357395612173,0.3528936296296296,1.0,11690.0,0.1836,0.5320530341862546
G-014,0.2306518816149881,0.49923541836127544,0.18200348810610692,0.0,0.0881092119176296,0.0,21.231422505307854,44.72753007784855,0.23072237037037033,0.0,5951.0,0.186,0.8820719444495364
G-015,0.23410077528009438,0.5044048392812583,0.09694436553100166,0.16455001990764564,0.0,0.0,67.37438075017693,35.44232130219391,1.1910160000000003,1.0,7873.0,0.0766,0.2910084605099207
G-016,0.19063616336722153,0.4043636547955581,0.2266512161027418,0.09572775390463152,0.08262121182984702,0.0,58.881811748053785,50.332625619249825,0.427525037037037,1.0,25301.0,0.1206,0.5021882708147938
G-017,0.40952353647686185,0.4153046351705805,0.17517182835255768,0.0,0.0,0.0,10.021231422505307,60.01415428167021,0.2788717037037037,0.0,23559.0,0.0499,0.5431888577403657
G-018,0.5536943211729035,0.27425453442042697,0.07774562228952112,0.0943055221171485,0.0,0.0,69.63906581740977,,0.9032962962962963,1.0,11649.0,0.0513,0.02598642603794532
G-019,0.5426729399285165,0.21999155422362437,0.14905080160391457,0.08828470424394456,0.0,0.0,50.389242745930645,,0.6661010370370372,1.0,10248.0,0.0569,-0.02397317564392537
G-020,0.5705274908941438,0.2536266502916755,0.08758241174812822,0.08826344706605237,0.0,0.0,44.78414720452937,,0.5513679999999999,1.0,10144.0,0.0629,0.00722912545103252
G-021,0.5722976613136135,0.2490081824570476,0.09012862139866443,0.0885655348306745,0.0,0.0,51.238499646142955,,0.7129197037037038,1.0,11819.0,0.0444,-0.0005812691147299154
G-022,0.42835735362010097,0.30310247640275706,0.08805903089758042,0.1804811390795615,0.0,0.0,60.01415428167021,,2.032296296296296,1.0,6499.0,0.016,-0.11354855473787917
G-023,0.1939385653003168,0.35217163011179914,0.4538898045878841,0.0,0.0,0.0,6.510969568294409,90.58740268931352,0.216,0.0,18061.0,0.0361,0.5635077757512599
G-024,0.5108891068589234,0.22671781141562042,0.17758739409884444,0.08480568762661166,0.0,0.0,60.58032554847841,,0.5927039999999999,1.0,16605.0,0.0398,0.009891782783809755
G-025,0.508476553543306,0.23241162171545077,0.17283840647653145,0.08627341826471183,0.0,0.0,66.58174097664543,,0.636056,1.0,16319.0,0.0391,0.014544680815507
G-026,0.5535924602587167,0.21312607537615638,0.17154571305862507,0.061735751306501885,0.0,0.0,70.20523708421797,,0.5380290370370371,1.0,25325.0,0.038,0.03505409753079772
G-027,0.5116229155075326,0.2263794860021154,0.19085958768639252,0.07113801080395929,0.0,0.0,67.94055201698514,,0.43897600000000025,1.0,27585.0,0.0348,0.04687353684294768
G-028,0.524952922968346,0.20933004917372855,0.08369119470838728,0.18202583314953832,0.0,0.0,19.532908704883226,,2.000376,1.0,4829.0,0.0128,-0.288702495518916
G-029,0.2300126235532236,0.4999971467399693,0.1805403311111953,0.08944989859561164,0.0,0.0,69.01627742392074,,0.416274962962963,1.0,23567.0,0.1183,0.49475207861620085
G-030,0.5227726109319161,0.22690265202872884,0.08653985934856558,0.16378487769078956,0.0,0.0,47.388535031847134,,1.8457789629629626,1.0,4668.0,0.169,-0.21393289228946025
G-031,0.5071156852634597,0.30342887399438934,0.09979554928519888,0.08965989145695206,0.0,0.0,38.55626326963907,,0.5513679999999999,1.0,13917.0,0.082,0.09996625513283383
G-032,0.3128754814998835,0.4487101338189882,0.15128892521424933,0.0,0.08712545946687908,0.0,21.45789101203114,,0.28749600000000003,0.0,27490.0,0.0724,0.7738631408216053
G-033,0.5057071166218131,0.23479371043905878,0.0883194749973266,0.17117969794180132,0.0,0.0,39.518754423213025,,1.906624,1.0,6615.0,0.0114,-0.2156846873972939
G-034,0.4965817485747678,0.3575734349454584,0.0,0.14584481647977382,0.0,0.0,79.03750884642605,8.039631988676575,1.728,1.0,7182.0,0.0233,0.021488800005907915
G-035,0.21046771513593646,0.5095246553249995,0.08843370264625793,0.1915739268928061,0.0,0.0,96.41896673743807,,1.306946370370371,1.0,3995.0,0.0457,0.23448734715398978
G-036,0.4188853124496205,0.40333860718702447,0.17777608036335496,0.0,0.0,0.0,16.022646850672327,86.96390658174097,0.26214400000000004,0.0,24616.0,0.0596,0.5228129374791817
G-037,0.507843741003072,0.3066106278269983,0.09948653793907768,0.08605909323085224,0.0,0.0,44.16135881104034,,0.5249069629629629,1.0,15026.0,0.0816,0.11378654735995133
G-038,0.5942339690361933,0.09104206399141367,0.24980890749941392,0.06491505947297914,0.0,0.0,66.24203821656052,,0.6069282962962964,1.0,17356.0,0.0169,-0.1551514950509658
