ML,NO.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_max,selection_sheet,file,row_index,inferred_round
RFR-RFR,1,0.06884542092530306,0.32659784674289927,0.029678038914051935,0.33709696774407394,0.22780497069414712,0.009976754979524381,115.3857041755131,EI,ML_ei&pred_20240213.xlsx,1,round1
,2,0.0705569241329276,0.28289794171587374,0.019934387044717033,0.040593946600422585,0.38380140523527995,0.20221539527078194,182.9865534324133,EI,ML_ei&pred_20240213.xlsx,2,round1
,3,0.019795136119078297,0.45561467165176217,0.0693951389729064,0.049429891497451035,0.16830769773315357,0.2374574640256487,149.58244869072894,EI,ML_ei&pred_20240213.xlsx,3,round1
,4,0.07000394945633134,0.3797019603386503,0.03986354608559462,0.05035568111607122,0.13997395371555724,0.32010090928779855,87.98301486199576,EI,ML_ei&pred_20240213.xlsx,4,round1
,5,0.09135703872266165,0.42406318890205646,0.060534257477514106,0.2320105921667729,0.14137585140767983,0.05065907132331367,123.14225053078556,EI,ML_ei&pred_20240213.xlsx,5,round1
,6,0.09943975697769035,0.08119328219560237,0.1790867092533545,0.06978178038710518,0.14936616968528024,0.4211323015009711,37.310686482661005,EI,ML_ei&pred_20240213.xlsx,6,round1
,7,0.227224803109542,0.09873085979990148,0.2572130615716996,0.07912182520738337,0.14841845038052473,0.18929099993094667,65.84571832979476,EI,ML_ei&pred_20240213.xlsx,7,round1
,8,0.02050118733233578,0.319769269353473,0.04003455579891344,0.04053218574791113,0.059931601695884,0.5192312000714863,37.14083510261854,EI,ML_ei&pred_20240213.xlsx,8,round1
,9,0.12129440786166334,0.34304732594513415,0.04073460810304279,0.040604246190731726,0.4543194118994327,0.0,93.36164189667375,EI,ML_ei&pred_20240213.xlsx,9,round1
,10,0.1793287325198463,0.2501117032747501,0.12054717063892714,0.15981108323826002,0.2699873548489832,0.020213955479231358,123.14225053078556,EI,ML_ei&pred_20240213.xlsx,10,round1
