Round,ML,max,mean,count
1,CLMax,145.84571832979475,130.3326256192498,5
1,CLMin,198.21656050955414,137.02476999292284,5
1,ENU-GP,136.10757254069355,106.39490445859872,5
1,ENU-RFR,122.12314225053079,113.30219391365888,5
1,GP-GP,248.54918612880397,160.43595187544233,10
1,GP-RFR,254.04104741684358,103.73389950460015,10
1,LP_df,153.82873319179052,118.61854210898795,10
1,RFR-GP,321.18895966029726,185.47770700636943,10
1,RFR-RFR,182.9865534324133,101.58811040339702,10
1,old-SM-GP,269.10120311394195,195.24416135881103,10
2,GP-GP-2rd-ei,281.6135881104034,219.74805378627033,10
2,RFR-GP-2rd-ei,221.20311394196744,94.49398443029017,10
3,GP-GP-3rd-ei,250.98372257607926,175.45081387119603,10
3,RFR-GP-3rd-ei,229.69568294409058,128.64669340253204,9
