repetition,coverage_ratio,reported_coverage_ratio,threshold
0,0.99,0.99,0.5
1,0.99,0.99,0.5
2,0.99,0.99,0.5
3,0.99,0.99,0.5
4,1.0,1.0,0.5
5,0.98,0.98,0.5
6,1.0,1.0,0.5
7,1.0,1.0,0.5
8,0.98,0.98,0.5
9,1.0,1.0,0.5
0,0.99,0.99,0.7
1,0.99,0.99,0.7
2,0.99,0.99,0.7
3,0.99,0.99,0.7
4,1.0,1.0,0.7
5,0.98,0.98,0.7
6,0.99,0.99,0.7
7,1.0,1.0,0.7
8,0.98,0.98,0.7
9,0.99,0.99,0.7
0,0.9,0.9,0.9
1,0.88,0.88,0.9
2,0.6,0.6,0.9
3,0.82,0.82,0.9
4,0.97,0.97,0.9
5,0.95,0.95,0.9
6,0.99,0.99,0.9
7,1.0,1.0,0.9
8,0.78,0.78,0.9
9,0.98,0.98,0.9
0,0.67,0.67,0.95
1,0.44,0.44,0.95
2,0.09,0.09,0.95
3,0.45,0.45,0.95
4,0.88,0.88,0.95
5,0.69,0.69,0.95
6,0.82,0.82,0.95
7,0.83,0.83,0.95
8,0.37,0.37,0.95
9,0.82,0.82,0.95
