population,mean_p_response,std_p_response,coverage_0.5,coverage_0.9
"100-cells.10x, 0",0.9426851051143266,0.10132445477665265,0.99,0.9
"100-cells.10x, 1",0.9321466295897786,0.10190330970320839,0.99,0.88
"100-cells.10x, 2",0.8927035099236036,0.0880166845495228,0.99,0.6
"100-cells.10x, 3",0.9260332978362631,0.08925658215713662,0.99,0.82
"100-cells.10x, 4",0.9764399539697289,0.02650840692773823,1.0,0.97
"100-cells.10x, 5",0.9372315856376983,0.13934205444863001,0.98,0.95
"100-cells.10x, 6",0.9669038206238553,0.04504586492114266,1.0,0.99
"100-cells.10x, 7",0.9726328255454676,0.01946638943619843,1.0,1.0
"100-cells.10x, 8",0.9141367089439815,0.12701602645126567,0.98,0.78
"100-cells.10x, 9",0.9665568629318829,0.05033231116792967,1.0,0.98
