,rep-0,rep-1,rep-2,rep-3,rep-4,rep-5,rep-6,rep-7,rep-8,rep-9
rep-0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep-9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
