threshold,coverage
0.0,1.0
0.01,0.995
0.02,0.995
0.03,0.995
0.04,0.995
0.05,0.995
0.06,0.995
0.07,0.995
0.08,0.995
0.09,0.995
0.1,0.995
0.11,0.995
0.12,0.995
0.13,0.995
0.14,0.995
0.15,0.994
0.16,0.994
0.17,0.994
0.18,0.992
0.19,0.992
0.2,0.992
0.21,0.992
0.22,0.992
0.23,0.992
0.24,0.992
0.25,0.992
0.26,0.992
0.27,0.992
0.28,0.992
0.29,0.992
0.3,0.992
0.31,0.992
0.32,0.992
0.33,0.992
0.34,0.992
0.35000000000000003,0.992
0.36,0.992
0.37,0.992
0.38,0.992
0.39,0.992
0.4,0.992
0.41000000000000003,0.992
0.42,0.992
0.43,0.992
0.44,0.992
0.45,0.992
0.46,0.992
0.47000000000000003,0.992
0.48,0.992
0.49,0.992
0.5,0.992
0.51,0.992
0.52,0.991
0.53,0.991
0.54,0.991
0.55,0.991
0.56,0.991
0.5700000000000001,0.99
0.58,0.99
0.59,0.99
0.6,0.99
0.61,0.99
0.62,0.99
0.63,0.99
0.64,0.99
0.65,0.99
0.66,0.99
0.67,0.99
0.68,0.99
0.6900000000000001,0.99
0.7000000000000001,0.99
0.71,0.99
0.72,0.989
0.73,0.987
0.74,0.987
0.75,0.985
0.76,0.985
0.77,0.985
0.78,0.982
0.79,0.982
0.8,0.98
0.81,0.978
0.8200000000000001,0.977
0.8300000000000001,0.975
0.84,0.967
0.85,0.958
0.86,0.951
0.87,0.935
0.88,0.918
0.89,0.903
0.9,0.887
0.91,0.855
0.92,0.809
0.93,0.768
0.9400000000000001,0.697
0.9500000000000001,0.606
0.96,0.529
0.97,0.406
0.98,0.236
0.99,0.089
1.0,0.0
