threshold,coverage_final,coverage_rep0,coverage_rep1,coverage_rep2,coverage_rep3,coverage_rep4,coverage_rep5,coverage_rep6,coverage_rep7,coverage_rep8,coverage_rep9
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.02,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.03,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.04,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.05,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.06,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.07,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.08,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.09,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.1,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.11,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.12,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.13,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.14,0.995,0.99,0.99,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.15,0.994,0.99,0.99,0.99,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.16,0.994,0.99,0.99,0.99,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.17,0.994,0.99,0.99,0.99,1.0,1.0,0.98,1.0,1.0,0.99,1.0
0.18,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.19,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.2,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.21,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.22,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.23,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.24,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.25,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.26,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.27,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.28,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.29,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.3,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.31,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.32,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.33,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.34,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.35000000000000003,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.36,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.37,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.38,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.39,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.4,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.41000000000000003,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.42,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.43,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.44,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.45,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.46,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.47000000000000003,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.48,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.49,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.5,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.51,0.992,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,1.0
0.52,0.991,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,0.99
0.53,0.991,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,0.99
0.54,0.991,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,0.99
0.55,0.991,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,0.99
0.56,0.991,0.99,0.99,0.99,0.99,1.0,0.98,1.0,1.0,0.98,0.99
0.5700000000000001,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.58,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.59,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
0.6,0.99,0.99,0.99,0.99,0.99,1.0,0.98,0.99,1.0,0.98,0.99
