repetition,count,mean,std,median,frac_ge_0.5,frac_ge_0.9
0,100,0.9426851051143266,0.10132445477665264,0.961974518019542,0.99,0.9
1,100,0.9321466295897786,0.10190330970320836,0.948915887213367,0.99,0.88
2,100,0.8927035099236038,0.0880166845495228,0.9102584353546734,0.99,0.6
3,100,0.9260332978362632,0.08925658215713662,0.9465919295128284,0.99,0.82
4,100,0.9764399539697292,0.026508406927738242,0.9851990856136397,1.0,0.97
5,100,0.9372315856376983,0.13934205444863,0.9635603180074399,0.98,0.95
6,100,0.9669038206238555,0.045045864921142674,0.9758442156458653,1.0,0.99
7,100,0.9726328255454676,0.01946638943619843,0.9777007034796884,1.0,1.0
8,100,0.9141367089439814,0.12701602645126558,0.9403493830339884,0.98,0.78
9,100,0.9665568629318829,0.05033231116792967,0.9759426859200078,1.0,0.98
