repetition,n_elements,elements
0,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
1,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
2,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
3,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
4,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
5,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
6,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
7,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
8,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
9,10,mut11;mut12;mut15;mut19;mut20;mut26;mut28;mut33;mut39;mut44
