simulation_name,repetition,vaccine,threshold,coverage_ratio,n_cells
100-cells.10x,0,MinSum.budget-10.adaptive,0.0,1.0,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.01,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.02,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.03,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.04,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.05,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.06,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.07,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.08,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.09,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.1,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.11,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.12,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.13,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.14,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.15,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.16,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.17,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.18,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.19,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.2,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.21,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.22,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.23,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.24,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.25,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.26,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.27,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.28,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.29,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.3,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.31,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.32,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.33,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.34,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.35,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.36,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.37,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.38,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.39,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.4,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.41,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.42,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.43,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.44,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.45,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.46,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.47,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.48,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.49,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.5,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.51,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.52,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.53,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.54,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.55,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.56,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.57,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.58,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.59,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.6,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.61,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.62,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.63,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.64,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.65,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.66,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.67,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.68,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.69,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.7,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.71,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.72,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.73,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.74,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.75,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.76,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.77,0.99,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.78,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.79,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.8,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.81,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.82,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.83,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.84,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.85,0.98,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.86,0.97,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.87,0.94,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.88,0.93,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.89,0.9,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.9,0.9,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.91,0.9,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.92,0.86,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.93,0.84,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.94,0.77,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.95,0.67,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.96,0.54,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.97,0.35,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.98,0.1,100
100-cells.10x,0,MinSum.budget-10.adaptive,0.99,0.03,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.0,1.0,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.01,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.02,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.03,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.04,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.05,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.06,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.07,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.08,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.09,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.1,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.11,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.12,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.13,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.14,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.15,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.16,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.17,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.18,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.19,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.2,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.21,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.22,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.23,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.24,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.25,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.26,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.27,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.28,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.29,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.3,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.31,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.32,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.33,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.34,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.35,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.36,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.37,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.38,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.39,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.4,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.41,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.42,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.43,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.44,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.45,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.46,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.47,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.48,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.49,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.5,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.51,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.52,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.53,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.54,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.55,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.56,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.57,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.58,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.59,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.6,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.61,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.62,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.63,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.64,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.65,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.66,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.67,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.68,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.69,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.7,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.71,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.72,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.73,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.74,0.99,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.75,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.76,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.77,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.78,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.79,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.8,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.81,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.82,0.98,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.83,0.97,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.84,0.97,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.85,0.95,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.86,0.95,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.87,0.95,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.88,0.92,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.89,0.9,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.9,0.88,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.91,0.8,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.92,0.78,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.93,0.73,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.94,0.63,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.95,0.44,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.96,0.34,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.97,0.25,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.98,0.09,100
100-cells.10x,1,MinSum.budget-10.adaptive,0.99,0.01,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.0,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.01,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.02,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.03,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.04,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.05,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.06,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.07,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.08,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.09,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.1,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.11,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.12,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.13,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.14,1.0,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.15,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.16,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.17,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.18,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.19,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.2,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.21,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.22,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.23,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.24,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.25,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.26,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.27,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.28,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.29,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.3,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.31,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.32,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.33,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.34,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.35,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.36,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.37,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.38,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.39,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.4,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.41,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.42,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.43,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.44,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.45,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.46,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.47,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.48,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.49,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.5,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.51,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.52,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.53,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.54,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.55,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.56,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.57,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.58,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.59,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.6,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.61,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.62,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.63,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.64,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.65,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.66,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.67,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.68,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.69,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.7,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.71,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.72,0.99,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.73,0.98,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.74,0.98,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.75,0.98,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.76,0.98,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.77,0.98,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.78,0.97,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.79,0.97,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.8,0.96,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.81,0.94,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.82,0.93,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.83,0.93,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.84,0.88,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.85,0.86,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.86,0.82,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.87,0.77,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.88,0.71,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.89,0.66,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.9,0.6,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.91,0.5,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.92,0.32,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.93,0.25,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.94,0.16,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.95,0.09,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.96,0.06,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.97,0.02,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.98,0.01,100
100-cells.10x,2,MinSum.budget-10.adaptive,0.99,0.01,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.0,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.01,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.02,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.03,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.04,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.05,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.06,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.07,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.08,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.09,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.1,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.11,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.12,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.13,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.14,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.15,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.16,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.17,1.0,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.18,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.19,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.2,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.21,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.22,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.23,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.24,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.25,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.26,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.27,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.28,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.29,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.3,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.31,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.32,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.33,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.34,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.35,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.36,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.37,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.38,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.39,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.4,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.41,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.42,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.43,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.44,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.45,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.46,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.47,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.48,0.99,100
100-cells.10x,3,MinSum.budget-10.adaptive,0.49,0.99,100
