simulation_name,vaccine,threshold,mean_coverage,sd_coverage,min_coverage,max_coverage
100-cells.10x,MinSum.budget-10.adaptive,0.0,1.0,0.0,1.0,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.01,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.02,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.03,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.04,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.05,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.06,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.07,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.08,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.09,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.1,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.11,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.12,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.13,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.14,0.9949999999999999,0.007071067811865494,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.15,0.994,0.006992058987801014,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.16,0.994,0.006992058987801014,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.17,0.994,0.006992058987801014,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.18,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.19,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.2,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.21,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.22,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.23,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.24,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.25,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.26,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.27,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.28,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.29,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.3,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.31,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.32,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.33,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.34,0.992,0.007888106377466163,0.98,1.0
100-cells.10x,MinSum.budget-10.adaptive,0.35,0.992,0.007888106377466163,0.98,1.0
