vaccine_element,mean_p_response,std_p_response,coverage_50,selected
mut11,0.1584793201538309,0.2510541801921918,0.155,True
mut12,0.07507613330574107,0.12357289004107545,0.008,True
mut15,0.3632399109976969,0.3377795035738017,0.46,True
mut19,0.3983382349978337,0.34266015247514814,0.479,True
mut20,0.16511705678359892,0.2375782133169029,0.126,True
mut24,1.7999984690542092e-06,0.0,0.0,False
mut26,0.031682553195766114,0.06727559787578263,0.0,True
mut28,0.43596384941649163,0.34571494282904813,0.544,True
mut33,0.2372005104692123,0.2625220361932406,0.191,True
mut39,0.06932710874073614,0.1537881724088888,0.033,True
mut44,0.009932248668567376,0.037200805742005294,0.0,True
mut8,0.0017112659861693335,0.013131833772232943,0.0,False
