,rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9
rep_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep_9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
