candidate_id,score,hidden_label,predicted_class
49,0.9200499855610907,1,positive
44,0.8430588106089846,1,positive
7,0.840825829466544,1,positive
34,0.8073078348063295,1,positive
37,0.7861267840859809,1,positive
46,0.7831259225625918,1,positive
15,0.7634363833349946,1,positive
10,0.7387810460222238,1,positive
11,0.7228264409792073,1,positive
1,0.7158494645010164,1,positive
23,0.7125517230586043,1,positive
24,0.698810130394907,1,positive
47,0.6943224830835898,1,positive
29,0.693597078320397,1,positive
40,0.6932556971899377,1,positive
12,0.6926497098797478,1,positive
43,0.689136827645241,1,positive
41,0.6876538129106075,1,positive
6,0.6872172323116926,1,positive
0,0.680147618402898,1,positive
14,0.6764897813044072,1,positive
36,0.6760973954065376,1,positive
28,0.6741798865518714,1,positive
39,0.6665957660499009,1,positive
25,0.6575682866444055,1,positive
21,0.6517890642710383,1,positive
2,0.647103457356534,1,positive
4,0.6254395057793933,1,positive
17,0.6250861086751739,1,positive
31,0.6226696068759283,1,positive
8,0.6209352177738405,1,positive
27,0.6153568524984037,1,positive
38,0.6099679480708038,1,positive
9,0.6055430120216072,1,positive
48,0.6030235527071335,1,positive
828,0.590033643607441,0,positive
416,0.5851701398184643,0,positive
695,0.5845228165874929,0,positive
35,0.5830958389601725,1,positive
33,0.5829395312689282,1,positive
861,0.578089036393797,0,positive
3,0.5731289793491271,1,positive
13,0.5683438346350155,1,positive
32,0.5625777106332033,1,positive
5,0.5610024134004246,1,positive
901,0.5537949934631807,0,positive
758,0.5492779057929751,0,positive
956,0.5479240838735405,0,positive
375,0.5460822745398545,0,positive
103,0.5442659277080469,0,positive
