sample_id,composition_signal,spectral_signal,spectral_sq,spectral_sin,graph_edge_mean,graph_edge_span,graph_edge_count,target_property
0,5.0,-2.0,4.0,-0.9092974268256817,2.0,2.0,10,-1.2345
1,5.0,-1.5,2.25,-0.9974949866040544,2.0,2.0,10,-0.8765
2,5.0,-1.0,1.0,-0.8414709848078965,2.0,2.0,10,0.1234
3,5.0,-0.5,0.25,-0.479425538604203,2.0,2.0,10,-0.5678
4,5.0,0.0,0.0,0.0,2.0,2.0,10,0.9876
5,5.0,0.5,0.25,0.479425538604203,2.0,2.0,10,-0.3456
6,5.0,1.0,1.0,0.8414709848078965,2.0,2.0,10,0.6543
7,5.0,1.5,2.25,0.9974949866040544,2.0,2.0,10,-0.789
8,5.0,2.0,4.0,0.9092974268256817,2.0,2.0,10,0.4321
9,5.0,-1.8,3.24,-0.9738476308781951,2.0,2.0,10,-0.2109
10,5.0,-1.3,1.6900000000000002,-0.963558185417193,2.0,2.0,10,0.8765
11,5.0,-0.8,0.6400000000000001,-0.7173560908995228,2.0,2.0,10,-0.5432
12,5.0,-0.3,0.09,-0.29552020666133955,2.0,2.0,10,0.321
13,5.0,0.2,0.04000000000000001,0.19866933079506122,2.0,2.0,10,-0.0987
14,5.0,0.7,0.48999999999999994,0.644217687237691,2.0,2.0,10,0.7654
15,5.0,1.2,1.44,0.9320390859672263,2.0,2.0,10,-0.4567
16,5.0,1.7,2.8899999999999997,0.9916648104524686,2.0,2.0,10,0.2345
17,5.0,2.2,4.840000000000001,0.8084964038195901,2.0,2.0,10,-0.6789
18,5.0,-1.6,2.5600000000000005,-0.9995736030415051,2.0,2.0,10,0.9012
19,5.0,-1.1,1.2100000000000002,-0.8912073600614354,2.0,2.0,10,-0.3456
20,5.0,-0.6,0.36,-0.5646424733950354,2.0,2.0,10,0.5678
21,5.0,-0.1,0.010000000000000002,-0.09983341664682815,2.0,2.0,10,-0.1234
22,5.0,0.4,0.16000000000000003,0.3894183423086505,2.0,2.0,10,0.789
23,5.0,0.9,0.81,0.7833269096274834,2.0,2.0,10,-0.4567
24,5.0,1.4,1.9599999999999997,0.9854497299884601,2.0,2.0,10,0.2345
25,5.0,1.9,3.61,0.9463000876874145,2.0,2.0,10,-0.6789
26,5.0,2.4,5.76,0.675463180551151,2.0,2.0,10,0.9012
27,5.0,-1.4,1.9599999999999997,-0.9854497299884601,2.0,2.0,10,-0.3456
28,5.0,-0.9,0.81,-0.7833269096274834,2.0,2.0,10,0.5678
29,5.0,-0.4,0.16000000000000003,-0.3894183423086505,2.0,2.0,10,-0.1234
30,5.0,0.1,0.010000000000000002,0.09983341664682815,2.0,2.0,10,0.789
31,5.0,0.6,0.36,0.5646424733950354,2.0,2.0,10,-0.4567
32,5.0,1.1,1.2100000000000002,0.8912073600614354,2.0,2.0,10,0.2345
33,5.0,1.6,2.5600000000000005,0.9995736030415051,2.0,2.0,10,-0.6789
34,5.0,2.1,4.41,0.8632093666488737,2.0,2.0,10,0.9012
35,5.0,2.6,6.760000000000001,0.5155013718214642,2.0,2.0,10,-0.3456
36,5.0,-1.2,1.44,-0.9320390859672263,2.0,2.0,10,0.5678
37,5.0,-0.7,0.48999999999999994,-0.644217687237691,2.0,2.0,10,-0.1234
38,5.0,-0.2,0.04000000000000001,-0.19866933079506122,2.0,2.0,10,0.789
39,5.0,0.3,0.09,0.29552020666133955,2.0,2.0,10,-0.4567
40,5.0,0.8,0.6400000000000001,0.7173560908995228,2.0,2.0,10,0.2345
41,5.0,1.3,1.6900000000000002,0.963558185417193,2.0,2.0,10,-0.6789
42,5.0,1.8,3.24,0.9738476308781951,2.0,2.0,10,0.9012
43,5.0,2.3,5.289999999999999,0.7457052121767203,2.0,2.0,10,-0.3456
44,5.0,2.8,7.839999999999999,0.3349881501559051,2.0,2.0,10,0.5678
45,5.0,-1.0,1.0,-0.8414709848078965,2.0,2.0,10,-0.1234
46,5.0,-0.5,0.25,-0.479425538604203,2.0,2.0,10,0.789
47,5.0,0.0,0.0,0.0,2.0,2.0,10,-0.4567
48,5.0,0.5,0.25,0.479425538604203,2.0,2.0,10,0.2345
49,5.0,1.0,1.0,0.8414709848078965,2.0,2.0,10,-0.6789
50,5.0,1.5,2.25,0.9974949866040544,2.0,2.0,10,0.9012
51,5.0,2.0,4.0,0.9092974268256817,2.0,2.0,10,-0.3456
52,5.0,2.5,6.25,0.5984721441039565,2.0,2.0,10,0.5678
53,5.0,3.0,9.0,0.1411200080598672,2.0,2.0,10,-0.1234
54,5.0,-0.8,0.6400000000000001,-0.7173560908995228,2.0,2.0,10,0.789
55,5.0,-0.3,0.09,-0.29552020666133955,2.0,2.0,10,-0.4567
