lattice_a,lattice_b,type
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.3456,5.1234,real
5.789,5.5678,real
5.2345,5.9012,real
5.6789,5.3456,real
5.1234,5.789,real
5.5678,5.2345,real
5.9012,5.6789,real
5.757946241876197,5.5381307000118465,generated
5.872976693254741,5.65171693612285,generated
5.87334653535355,5.650664187884195,generated
5.834813595039656,5.610471886268706,generated
5.944148225359559,5.720635858088845,generated
5.903603968831763,5.681722640220982,generated
5.898942145520722,5.674676748867108,generated
5.765012745530682,5.543730180106857,generated
5.844250573500041,5.620503855627593,generated
5.877480595738921,5.65556924008076,generated
5.911307657636742,5.689437282105666,generated
5.880918218710446,5.65840655960926,generated
5.879469567605848,5.6599893188485675,generated
5.848535508764272,5.625263312600562,generated
5.801772455973119,5.578729144723738,generated
5.836702116168576,5.612276608090245,generated
5.921368873686516,5.699148182097152,generated
5.80550724273338,5.584386573297008,generated
5.853730874816077,5.631472515702144,generated
5.930443388920099,5.706843653557177,generated
5.872119216604244,5.651592008548733,generated
5.82900791508292,5.604934557352822,generated
5.829133674903179,5.606998281895242,generated
5.884559886187566,5.663283835509414,generated
5.788569901923102,5.568684707422793,generated
5.894307932159215,5.671640347426322,generated
5.827773756488041,5.607566504539265,generated
5.874032960802263,5.651738026776836,generated
5.909909614468938,5.685840806641636,generated
5.800520963123451,5.581116646679671,generated
5.850366071583218,5.6299767134891185,generated
5.827211054603115,5.604728560539826,generated
5.82568843375435,5.606293219346201,generated
5.847942382918475,5.628366436647547,generated
5.993348273458739,5.771301520942653,generated
5.842364040483471,5.620220071104574,generated
5.843287834663707,5.618758498799317,generated
5.859100466112772,5.637715770526509,generated
5.764531942056145,5.542842464222662,generated
5.892720684240188,5.6697976929936615,generated
5.795475528575854,5.5746746938522955,generated
5.876377598484676,5.655043275706136,generated
5.840909680825822,5.620563934755182,generated
5.886629947820105,5.664011673113988,generated
5.870050184784464,5.645995973151527,generated
5.830246998953286,5.609009999229884,generated
5.846912824433428,5.624814917590153,generated
5.926691905644416,5.703550011587801,generated
5.866815370565559,5.643723431404565,generated
5.855793660194906,5.634507440439757,generated
5.741151054111905,5.520665844469393,generated
5.832645720091668,5.6109130532705045,generated
5.954640827101066,5.731779584493937,generated
5.841924132246348,5.623671784439556,generated
5.857608208058388,5.636159945605058,generated
5.179792170521449,5.844289546378218,generated
5.113049024654838,5.779615210935697,generated
5.133761457586414,5.798171595848376,generated
5.100145476350719,5.763522878144002,generated
5.142894844924931,5.8118010085224805,generated
5.232432869327017,5.898307562309157,generated
5.17185945766218,5.837223698630575,generated
5.2630808028500855,5.930161224980577,generated
5.23567857018637,5.903063323850845,generated
5.226980869589769,5.895809238916759,generated
5.220750670743847,5.886856814682179,generated
5.1327414788829175,5.796684625186698,generated
5.163476752218415,5.831331304677849,generated
5.26615304135589,5.933428845327787,generated
5.162049871486927,5.829143695058824,generated
5.246650037881798,5.911593660273697,generated
5.147844512722636,5.814108621681647,generated
5.162880583686835,5.82936386378941,generated
5.214625387537389,5.881458695550995,generated
5.1612702869779845,5.826229981317372,generated
5.073107330764747,5.738882809989768,generated
5.242710812862196,5.910425222947731,generated
5.230590907958944,5.898370833795454,generated
5.1132907696191685,5.777624298368615,generated
5.1232531550953215,5.7894383585913785,generated
5.130044707314643,5.798406279121371,generated
5.191194370980847,5.856394368523248,generated
5.2270012889665916,5.892467588731339,generated
5.181072863087353,5.847728737590667,generated
5.161084434891319,5.828233167298542,generated
