metal,adsorbate,slab_energy_eV,gas_energy_eV,total_energy_eV,adsorption_energy_eV
Ni,O,-63.47042465209961,-2.081460952758789,-66.0750732421875,-0.5231876373291016
Ni,OH,-63.47042465209961,-7.800540447235107,-70.9368896484375,0.3340754508972168
Cu,O,-45.35144805908203,-2.081460952758789,-51.82793426513672,-4.395025253295898
Cu,OH,-45.35144805908203,-7.800540447235107,-56.027610778808594,-2.875622272491455
Rh,O,-83.52873229980469,-2.081460952758789,-89.41241455078125,-3.8022212982177734
Rh,OH,-83.52873229980469,-7.800540447235107,-93.26888275146484,-1.9396100044250488
Pd,O,-57.94834899902344,-2.081460952758789,-63.23100280761719,-3.201192855834961
Pd,OH,-57.94834899902344,-7.800540447235107,-67.34517669677734,-1.5962872505187988
Ir,O,-99.13299560546875,-2.081460952758789,-105.37969207763672,-4.16523551940918
Ir,OH,-99.13299560546875,-7.800540447235107,-109.09396362304688,-2.1604275703430176
Pt,O,-68.27198028564453,-2.081460952758789,-73.32345581054688,-2.9700145721435547
Pt,OH,-68.27198028564453,-7.800540447235107,-77.27965545654297,-1.20713472366333
