r(Å),g(r)
2.999999999999999889e-02,0.000000000000000000e+00
8.999999999999999667e-02,0.000000000000000000e+00
1.499999999999999944e-01,0.000000000000000000e+00
2.099999999999999922e-01,0.000000000000000000e+00
2.700000000000000178e-01,0.000000000000000000e+00
3.299999999999999600e-01,0.000000000000000000e+00
3.900000000000000133e-01,0.000000000000000000e+00
4.499999999999999556e-01,0.000000000000000000e+00
5.100000000000000089e-01,0.000000000000000000e+00
5.700000000000000622e-01,0.000000000000000000e+00
6.299999999999998934e-01,0.000000000000000000e+00
6.899999999999999467e-01,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00
8.100000000000000533e-01,0.000000000000000000e+00
8.699999999999998845e-01,0.000000000000000000e+00
9.299999999999999378e-01,0.000000000000000000e+00
9.899999999999999911e-01,0.000000000000000000e+00
1.050000000000000044e+00,0.000000000000000000e+00
1.109999999999999876e+00,0.000000000000000000e+00
1.169999999999999929e+00,0.000000000000000000e+00
1.229999999999999982e+00,0.000000000000000000e+00
1.290000000000000036e+00,0.000000000000000000e+00
1.349999999999999867e+00,0.000000000000000000e+00
1.409999999999999920e+00,0.000000000000000000e+00
1.469999999999999973e+00,0.000000000000000000e+00
1.530000000000000027e+00,0.000000000000000000e+00
1.589999999999999858e+00,0.000000000000000000e+00
1.649999999999999911e+00,0.000000000000000000e+00
1.709999999999999964e+00,0.000000000000000000e+00
1.770000000000000018e+00,0.000000000000000000e+00
1.829999999999999849e+00,0.000000000000000000e+00
1.889999999999999902e+00,0.000000000000000000e+00
1.949999999999999956e+00,0.000000000000000000e+00
2.009999999999999787e+00,0.000000000000000000e+00
2.070000000000000284e+00,0.000000000000000000e+00
2.129999999999999893e+00,0.000000000000000000e+00
2.189999999999999947e+00,0.000000000000000000e+00
2.250000000000000000e+00,0.000000000000000000e+00
2.309999999999999609e+00,0.000000000000000000e+00
2.370000000000000107e+00,0.000000000000000000e+00
2.429999999999999716e+00,2.251531008981287954e-02
2.490000000000000213e+00,1.000690131815731576e-01
2.549999999999999822e+00,4.430005328091279337e-01
2.609999999999999876e+00,1.184029537505638219e+00
2.669999999999999929e+00,2.343645067547128313e+00
2.729999999999999538e+00,2.628274872579309918e+00
2.790000000000000036e+00,2.932063516276865567e+00
2.849999999999999645e+00,2.886298215570577419e+00
2.910000000000000142e+00,2.255626538675484571e+00
2.969999999999999751e+00,1.833819069853025230e+00
3.030000000000000249e+00,1.737778187718767686e+00
3.089999999999999858e+00,1.355325271583721625e+00
3.149999999999999911e+00,1.170195280743986821e+00
3.209999999999999964e+00,1.036538941400742875e+00
3.269999999999999574e+00,7.170174123626478213e-01
3.330000000000000071e+00,9.232154261769992543e-01
3.389999999999999680e+00,6.864367996049743903e-01
3.450000000000000178e+00,6.590455304129627656e-01
3.509999999999999787e+00,6.474988270301093030e-01
3.569999999999999840e+00,7.650103571362848465e-01
3.629999999999999893e+00,9.383661969340779674e-01
3.689999999999999503e+00,8.820603066297597605e-01
3.750000000000000000e+00,9.233941291613905200e-01
3.809999999999999609e+00,7.388354553574317807e-01
3.870000000000000107e+00,9.794643953503124889e-01
3.929999999999999716e+00,1.139169265737748793e+00
3.989999999999999769e+00,1.238788955645002243e+00
4.049999999999999822e+00,1.345558680080963354e+00
4.109999999999999432e+00,1.277699996296783880e+00
4.169999999999999929e+00,1.274329364800777187e+00
4.230000000000000426e+00,1.354848076380466670e+00
4.290000000000000036e+00,1.211260655035540701e+00
4.349999999999999645e+00,1.199156458186071639e+00
4.410000000000000142e+00,1.159912405021547910e+00
4.469999999999999751e+00,1.148945641165088238e+00
4.529999999999999361e+00,1.248292537867936369e+00
4.589999999999999858e+00,1.171695950527733343e+00
4.650000000000000355e+00,1.047370307757675034e+00
4.709999999999999964e+00,1.036838128668280623e+00
4.769999999999999574e+00,9.193710059126612988e-01
4.830000000000000071e+00,9.232678480643543573e-01
4.889999999999999680e+00,9.285511837696965864e-01
4.949999999999999289e+00,8.736202749041162008e-01
5.009999999999999787e+00,1.027622562732791955e+00
5.070000000000000284e+00,1.112064600376897916e+00
5.129999999999999893e+00,1.163669510400956675e+00
5.189999999999999503e+00,1.084269274102677372e+00
5.250000000000000000e+00,9.036583600360906798e-01
5.309999999999999609e+00,8.912113010138328351e-01
5.369999999999999218e+00,8.867761673017755530e-01
5.429999999999999716e+00,7.801077076509096431e-01
5.490000000000000213e+00,8.763720880595337048e-01
5.549999999999999822e+00,8.258724623271885834e-01
5.609999999999999432e+00,9.688351009132479819e-01
5.669999999999999929e+00,8.657266011948829831e-01
5.730000000000000426e+00,8.881860963463334979e-01
5.789999999999999147e+00,8.487216939442868702e-01
5.849999999999999645e+00,9.220526988767897558e-01
5.910000000000000142e+00,8.272946061163350961e-01
5.969999999999999751e+00,9.301233968785824757e-01
