acid,epoxide,tg_predicted
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,545.3820184807082
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,528.5394310011832
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,520.8869158602574
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,519.817174081769
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,518.2298975022018
CCN(CCC(=O)O)CCC(=O)O,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,515.7859717783708
O=C(O)CCN(CCn1cccn1)CC(=O)O,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,512.7169831670177
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,511.3394255770785
O=C(O)CCN(CCn1cccn1)CC(=O)O,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,510.5801333402691
CCN(CCC(=O)O)CCC(=O)O,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,510.02186937971913
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,506.5837333309691
CCN(CCC(=O)O)CCC(=O)O,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,506.5771262885002
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,505.0061186450232
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,504.23840937959903
CNC(=O)c1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)n1,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,503.58110476700335
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,O=C(NCC1CO1)c1ccc(NC(=O)N(CCc2ccccc2)CC2CO2)cc1,502.97772076155064
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,COc1ccc(CCC(=O)N2CCN(C(=O)c3c(OCC4CO4)cccc3OCC3CO3)CC2)cc1,493.99555722671903
COc1cccc(C=Nc2cccc(C(=O)O)c2)c1OCc1ccc(C(=O)O)cc1,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,493.5745421340339
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,492.179405192377
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,488.2047483577796
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,487.94212101792976
O=C(O)CCCCNCCCCCCNC(=O)COCCCC(=O)O,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,487.91136534595097
Cc1cccc(N2CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2)c1,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,487.8280408762352
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,485.96478061951143
O=C(O)CCN(CCn1cccn1)CC(=O)O,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,485.2976551120078
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,CC(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,482.2681788401446
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,COC(=O)c1cc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)ccn1,481.4801940047688
O=C(O)CCc1cccc(NC(=O)C2(C(=O)O)CCC2)c1,COc1cc(C)cc(CN2CCc3ccc(OCC4CO4)cc3C2)c1OCC1CO1,481.0881462142586
O=C(O)CCN(CCC(=O)O)CCc1cnccn1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,480.1871650209415
