target_Tg,decoder,anchor_idx,acid_decoded,epoxide_decoded,acid_canonical,epoxide_canonical,valid,novel_pair,novel_monomer,pred_tg
350.0,greedy,0,Cc1cc(C)cc(CN(CCC(=O)O)CC(=O)O)c1C,CN1CCN(Cc2ccccc2OCC2CO2)CC1)c1ccc(OCC2CO2)cc1,Cc1cc(C)c(C)c(CN(CCC(=O)O)CC(=O)O)c1,,False,False,False,350.0002136230469
350.0,sample,0,CCc1cc(CNC(=O)C(CCC(=O)O)CC(=O)O)cn1,CN1CCCN(Cc2ccccc2C1=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,,CN1CCCN(NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)Cc2ccccc2C1=O,False,False,False,350.0002136230469
350.0,greedy,1,O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)Nc2ccccc2)CCCCCCC2)c1,CCCCCCN(CC)CCCCCCCCCCC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,,CCCCCCN(CC)CCCCCCCCCCC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,False,False,False,350.0000915527344
350.0,sample,1,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccc(C(=O)NCC2(C(=O)O)CC2)cc1,CCCCCN(C)CCNC(=O)CCCC1CO1)CCCOCC1CO1,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccc(C(=O)NCC2(C(=O)O)CC2)cc1,,False,False,False,350.0000915527344
350.0,greedy,2,COc1ccc(COCC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cc1,O=C(CCc1ccc(OCC2CO2)cc1)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,COc1ccc(COCC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cc1,O=C(CCc1ccc(OCC2CO2)cc1)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,True,True,True,349.9995422363281
350.0,sample,2,COC(=O)c1cccc(OCCOCC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)c1,O=C(NCCc1ccc(OCC2CO2)cc1)Nc1ccc(CCN2CCCCC2)ccc1N1CCOCC1)NCC1CCCCC1,COC(=O)c1cccc(OCCOCC(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)c1,,False,False,False,349.9995422363281
350.0,greedy,3,O=C(O)CCN(CCC(=O)O)C(=O)CN1CCN(c2ccccc2)CC1,Cc1ccc(CCNC(=O)CCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,O=C(O)CCN(CCC(=O)O)C(=O)CN1CCN(c2ccccc2)CC1,Cc1ccc(CCNC(=O)CCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,True,True,True,349.9996032714844
350.0,sample,3,O=C(O)CCC(CCC(=O)O)C(=O)Nc1ccc(C2)nc2ccccc2N1=COCC2=O,Cc1cc(CNCc2ccccc2OCC2CO2)cc(OCCCC(=O)OCc2ccccc2OCC1CO2,,,False,False,False,349.9996032714844
350.0,greedy,4,CC(C)(C)c1ccc(CN(CCC(=O)O)CCC(=O)O)cc1,O=C(CCCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(C)c1ccc(CN(CCC(=O)O)CCC(=O)O)cc1,O=C(CCCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,True,True,True,349.9995422363281
350.0,sample,4,CC(C)Cn1cc(COCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(NCCc1ccc(OCC2CO2)cc1)c1cc(OCC2CO2)cc2ccccc21,CC(C)Cn1ccc(COCC(=O)N(CCC(=O)O)CCC(=O)O)c1,O=C(NCCc1ccc(OCC2CO2)cc1)c1cc(OCC2CO2)cc2ccccc12,True,True,True,349.9995422363281
