acid,epoxide,generated_status,proxy_md_tg_K,calibrated_tg_mean_K,gp_model_std_K,total_pred_std_K,acid_valid,epoxide_valid,target_Tg_K,abs_target_error_K,score
O=C(O)CCCNCc1ccc(OCC(=O)O)cc1,Cc1ccc(OCC2CO2)c(OCC2CO2)c1C,new_recombined_pair,348.3557495600911,349.96046444787055,80.84491917217562,84.1675405873197,True,True,350,0.03953555212945048,21.081420698959377
O=C(O)CNCCCCCCNCC(=O)O,O=C(CCCC1CO1)Oc1ccc(OCC2CO2)cc1,new_recombined_pair,357.9858333686545,349.43922189259905,79.25931059791705,82.64570314916308,True,True,350,0.5607781074009495,21.22220389469172
C#Cc1ccc(CN(CCC(=O)O)CCC(=O)O)cc1,O=C(CCCC1CO1)N(CCc1ccccc1)CC1CO1,new_recombined_pair,363.4242361507485,350.12846090960306,83.01841262985067,86.25735196574637,True,True,350,0.12846090960306356,21.692798901039655
CC(C)(C)C(NC(=O)CCC(=O)O)C(=O)O,COC(=O)c1ccccc1OCCN(CC1CO1)CC1CO1,new_recombined_pair,376.88111276154865,350.1685828865535,82.8608200054723,86.10568752725791,True,True,350,0.16858288655350862,21.695004768367987
O=C(O)CC(=O)O,O=C(CCCC1CO1)Oc1ccc(OCC2CO2)cc1,new_recombined_pair,371.82252655527714,351.16337141526424,79.02144412787133,82.41761076746153,True,True,350,1.163371415264237,21.76777410712962
CC(C)N(CCC(=O)O)CC(=O)O,COc1cccc(OCC2CO2)c1CNCCc1ccc(OCC2CO2)cc1,new_recombined_pair,441.3957794465963,350.49319633530934,81.97592588607745,85.25447998458593,True,True,350,0.49319633530933515,21.806816331455817
CC(NCCCCCC(=O)O)C(=O)O,c1cc(OCC2CO2)ccc1OCCC1CO1,new_recombined_pair,360.12987795820266,348.6519368178361,78.99109346064627,82.38851120557437,True,True,350,1.3480631821639122,21.945190983557506
COc1ccc(CNC(CCC(=O)O)C(=O)O)cc1C,O=C(CCCC1CO1)Oc1ccc(OCC2CO2)cc1,new_recombined_pair,339.42490296577114,348.98617768381285,80.65226328120144,83.98250713656228,True,True,350,1.0138223161871451,22.009449100327714
CCCCOc1ccc(CC(CC(=O)O)C(=O)O)cc1,O=C(COCC1CO1)N(CCNCCC1CO1)CCc1ccccc1,new_recombined_pair,367.43655725107897,350.5569117642544,82.71107666074646,85.96159686128671,True,True,350,0.5569117642543802,22.047310979576057
NC(CCCC(=O)O)C(=O)O,COC(=O)c1ccccc1OCCN(CC1CO1)CC1CO1,new_recombined_pair,393.6518497993726,351.17266950210865,80.15320977396739,83.50335903203009,True,True,350,1.172669502108647,22.04850926011617
Cc1c(C(=O)O)cc(CNCCc2ccc(C(=O)O)cc2)n1C,CCOC(=O)CN(Cc1ccc(OCC2CO2)nc1)Cc1ccccc1OCC1CO1,new_recombined_pair,403.313942940021,350.22169325107507,84.2615790100743,87.45448890613616,True,True,350,0.22169325107506666,22.085315477609107
O=C(O)CCCCCCCC(=O)O,COC(=O)c1cc2cccc(OCC3CO3)c2nc1OCC1CO1,new_recombined_pair,383.1166297357051,349.07607029134016,81.92640952652079,85.20686891600756,True,True,350,0.9239297086598413,22.225646937661732
O=C(O)CCCC(=O)CCC(=O)O,O=C(OCCOC(c1ccccc1)c1ccccc1)c1ccc(OCC2CO2)cc1OCC1CO1,new_recombined_pair,388.94222812865826,349.1805497795695,82.4716123961391,85.73121242453942,True,True,350,0.8194502204304968,22.252253326565352
O=C(O)CCCNC1CCC(C(=O)O)CC1,C(CCCOCC1CO1)CCOCC1CO1,new_recombined_pair,366.4059517268573,348.51738951475727,80.20746002221918,83.55543414870387,True,True,350,1.4826104852427306,22.371469022418697
O=C(O)CCCCCCC(=O)CCCCCCC(=O)O,COc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,new_recombined_pair,371.84641179324785,351.30128076705057,81.65251860784286,84.94355612738747,True,True,350,1.3012807670505708,22.537169798897438
O=C(O)CCC(CCC(=O)O)C(=O)OCC(=O)N1CCNC1=O,C(CCCCC1CO1)CCCC1CO1,new_recombined_pair,328.5660784929895,348.35389668254714,80.33873314815365,83.6814553913395,True,True,350,1.6461033174528552,22.56646716528773
O=C(O)CC(C(=O)O)N1C(=O)c2ccccc2C1=O,CCC(=O)CCCOC(=O)c1cccc(OCC2CO2)c1OCC1CO1,new_recombined_pair,403.98611533696464,351.2640755433426,82.12308631182191,85.39599076034806,True,True,350,1.2640755433425852,22.6130732334296
CC(C)(CCC(=O)O)C(=O)OCCCC(=O)O,CC(C)(CN(CC1CO1)CC1CO1)c1ccccc1,new_recombined_pair,403.25297784297663,351.9424487303173,79.65719367205838,83.02735956460567,True,True,350,1.9424487303173237,22.699288621468742
O=C(O)C=CC(=O)O,Cc1ccc(OCC2CO2)c(CN(C)Cc2cc(C)ccc2OCC2CO2)c1,new_recombined_pair,384.41342995276773,348.26413318800246,81.14332835908303,84.45421049155848,True,True,350,1.7358668119975391,22.84941943488716
O=C(O)CCN(CCCCN1C(=O)c2ccccc2C1=O)CCC(=O)O,N#Cc1cccc(CN(CCC2CO2)CC2CO2)c1,new_recombined_pair,419.8610941654665,351.69621925303113,81.48320849049995,84.7808185763076,True,True,350,1.6962192530311313,22.89142389710803
COc1cc(CCC(=O)O)ccc1OCC(=O)NOCCC(=O)O,O=C(COCC1CO1)NCCOCC1CO1,new_recombined_pair,407.2783507069476,350.566923337346,86.42117159958578,89.5371031093119,True,True,350,0.5669233373459974,22.951199114673972
