feature,importance_MAE_increase_K,importance_std
tg_md,47.50451228012478,6.8547906781180235
mol_frac_csp3,5.321468205124457,0.8635356142268404
mol_rings,4.112257663851444,0.6564823832335256
mol_smiles_len,3.5673976185991787,0.41218099644896866
mol_ester_count,2.5371923794564326,0.5397457705378673
mol_hbd,1.9674645764599024,0.768829216242638
mol_logp,1.0614130365677374,0.5804713599267397
mol_branch_count,0.8449263258466533,0.26294097066173944
mol_aromatic_lower_count,0.6540007841492277,0.14829207735029884
mol_amide_count,0.5875638669701149,0.4139666739717363
mol_mol_wt,0.35731337573838856,0.1788093275435455
md_std,0.34897225475194205,0.20090882075824218
mol_rot_bonds,0.3230747174262948,0.18251567655022122
mol_tpsa,0.29767135759791924,0.11105694437983908
mol_heavy_atoms,0.27388210369774035,0.1484536435776021
mol_hba,0.24198102958883727,0.10577846205830628
mol_aromatic_rings,0.15718821977885244,0.10194792357984579
mol_hetero_symbol_count,0.1269452602843297,0.037106588621161736
mol_acid_count,0.0,0.0
