frame,gt_boxes,detections,pred_tracks,matched_gt,mean_score
0,200,153,59,59,0.3726263737577645
1,200,158,80,80,0.342497276433284
2,200,163,89,89,0.3186450137199841
3,200,164,93,93,0.30165239968391205
4,200,161,98,98,0.298943627196095
5,200,167,100,100,0.28639557872049437
6,200,154,106,106,0.30468768266181756
7,200,170,110,110,0.28623852705722075
8,200,168,113,113,0.2824887393453036
9,200,154,116,116,0.2886534790202096
10,200,155,112,112,0.2858225244564296
11,200,161,116,116,0.27596923644331933
12,200,159,119,119,0.2897461699956654
13,200,152,115,115,0.27857066439086026
14,200,154,121,121,0.31134055998150045
15,200,155,124,124,0.2847511044402486
16,200,159,124,124,0.27053726711416615
17,200,157,128,128,0.26202959216915245
18,200,160,126,126,0.29024277559284806
19,200,159,127,127,0.2655984298440818
20,200,165,130,130,0.2918706900545552
21,200,157,128,128,0.282770605138319
22,200,161,131,131,0.2702056785772149
23,200,168,134,134,0.26375562585160794
24,200,156,137,137,0.28137896700637255
25,200,160,139,139,0.26572072844255384
26,200,158,141,141,0.2703861218902503
27,200,158,137,137,0.2664915050552949
28,200,155,134,134,0.26275672145062645
29,200,155,144,144,0.28467541741040026
30,200,151,138,138,0.2744932175576214
31,200,150,139,139,0.2772496247017085
32,200,151,144,144,0.2760356310151906
33,200,158,148,148,0.2647202833819776
34,200,162,150,150,0.2773236074895902
35,200,159,147,147,0.2692886323003415
36,200,156,145,145,0.26558868798096313
37,200,165,150,150,0.2596644298492025
38,200,164,150,150,0.28157713065788037
39,200,157,149,149,0.2703311156569934
40,200,157,142,142,0.2745576924286098
41,200,151,142,142,0.27416124437258
42,200,160,151,151,0.266187394232603
43,200,154,143,143,0.2693794406805382
44,200,166,157,157,0.2614396132644961
45,200,161,149,149,0.27086260697075015
46,200,150,143,143,0.27403024043983965
47,200,162,152,152,0.2667710215312013
48,200,167,155,155,0.2853574025950466
49,200,163,153,153,0.277990808903148
50,200,165,154,154,0.2697539968190859
51,200,157,151,151,0.26749337899028436
52,200,157,149,149,0.2678687297709723
53,200,155,151,151,0.27991604910030626
54,200,158,149,149,0.2681772281702554
55,200,154,145,145,0.2714996540348358
56,200,151,148,148,0.2685794916615299
57,200,161,153,153,0.2609596889248256
58,200,151,143,143,0.27557345778290165
59,200,169,157,157,0.27107585649611116
60,200,159,151,151,0.275395261409721
61,200,155,149,149,0.2657927066204249
62,200,158,148,148,0.28434505007571625
63,200,156,148,148,0.2595647377061033
64,200,155,146,146,0.27548119838023233
65,200,161,154,154,0.27969243905088226
66,200,159,154,154,0.26941112222416314
67,200,153,146,146,0.2785891518374151
68,200,152,147,147,0.28017264149211046
69,200,152,147,147,0.2683659633951974
70,200,166,153,153,0.3005626384995264
71,200,151,147,147,0.28252698057275494
72,200,157,150,150,0.2758624464402323
73,200,150,143,143,0.27320395115020873
74,200,162,151,151,0.2784133187415652
75,200,153,150,150,0.2664199437541987
76,200,161,155,155,0.27174412056070846
77,200,160,153,153,0.2744316321156803
78,200,159,153,153,0.2689550877742345
79,200,158,153,153,0.25435223016519204
80,200,142,135,135,0.2713353740965217
81,200,160,155,155,0.2653486957848682
82,200,168,165,165,0.2658117384463322
83,200,160,154,154,0.26125386131737294
84,200,164,157,157,0.2580619765717108
85,200,170,160,160,0.2759925063199785
86,200,156,149,149,0.29539241023339124
87,200,164,155,155,0.2902971134502646
88,200,150,143,143,0.2681260908602818
89,200,169,156,156,0.2810983575542937
90,200,161,157,157,0.2876374004206198
91,200,158,149,149,0.28439208738751004
92,200,161,156,156,0.26762296631470295
93,200,156,150,150,0.2694676379714818
94,200,154,150,150,0.2687648440957395
95,200,155,150,150,0.26100645937533207
96,200,152,149,149,0.26658693936948125
97,200,148,143,143,0.2539999146245488
98,200,156,148,148,0.2758524244947321
99,200,161,151,151,0.2624441412128788
