frame,num_gt,num_det,dense_overlap_pairs,pair_count
0,200,153,877,11628
1,200,158,908,12403
2,200,163,919,13203
3,200,164,964,13366
4,200,161,979,12880
5,200,167,943,13861
6,200,154,823,11781
7,200,170,1035,14365
8,200,168,1023,14028
9,200,154,806,11781
10,200,155,811,11935
11,200,161,843,12880
12,200,159,843,12561
13,200,152,782,11476
14,200,154,784,11781
15,200,155,766,11935
16,200,159,831,12561
17,200,157,755,12246
18,200,160,774,12720
19,200,159,758,12561
20,200,165,821,13530
21,200,157,733,12246
22,200,161,742,12880
23,200,168,847,14028
24,200,156,639,12090
25,200,160,729,12720
26,200,158,724,12403
27,200,158,750,12403
28,200,155,667,11935
29,200,155,608,11935
30,200,151,606,11325
31,200,150,570,11175
32,200,151,546,11325
33,200,158,641,12403
34,200,162,645,13041
35,200,159,676,12561
36,200,156,595,12090
37,200,165,704,13530
38,200,164,713,13366
39,200,157,615,12246
40,200,157,649,12246
41,200,151,574,11325
42,200,160,633,12720
43,200,154,587,11781
44,200,166,680,13695
45,200,161,662,12880
46,200,150,538,11175
47,200,162,652,13041
48,200,167,673,13861
49,200,163,643,13203
50,200,165,707,13530
51,200,157,588,12246
52,200,157,577,12246
53,200,155,536,11935
54,200,158,598,12403
55,200,154,569,11781
56,200,151,526,11325
57,200,161,638,12880
58,200,151,589,11325
59,200,169,674,14196
60,200,159,637,12561
61,200,155,615,11935
62,200,158,614,12403
63,200,156,589,12090
64,200,155,548,11935
65,200,161,608,12880
66,200,159,585,12561
67,200,153,505,11628
68,200,152,499,11476
69,200,152,477,11476
70,200,166,594,13695
71,200,151,459,11325
72,200,157,532,12246
73,200,150,513,11175
74,200,162,579,13041
75,200,153,491,11628
76,200,161,562,12880
77,200,160,593,12720
78,200,159,579,12561
79,200,158,555,12403
80,200,142,519,10011
81,200,160,572,12720
82,200,168,667,14028
83,200,160,586,12720
84,200,164,660,13366
85,200,170,702,14365
86,200,156,591,12090
87,200,164,634,13366
88,200,150,531,11175
89,200,169,686,14196
90,200,161,575,12880
91,200,158,628,12403
92,200,161,617,12880
93,200,156,548,12090
94,200,154,476,11781
95,200,155,545,11935
96,200,152,511,11476
97,200,148,480,10878
98,200,156,529,12090
99,200,161,600,12880
