frame,num_layers,layer_sizes
0,0,[]
1,3,"[52, 52, 54]"
2,3,"[54, 53, 56]"
3,3,"[54, 54, 56]"
4,3,"[53, 53, 55]"
5,3,"[55, 55, 57]"
6,3,"[51, 50, 53]"
7,3,"[56, 56, 58]"
8,3,"[56, 55, 57]"
9,3,"[51, 50, 53]"
10,3,"[51, 51, 53]"
11,3,"[53, 53, 55]"
12,3,"[53, 52, 54]"
13,3,"[50, 50, 52]"
14,3,"[51, 50, 53]"
15,3,"[51, 51, 53]"
16,3,"[53, 52, 54]"
17,3,"[52, 51, 54]"
18,3,"[53, 52, 55]"
19,3,"[53, 52, 54]"
20,3,"[55, 54, 56]"
21,3,"[52, 51, 54]"
22,3,"[53, 53, 55]"
23,3,"[56, 55, 57]"
24,3,"[52, 51, 53]"
25,3,"[53, 52, 55]"
26,3,"[52, 52, 54]"
27,3,"[52, 52, 54]"
28,3,"[51, 51, 53]"
29,3,"[51, 51, 53]"
30,3,"[50, 50, 51]"
31,3,"[50, 49, 51]"
32,3,"[50, 50, 51]"
33,3,"[52, 52, 54]"
34,3,"[54, 53, 55]"
35,3,"[53, 52, 54]"
36,3,"[52, 51, 53]"
37,3,"[55, 54, 56]"
38,3,"[54, 54, 56]"
39,3,"[52, 51, 54]"
40,3,"[52, 51, 54]"
41,3,"[50, 50, 51]"
42,3,"[53, 52, 55]"
43,3,"[51, 50, 53]"
44,3,"[55, 54, 57]"
45,3,"[53, 53, 55]"
46,3,"[50, 49, 51]"
47,3,"[54, 53, 55]"
48,3,"[55, 55, 57]"
49,3,"[54, 53, 56]"
50,3,"[55, 54, 56]"
51,3,"[52, 51, 54]"
52,3,"[52, 51, 54]"
53,3,"[51, 51, 53]"
54,3,"[52, 52, 54]"
55,3,"[51, 50, 53]"
56,3,"[50, 50, 51]"
57,3,"[53, 53, 55]"
58,3,"[50, 50, 51]"
59,3,"[56, 55, 58]"
60,3,"[53, 52, 54]"
61,3,"[51, 51, 53]"
62,3,"[52, 52, 54]"
63,3,"[52, 51, 53]"
64,3,"[51, 51, 53]"
65,3,"[53, 53, 55]"
66,3,"[53, 52, 54]"
67,3,"[51, 50, 52]"
68,3,"[50, 50, 52]"
69,3,"[50, 50, 52]"
70,3,"[55, 54, 57]"
71,3,"[50, 50, 51]"
72,3,"[52, 51, 54]"
73,3,"[50, 49, 51]"
74,3,"[54, 53, 55]"
75,3,"[51, 50, 52]"
76,3,"[53, 53, 55]"
77,3,"[53, 52, 55]"
78,3,"[53, 52, 54]"
79,3,"[52, 52, 54]"
80,3,"[47, 47, 48]"
81,3,"[53, 52, 55]"
82,3,"[56, 55, 57]"
83,3,"[53, 52, 55]"
84,3,"[54, 54, 56]"
85,3,"[56, 56, 58]"
86,3,"[52, 51, 53]"
87,3,"[54, 54, 56]"
88,3,"[50, 49, 51]"
89,3,"[56, 55, 58]"
90,3,"[53, 53, 55]"
91,3,"[52, 52, 54]"
92,3,"[53, 53, 55]"
93,3,"[52, 51, 53]"
94,3,"[51, 50, 53]"
95,3,"[51, 51, 53]"
96,3,"[50, 50, 52]"
97,3,"[49, 49, 50]"
98,3,"[52, 51, 53]"
99,3,"[53, 53, 55]"
