method,frame,TP,FP,FN,IDSW,mean_iou,n_pred,n_gt
ByteTrack-like,0,44,0,156,0,0.8387662485989644,44,200
ByteTrack-like,1,53,0,147,1,0.8435174857865488,53,200
ByteTrack-like,2,58,0,142,9,0.8517226265299077,58,200
ByteTrack-like,3,54,0,146,21,0.847290026093298,54,200
ByteTrack-like,4,56,0,144,32,0.8456361499958077,56,200
ByteTrack-like,5,60,0,140,33,0.8450607581011546,60,200
ByteTrack-like,6,65,0,135,38,0.8291818277895879,65,200
ByteTrack-like,7,65,0,135,43,0.841782174338783,65,200
ByteTrack-like,8,67,0,133,43,0.8373345005996181,67,200
ByteTrack-like,9,65,0,135,42,0.8261841130544049,65,200
ByteTrack-like,10,55,0,145,40,0.8441201092914539,55,200
ByteTrack-like,11,56,0,144,50,0.837270904508039,56,200
ByteTrack-like,12,58,0,142,48,0.8346017355180481,58,200
ByteTrack-like,13,51,1,149,37,0.8163047193445896,52,200
ByteTrack-like,14,62,0,138,50,0.8320950882736496,62,200
ByteTrack-like,15,60,0,140,41,0.844784987123434,60,200
ByteTrack-like,16,52,0,148,41,0.8248288709604394,52,200
ByteTrack-like,17,49,1,151,36,0.8373350096893131,50,200
ByteTrack-like,18,57,0,143,46,0.835371635317691,57,200
ByteTrack-like,19,45,0,155,38,0.8204384505484101,45,200
ByteTrack-like,20,56,0,144,47,0.834288239597698,56,200
ByteTrack-like,21,59,0,141,45,0.832673732687395,59,200
ByteTrack-like,22,50,1,150,38,0.8424685695174777,51,200
ByteTrack-like,23,49,0,151,41,0.8312112878141112,49,200
ByteTrack-like,24,57,0,143,44,0.826111470476308,57,200
ByteTrack-like,25,50,0,150,37,0.8263465815118123,50,200
ByteTrack-like,26,52,0,148,41,0.8255869132784354,52,200
ByteTrack-like,27,48,0,152,41,0.8412579864683026,48,200
ByteTrack-like,28,44,0,156,37,0.8246201784905903,44,200
ByteTrack-like,29,55,0,145,45,0.8341329345513508,55,200
ByteTrack-like,30,57,0,143,45,0.8478819482974521,57,200
ByteTrack-like,31,58,0,142,38,0.8381512671836607,58,200
ByteTrack-like,32,65,0,135,46,0.8207764258934989,65,200
ByteTrack-like,33,56,0,144,43,0.8293189540094311,56,200
ByteTrack-like,34,61,0,139,47,0.8337928864517665,61,200
ByteTrack-like,35,54,0,146,43,0.8414534551707853,54,200
ByteTrack-like,36,61,0,139,47,0.8427789878631421,61,200
ByteTrack-like,37,54,0,146,40,0.8294024331056017,54,200
ByteTrack-like,38,55,1,145,42,0.8496916635726124,56,200
ByteTrack-like,39,55,1,145,41,0.8131774600753612,56,200
ByteTrack-like,40,52,0,148,39,0.8465492559290481,52,200
ByteTrack-like,41,56,0,144,41,0.8245960507164375,56,200
ByteTrack-like,42,55,0,145,37,0.8507685487093889,55,200
ByteTrack-like,43,54,0,146,38,0.8219803378299116,54,200
ByteTrack-like,44,51,0,149,33,0.8384804326433826,51,200
