dataset,group,map_name,n_agents,method,success,runtime,collisions,soc
random_small,maps_50_10_10_0.175,eval_map_100.npy,6,independent,0,0.000108,,
random_small,maps_50_10_10_0.175,eval_map_100.npy,6,pp,0,0.000652,,
random_small,maps_50_10_10_0.175,eval_map_100.npy,6,marl_pp,0,0.020749,,
random_small,maps_50_10_10_0.175,eval_map_100.npy,6,hybrid_lns,0,0.000005,,
random_small,maps_50_10_10_0.175,eval_map_11.npy,6,independent,0,0.059628,2,52
random_small,maps_50_10_10_0.175,eval_map_11.npy,6,pp,1,0.030146,0,52
random_small,maps_50_10_10_0.175,eval_map_11.npy,6,marl_pp,1,0.071828,0,52
random_small,maps_50_10_10_0.175,eval_map_11.npy,6,hybrid_lns,1,0.000440,0,52
random_medium,maps_312_25_25_0.175,eval_map_100.npy,8,independent,0,0.669070,1,150
random_medium,maps_312_25_25_0.175,eval_map_100.npy,8,pp,1,0.718034,0,150
random_medium,maps_312_25_25_0.175,eval_map_100.npy,8,marl_pp,1,0.606037,0,150
random_medium,maps_312_25_25_0.175,eval_map_100.npy,8,hybrid_lns,1,0.000926,0,150
random_medium,maps_312_25_25_0.175,eval_map_11.npy,8,independent,0,0.944305,1,167
random_medium,maps_312_25_25_0.175,eval_map_11.npy,8,pp,1,0.869550,0,167
random_medium,maps_312_25_25_0.175,eval_map_11.npy,8,marl_pp,1,0.876290,0,167
random_medium,maps_312_25_25_0.175,eval_map_11.npy,8,hybrid_lns,1,0.000919,0,167
room,room_maps_250_25_25,eval_map_room_11.npy,6,independent,0,1.485012,6,193
room,room_maps_250_25_25,eval_map_room_11.npy,6,pp,1,1.592201,0,193
room,room_maps_250_25_25,eval_map_room_11.npy,6,marl_pp,0,1.524850,6,193
room,room_maps_250_25_25,eval_map_room_11.npy,6,hybrid_lns,0,3.555843,1,193
room,room_maps_250_25_25,eval_map_room_12.npy,6,independent,0,0.352851,2,93
room,room_maps_250_25_25,eval_map_room_12.npy,6,pp,1,0.362173,0,97
room,room_maps_250_25_25,eval_map_room_12.npy,6,marl_pp,1,0.346557,0,97
room,room_maps_250_25_25,eval_map_room_12.npy,6,hybrid_lns,1,0.037750,0,97
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_100.npy,7,independent,0,0.559081,1,132
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_100.npy,7,pp,1,0.626463,0,136
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_100.npy,7,marl_pp,1,0.643736,0,136
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_100.npy,7,hybrid_lns,1,0.000888,0,136
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_11.npy,7,independent,0,0.229604,1,86
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_11.npy,7,pp,1,0.197196,0,86
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_11.npy,7,marl_pp,1,0.220432,0,88
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_11.npy,7,hybrid_lns,1,0.000665,0,88
maze,maze_maps_125_25_25,eval_map_maze_100.npy,5,independent,1,0.222198,0,98
maze,maze_maps_125_25_25,eval_map_maze_100.npy,5,pp,1,0.193016,0,98
maze,maze_maps_125_25_25,eval_map_maze_100.npy,5,marl_pp,1,0.172933,0,98
maze,maze_maps_125_25_25,eval_map_maze_100.npy,5,hybrid_lns,1,0.000577,0,98
maze,maze_maps_125_25_25,eval_map_maze_11.npy,5,independent,1,0.242585,0,101
maze,maze_maps_125_25_25,eval_map_maze_11.npy,5,pp,1,0.239214,0,101
maze,maze_maps_125_25_25,eval_map_maze_11.npy,5,marl_pp,1,0.256863,0,101
maze,maze_maps_125_25_25,eval_map_maze_11.npy,5,hybrid_lns,1,0.000625,0,101
empty,empty_maps_453_25_25,eval_map_empty_11.npy,8,independent,0,0.935523,1,161
empty,empty_maps_453_25_25,eval_map_empty_11.npy,8,pp,1,0.994049,0,161
empty,empty_maps_453_25_25,eval_map_empty_11.npy,8,marl_pp,1,0.965800,0,161
empty,empty_maps_453_25_25,eval_map_empty_11.npy,8,hybrid_lns,1,0.022717,0,161
empty,empty_maps_453_25_25,eval_map_empty_12.npy,8,independent,1,0.587663,0,120
empty,empty_maps_453_25_25,eval_map_empty_12.npy,8,pp,1,0.558195,0,120
empty,empty_maps_453_25_25,eval_map_empty_12.npy,8,marl_pp,1,0.536281,0,120
empty,empty_maps_453_25_25,eval_map_empty_12.npy,8,hybrid_lns,1,0.000871,0,120
