dataset,method,success_rate,mean_collisions,mean_soc,mean_makespan,mean_runtime
empty,hybrid_lns,0.0,12.433333333333334,1090.4833333333333,37.2,1.249240756034851
empty,pp_marl,0.0,23.15,1088.85,37.18333333333333,0.11862084070841471
empty,pp_random,0.0,15.383333333333333,1086.6,37.233333333333334,0.0782728910446167
maze,hybrid_lns,0.0,36.916666666666664,1882.9166666666667,69.1,26.52666128873825
maze,pp_marl,0.0,62.21666666666667,1719.65,61.166666666666664,0.9095084985097249
maze,pp_random,0.0,55.75,1817.8666666666666,69.45,1.7047205487887065
random_large,hybrid_lns,0.0,12.658536585365853,2246.731707317073,75.48780487804878,2.869186468919118
random_large,pp_marl,0.0,20.097560975609756,2243.6341463414633,75.48780487804878,0.44965286254882814
random_large,pp_random,0.0,11.170731707317072,2244.170731707317,75.65853658536585,0.4901579181353251
random_medium,hybrid_lns,0.0,12.27027027027027,1205.7837837837837,40.108108108108105,1.3482028444608052
random_medium,pp_marl,0.0,28.513513513513512,1181.2162162162163,38.189189189189186,0.1387264609336853
random_medium,pp_random,0.0,18.756756756756758,1190.3783783783783,39.567567567567565,0.19981712897618611
random_small,hybrid_lns,0.016666666666666666,6.066666666666666,172.3,18.966666666666665,0.39436588684717816
random_small,pp_marl,0.016666666666666666,7.8,168.23333333333332,18.166666666666668,0.02772204081217448
random_small,pp_random,0.0,6.733333333333333,169.3,18.966666666666665,0.024557514985402425
room,hybrid_lns,0.0,27.216666666666665,2205.0833333333335,74.11666666666666,45.12632339398066
room,pp_marl,0.0,62.95,2116.3,71.48333333333333,1.9546472867329916
room,pp_random,0.0,45.38333333333333,2117.5833333333335,76.55,3.1573689421017965
warehouse,hybrid_lns,0.0,12.933333333333334,1366.45,43.53333333333333,2.373814809322357
warehouse,pp_marl,0.0,36.583333333333336,1311.7666666666667,40.63333333333333,0.18213016986846925
warehouse,pp_random,0.0,23.15,1332.9166666666667,43.2,0.24579968055089316
