dataset,instance,agents,method,success,runtime_sec,sum_of_costs,makespan,remaining_conflicts,initial_conflicts_est,lns_rounds
maps_60_10_10_0.175,eval_map_1.npy,8,prioritized,1,0.001563475998409558,46.0,14.0,0.0,,
maps_60_10_10_0.175,eval_map_1.npy,8,hybrid,1,0.0019748080012504943,50.0,12.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_10.npy,8,prioritized,0,0.05835583500083885,,,,,
maps_60_10_10_0.175,eval_map_10.npy,8,hybrid,0,0.05738852200011024,,,,,0.0
maps_60_10_10_0.175,eval_map_100.npy,8,prioritized,0,0.06282387399915024,,,,,
maps_60_10_10_0.175,eval_map_100.npy,8,hybrid,0,0.062196415001380956,,,,,0.0
maps_60_10_10_0.175,eval_map_11.npy,8,prioritized,0,0.057642166000732686,,,,,
maps_60_10_10_0.175,eval_map_11.npy,8,hybrid,0,0.05823396900086664,,,,,0.0
maps_60_10_10_0.175,eval_map_12.npy,8,prioritized,1,0.0019193890002497938,65.0,16.0,0.0,,
maps_60_10_10_0.175,eval_map_12.npy,8,hybrid,1,0.0027681329993356485,70.0,14.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_13.npy,8,prioritized,1,0.0009537510013615247,50.0,14.0,0.0,,
maps_60_10_10_0.175,eval_map_13.npy,8,hybrid,1,0.0029036099986115005,68.0,14.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_14.npy,8,prioritized,0,0.0033409229981771205,82.0,21.0,1.0,,
maps_60_10_10_0.175,eval_map_14.npy,8,hybrid,0,0.06306372399922111,94.0,25.0,1.0,1.0,12.0
maps_60_10_10_0.175,eval_map_15.npy,8,prioritized,0,0.004860287001065444,,,,,
maps_60_10_10_0.175,eval_map_15.npy,8,hybrid,0,0.003288208998128539,,,,,0.0
maps_60_10_10_0.175,eval_map_16.npy,8,prioritized,0,0.05537761900268379,,,,,
maps_60_10_10_0.175,eval_map_16.npy,8,hybrid,0,0.05466103399885469,,,,,0.0
maps_60_10_10_0.175,eval_map_17.npy,8,prioritized,1,0.0014346850002766587,65.0,12.0,0.0,,
maps_60_10_10_0.175,eval_map_17.npy,8,hybrid,1,0.0028857679972134065,76.0,13.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_18.npy,8,prioritized,1,0.0014288210004451685,68.0,14.0,0.0,,
maps_60_10_10_0.175,eval_map_18.npy,8,hybrid,1,0.0018857190007111058,71.0,14.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_19.npy,8,prioritized,0,0.05036022600324941,,,,,
maps_60_10_10_0.175,eval_map_19.npy,8,hybrid,0,0.05131117999917478,,,,,0.0
maps_60_10_10_0.175,eval_map_2.npy,8,prioritized,1,0.0011938310017285403,57.0,12.0,0.0,,
maps_60_10_10_0.175,eval_map_2.npy,8,hybrid,1,0.0029521839969675057,68.0,11.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_20.npy,8,prioritized,1,0.000940930000069784,50.0,11.0,0.0,,
maps_60_10_10_0.175,eval_map_20.npy,8,hybrid,1,0.0015367239975603297,51.0,11.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_21.npy,8,prioritized,1,0.0017581909996806644,59.0,15.0,0.0,,
maps_60_10_10_0.175,eval_map_21.npy,8,hybrid,1,0.0020097910019103438,60.0,11.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_22.npy,8,prioritized,1,0.0014125430025160313,54.0,13.0,0.0,,
maps_60_10_10_0.175,eval_map_22.npy,8,hybrid,1,0.0020953799976268783,56.0,13.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_23.npy,8,prioritized,1,0.0012738690020341892,51.0,13.0,0.0,,
maps_60_10_10_0.175,eval_map_23.npy,8,hybrid,1,0.0028457549997256137,65.0,11.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_24.npy,8,prioritized,1,0.0018592779997561593,74.0,13.0,0.0,,
maps_60_10_10_0.175,eval_map_24.npy,8,hybrid,1,0.0022939139998925384,76.0,12.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_25.npy,8,prioritized,1,0.0022464329995273147,70.0,17.0,0.0,,
maps_60_10_10_0.175,eval_map_25.npy,8,hybrid,1,0.002693949998501921,68.0,16.0,0.0,0.0,0.0
maps_60_10_10_0.175,eval_map_26.npy,8,prioritized,0,0.002175797999370843,63.0,22.0,2.0,,
maps_60_10_10_0.175,eval_map_26.npy,8,hybrid,0,0.04623969100066461,61.0,14.0,1.0,1.0,12.0
empty,eval_map_empty_1.npy,16,prioritized,1,0.018671081998036243,328.0,33.0,0.0,,
empty,eval_map_empty_1.npy,16,hybrid,1,0.028812147000280675,329.0,33.0,0.0,1.0,1.0
empty,eval_map_empty_10.npy,16,prioritized,1,0.012570795999636175,263.0,34.0,0.0,,
empty,eval_map_empty_10.npy,16,hybrid,1,0.021546947002207162,269.0,34.0,0.0,0.0,0.0
empty,eval_map_empty_11.npy,16,prioritized,1,0.014358838001498953,314.0,31.0,0.0,,
empty,eval_map_empty_11.npy,16,hybrid,1,0.018713261000812054,316.0,31.0,0.0,0.0,0.0
empty,eval_map_empty_12.npy,16,prioritized,1,0.015118915001949063,269.0,34.0,0.0,,
empty,eval_map_empty_12.npy,16,hybrid,1,0.018327277997741476,271.0,34.0,0.0,0.0,0.0
empty,eval_map_empty_13.npy,16,prioritized,1,0.009595137998985592,225.0,37.0,0.0,,
empty,eval_map_empty_13.npy,16,hybrid,1,0.022723138001310872,225.0,37.0,0.0,1.0,1.0
empty,eval_map_empty_14.npy,16,prioritized,1,0.009801611002330901,272.0,29.0,0.0,,
empty,eval_map_empty_14.npy,16,hybrid,1,0.020445180998649448,276.0,29.0,0.0,1.0,1.0
empty,eval_map_empty_15.npy,16,prioritized,1,0.016039998998166993,302.0,32.0,0.0,,
empty,eval_map_empty_15.npy,16,hybrid,1,0.034170106999226846,302.0,32.0,0.0,3.0,1.0
empty,eval_map_empty_16.npy,16,prioritized,1,0.010004996998759452,256.0,30.0,0.0,,
empty,eval_map_empty_16.npy,16,hybrid,1,0.024124895000568358,262.0,30.0,0.0,1.0,1.0
empty,eval_map_empty_17.npy,16,prioritized,1,0.007913736000773497,238.0,23.0,0.0,,
empty,eval_map_empty_17.npy,16,hybrid,1,0.011050570999941556,239.0,23.0,0.0,0.0,0.0
empty,eval_map_empty_18.npy,16,prioritized,1,0.014036904998647515,273.0,35.0,0.0,,
empty,eval_map_empty_18.npy,16,hybrid,1,0.021462218999658944,283.0,35.0,0.0,0.0,0.0
empty,eval_map_empty_19.npy,16,prioritized,1,0.013028407000092557,298.0,30.0,0.0,,
empty,eval_map_empty_19.npy,16,hybrid,1,0.03124310099883587,303.0,30.0,0.0,2.0,1.0
empty,eval_map_empty_2.npy,16,prioritized,1,0.01132332899942412,245.0,34.0,0.0,,
empty,eval_map_empty_2.npy,16,hybrid,1,0.01831539100021473,248.0,34.0,0.0,0.0,0.0
empty,eval_map_empty_20.npy,16,prioritized,1,0.017489840000052936,318.0,34.0,0.0,,
empty,eval_map_empty_20.npy,16,hybrid,1,0.02536772199891857,327.0,34.0,0.0,0.0,0.0
empty,eval_map_empty_21.npy,16,prioritized,1,0.012504111000453122,260.0,35.0,0.0,,
empty,eval_map_empty_21.npy,16,hybrid,1,0.028168079999886686,259.0,35.0,0.0,2.0,1.0
empty,eval_map_empty_22.npy,16,prioritized,1,0.012340356999629876,269.0,32.0,0.0,,
empty,eval_map_empty_22.npy,16,hybrid,1,0.020990013999835355,280.0,32.0,0.0,0.0,0.0
empty,eval_map_empty_23.npy,16,prioritized,1,0.010417752000648761,256.0,25.0,0.0,,
