dataset,num_agents,n_instances,pp_sr,ppr_sr,lns_sr,hybrid_sr,pp_time_mean,lns_time_mean,hybrid_time_mean,pp_soc_mean,lns_soc_mean,hybrid_soc_mean
random_small,4,12,0.5,0.5,0.5,0.5,0.0003815094629923503,0.0003382364908854167,0.020874778429667156,26.0,26.0,26.0
random_small,8,12,0.0,0.08333333333333333,0.25,0.3333333333333333,,0.0050809383392333984,0.052133023738861084,,62.0,74.0
random_small,12,12,0.0,0.0,0.0,0.08333333333333333,,,0.07245302200317383,,,91.0
maps_60_10_10_0.175,4,12,0.4166666666666667,0.5833333333333334,0.75,0.75,0.0004169940948486328,0.0015634960598415798,0.02466085222032335,30.6,34.666666666666664,34.666666666666664
maps_60_10_10_0.175,8,12,0.16666666666666666,0.16666666666666666,0.25,0.25,0.0007731914520263672,0.0021943251291910806,0.046988328297932945,60.5,57.666666666666664,57.666666666666664
maps_60_10_10_0.175,12,12,0.0,0.0,0.16666666666666666,0.16666666666666666,,0.002417922019958496,0.06823337078094482,,91.0,91.0
empty,4,12,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0017520586649576824,0.002042076804421165,0.02655735882845792,68.77777777777777,74.0,74.0
empty,8,12,0.5833333333333334,0.75,0.6666666666666666,0.6666666666666666,0.004294838224138532,0.003738880157470703,0.05282917618751526,150.42857142857142,147.75,147.75
empty,16,12,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.005463838577270508,0.009487926959991455,0.10857373476028442,259.0,259.75,259.75
empty,24,12,0.0,0.08333333333333333,0.25,0.25,,0.022690773010253906,0.17627294858296713,,395.3333333333333,395.3333333333333
random_medium,4,12,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.0018738806247711182,0.002018427848815918,0.02688126564025879,73.375,73.8,73.8
random_medium,8,12,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0035927693049112954,0.003335326910018921,0.05362749099731445,155.0,146.125,146.125
random_medium,16,12,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.005734761555989583,0.007468044757843018,0.10914003849029541,288.3333333333333,274.75,274.75
random_medium,24,12,0.0,0.0,0.0,0.0,,,,,,
room,4,12,0.75,0.75,0.8333333333333334,0.8333333333333334,0.008149279488457574,0.00834958553314209,0.03527579307556152,86.0,85.5,85.5
room,8,12,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,,0.018601417541503906,0.07646965980529785,,162.0,162.0
room,16,12,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.05815744400024414,0.15964269638061523,,348.0,348.0
room,24,12,0.0,0.0,0.0,0.0,,,,,,
warehouse,4,12,0.75,0.75,0.8333333333333334,0.8333333333333334,0.0011884901258680555,0.0013073921203613282,0.026276516914367675,82.44444444444444,83.6,83.6
warehouse,8,12,0.16666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.0020232200622558594,0.004320621490478516,0.05510866641998291,132.5,148.25,148.25
warehouse,16,12,0.0,0.08333333333333333,0.0,0.0,,,,,,
warehouse,24,12,0.0,0.0,0.0,0.0,,,,,,
maze,4,12,0.5,0.5,0.5833333333333334,0.5833333333333334,0.002667546272277832,0.003851175308227539,0.027961662837437222,75.33333333333333,73.42857142857143,73.42857142857143
maze,8,12,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.004289865493774414,0.009839963912963868,0.06265521049499512,179.0,159.8,159.8
maze,16,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.007521390914916992,0.008504152297973633,0.11121392250061035,292.0,292.0,292.0
maze,24,12,0.0,0.0,0.0,0.0,,,,,,
random_large,4,8,1.0,1.0,1.0,1.0,0.0046651363372802734,0.0046498775482177734,0.030400574207305908,140.625,140.625,140.625
random_large,8,8,0.625,0.625,0.75,0.75,0.011127758026123046,0.0242767333984375,0.06471510728200276,279.8,292.8333333333333,292.8333333333333
random_large,16,8,0.125,0.375,0.5,0.5,0.023341655731201172,0.02669668197631836,0.12873202562332153,607.0,527.75,527.75
random_large,32,8,0.0,0.0,0.125,0.0,,0.22384381294250488,,,1128.0,
