feature,importance
M2_facing_M1_angle,0.03381440647103227
M1_Center_Lat_dist,0.03015258357649213
Tail_base_to_Tail_base_dist,0.02847748943099932
M1_Lat_Tail_dist,0.026040691593929643
Tail_end_to_Tail_end_dist,0.02369048505295874
M2_Nose_velocity_std10,0.023343458079648535
Lat_left_to_Tail_base_dist,0.021652454900437296
Center_to_Tail_base_dist,0.021133698398022437
Tail_end_to_Tail_base_dist,0.020318343588166504
M1_Center_Tail_dist,0.019347346387473912
M1_Ear_Tail_dist,0.019238492094202794
centroid_distance_mean10,0.017087636410669106
Center_to_Tail_end_dist,0.016864987636634313
Tail_base_to_Tail_end_dist,0.015821202649315007
M2_body_length_mean10,0.014181558678002353
Lat_right_to_Tail_end_dist,0.014175497171951714
Lat_left_to_Tail_end_dist,0.01294934546989396
M1_head_angle,0.012416966069995483
Lat_left_to_Center_dist,0.011734519513463697
Ear_right_to_Tail_end_dist,0.011672080952725407
Lat_right_to_Lat_right_dist,0.011380160848562478
Tail_end_to_Lat_right_dist,0.011013665905513108
Ear_left_to_Tail_end_dist,0.010777048551726294
Tail_end_to_Ear_right_dist,0.010586608125747007
M1_Tail_Tail_dist,0.0101850465741122
M1_Nose_Ear_dist,0.010018589726964787
M2_Center_velocity_std10,0.009965273971383108
M1_body_length_mean10,0.009830702045788892
Lat_left_to_Lat_right_dist,0.009664316634570291
M2_Center_velocity_mean10,0.009635618901786967
M2_body_length_mean5,0.009344700664365515
M2_Ear_Center_dist,0.00926043084135394
Center_to_Lat_right_dist,0.009232403782801308
M2_Nose_Ear_dist,0.009130609919335531
Ear_right_to_Ear_right_dist,0.008805238815656377
M2_Ear_Ear_dist,0.008719348155586166
Tail_base_to_Ear_left_dist,0.008576757156225474
M2_Ear_Lat_dist,0.00825511135249548
Tail_end_to_Nose_dist,0.008029072340477766
Nose_to_Tail_end_dist,0.007807407496288395
M2_body_length_std10,0.007667512563617258
centroid_distance_mean5,0.007536797093847021
Tail_base_to_Nose_dist,0.007525720554195846
M2_Nose_velocity_mean10,0.007508378503351481
Center_to_Center_dist,0.007305460460713587
M2_Ear_Tail_dist,0.007065848194151988
Tail_end_to_Ear_left_dist,0.006373300410951538
M2_Nose_Center_dist,0.006162207902607492
Ear_left_to_Lat_right_dist,0.0061175428540838515
M2_Center_velocity_std5,0.005926991788623191
M2_Nose_Lat_dist,0.005864178063794536
Ear_left_to_Ear_right_dist,0.005819875013370711
M1_Nose_Tail_dist,0.005787390709083364
