,feature,imp
45,Tail_end_2_x,0.11636132243177633
42,Tail_base_2_x,0.07431091880444163
34,Center_2_y,0.06550782458976362
21,Tail_end_1_x,0.06198092730214437
46,Tail_end_2_y,0.04577595106786653
25,Nose_2_y,0.035821457359253565
37,Lat_left_2_y,0.035245680349291146
18,Tail_base_1_x,0.032866405958720056
39,Lat_right_2_x,0.03250033698511853
36,Lat_left_2_x,0.0315432516325159
40,Lat_right_2_y,0.031148169708250326
9,Center_1_x,0.029778878752502576
12,Lat_left_1_x,0.027752683355196338
15,Lat_right_1_x,0.0271720090698597
33,Center_2_x,0.02617023904410736
1,Nose_1_y,0.02094203328752728
16,Lat_right_1_y,0.020306508219191666
6,Ear_right_1_x,0.019810863676580227
31,Ear_right_2_y,0.01965709887621394
3,Ear_left_1_x,0.018299980950948296
