rank,feature,importance
1,Feature_2,0.10961829510256144
2,Feature_1,0.09048788738055989
3,Tail_end_1_y,0.06713648552428753
4,Tail_end_1_x,0.06624624454441798
5,Tail_base_1_x,0.04085322783499505
6,Tail_end_2_x,0.0329341456491387
7,Center_1_y,0.030146211877682832
8,Tail_base_2_x,0.028686137387758385
9,Lat_right_1_x,0.027855973520665347
10,Center_1_x,0.026066367750754306
11,Tail_base_1_y,0.02376417755754298
12,Tail_base_2_y,0.022217348028567886
13,Lat_left_1_x,0.020905115331229657
14,Lat_right_2_y,0.01954076341183531
15,Nose_2_y,0.018980395529561277
