Feature,Importance
Tail_end_1_x,0.06858272016923346
Tail_end_1_y,0.06639085566872022
Feature_1,0.05905029341504828
Feature_2,0.05571178216099436
Tail_base_1_x,0.04016484230647938
Tail_end_2_x,0.03622074124239478
Center_1_y,0.03423830051660742
Lat_left_1_x,0.031053077519154922
Lat_right_1_x,0.030330854195314255
Center_1_x,0.029743807428818693
Tail_base_2_x,0.027994474420712425
Tail_base_1_y,0.027453465592658946
Tail_base_2_y,0.0238609982732219
Nose_2_y,0.02283301175872308
Tail_end_2_y,0.022268166081707546
Lat_left_2_x,0.022013384410015033
Lat_right_1_y,0.02175191292282895
Lat_right_2_y,0.021015165146341098
Center_2_y,0.020254758027902144
Lat_left_1_y,0.01952646066767199
