feature,rf_gini_attack,gb_importance_attack,rf_permutation_mean_attack,rf_permutation_std_attack,rf_gini_sniff,gb_importance_sniff,rf_permutation_mean_sniff,rf_permutation_std_sniff
M1_nose_to_tail,0.006963541259385107,0.003133133638593985,0.0034482758620689503,0.0021503778084907416,0.00849633271138264,0.0004185978004297252,0.002873563218390762,0.0025701930775859374
M1_ear_distance,0.0054809468567178655,0.00594647376142209,-0.002586206896551746,0.00201149425287358,0.0062331491945214436,0.0038932582890422356,0.0022988505747125743,0.0011494252873562871
M1_nose_to_centroid,0.006285732232710735,0.005017014176557125,-0.002298850574712663,0.0011494252873563314,0.008559172748102901,0.0054852273778785085,0.002586206896551646,0.0008620689655172155
M1_nose_to_lat_left,0.008391441100378167,0.014665004166191356,-0.004597701149425304,0.002298850574712624,0.006526872147905207,0.008488833081462222,0.0005747126436781436,0.0011494252873562871
M1_nose_to_lat_right,0.0069633798037373905,0.010897630536036877,0.0002873563218390829,0.0020114942528735805,0.004033157194100058,0.002836747407949367,0.0002873563218390718,0.0008620689655172155
M1_centroid_to_lat_left,0.0057921545641139004,0.009431790282204167,0.003735632183908033,0.0034121672663901897,0.008849473098600248,0.005829215569019767,0.003160919540229823,0.0020114942528735454
M1_centroid_to_lat_right,0.009502792212506682,0.011739788756035418,-0.00201149425287358,0.002244324619513425,0.03501404576935937,0.0753317931172754,0.010919540229885016,0.007131996348270607
M2_nose_to_tail,0.005788193184016829,0.003973184336886014,0.0011494252873563205,0.0019061062013536675,0.008474082109403314,0.001562223644007465,0.0017241379310344418,0.001906106201353644
M2_ear_distance,0.008573447891005087,0.012676098014320987,-0.0005747126436781658,0.002815505451474941,0.0045789068226867935,0.0019446533642573113,-0.0008620689655172486,0.0013168320962516891
M2_nose_to_centroid,0.005837065066123941,0.0015765601641541864,0.0005747126436781658,0.0011494252873563316,0.010062581086912986,0.01363073015021915,-2.2204460492503132e-17,0.0018174009541197386
M2_nose_to_lat_left,0.00613186671302757,0.004097524431106103,-0.0011494252873563316,0.002298850574712663,0.01234350003293589,0.00477704350062737,0.0005747126436781436,0.0011494252873562871
M2_nose_to_lat_right,0.010804471284305308,0.010590667097207686,0.0031609195402298785,0.0032637404286208287,0.010086998691919008,0.0031105185174238,0.0017241379310344307,0.0014077527257374163
M2_centroid_to_lat_left,0.006246490439118538,0.01543746309472505,0.0020114942528735693,0.002244324619513407,0.0035100318533568737,0.004304624762393626,-2.2204460492503132e-17,0.0018174009541197386
M2_centroid_to_lat_right,0.004778278916049599,0.0065307619227466685,-0.003160919540229912,0.0008620689655172486,0.006975906097719303,0.017684828924155176,0.0005747126436781436,0.0011494252873562871
centroid_distance,0.013155842874061428,0.001095171486108176,0.0025862068965517237,0.003000088077273138,0.012567984207154874,0.00011951826434426527,0.0017241379310344418,0.001906106201353644
nose_to_nose_distance,0.01207705317029814,0.004485912775402451,0.002011494252873558,0.0025862068965517137,0.016858169799195435,0.01787255429854878,0.002586206896551668,0.0020114942528735376
M1_nose_to_M2_lat_left,0.01274400151683348,0.009067520365717674,0.002298850574712652,0.0017241379310344751,0.00629939372608924,0.0020973822929496494,0.0043103448275861435,0.0019276448081894653
M1_nose_to_M2_lat_right,0.01755146991811961,0.009731781768891803,0.006896551724137901,0.002930470984823434,0.007198038707009544,0.005637676188666759,0.0,0.0
M2_nose_to_M1_lat_left,0.01767458513614536,0.013720500543637368,0.005747126436781591,0.0044517049956407035,0.010863685444462244,0.005113851165443755,0.003160919540229801,0.0008620689655172486
M2_nose_to_M1_lat_right,0.020368089126170982,0.051605988124623095,0.007183908045976984,0.003212741346982444,0.011222899496086316,0.050338352001283386,0.0034482758620688835,0.0011494252873563314
M1_nose_to_M2_tail_base,0.03284311065668247,0.07728119625055108,0.007758620689655149,0.00603448275862068,0.017648503847442296,0.006749982438325939,0.004022988505747072,0.0034482758620689594
M2_nose_to_M1_tail_base,0.02425858970735374,0.04285476315288629,0.005459770114942508,0.0035076309240613967,0.01986815271385461,0.03366096575761041,0.0017241379310344307,0.0031998645763390765
mov_c1,0.0048634900825563114,0.0056054135774470356,0.0,0.0012850965387929934,0.00201185957603986,0.0017748428596692592,0.0005747126436781436,0.0011494252873562871
mov_c2,0.004596566151437344,0.002318293506507626,0.0002873563218390829,0.0023869608801488926,0.0031816388860210023,0.001991970155010023,0.0008620689655172153,0.0013168320962516384
mov_n1,0.00466782353860175,0.006057616152298269,0.0014367816091954144,0.0014367816091954144,0.0029151299384934343,0.003475361673726911,0.0,0.0
mov_n2,0.004296160612451525,0.0035569181571382755,0.0017241379310344862,0.002298850574712644,0.0035666847574095124,0.006883372281681797,0.0011494252873562871,0.0014077527257374163
mov_tb1,0.0065759640515546435,0.0043363672527752814,0.0002873563218390829,0.0008620689655172485,0.004771121451006802,0.01076032321963219,0.0020114942528735025,0.0013168320962516384
mov_tb2,0.004948387638521792,0.009246252283406135,0.0025862068965517237,0.0020114942528735454,0.006038872500951068,0.008931884424813864,0.0005747126436781436,0.0011494252873562871
mov_te1,0.004908303710972964,0.004845297202509249,0.0011494252873563316,0.0014077527257374705,0.0042697218496152945,0.0020348874948444154,0.001149425287356276,0.001906106201353644
mov_te2,0.0042136608434639785,0.002823697821711925,-0.0002873563218390829,0.0015474611514754452,0.002208073312787509,0.00579171090901614,0.0011494252873562871,0.0014077527257374163
mov_el1,0.00453529672155129,0.003819468071474663,-0.0011494252873563316,0.0026336641925033787,0.0036691567201174815,0.0012522239229093106,0.0008620689655172153,0.0013168320962516384
mov_el2,0.004893655285783486,0.006137014219814076,-0.0005747126436781658,0.0011494252873563316,0.002167677420835579,0.0028084276534526484,0.0008620689655172153,0.0013168320962516384
mov_er1,0.004228349087683428,0.003958269832368236,0.00201149425287358,0.0013168320962516893,0.0019890276489429983,0.004510154168948366,0.0,0.0
mov_er2,0.0051586812850159085,0.005883393070747388,-0.0011494252873563316,0.001906106201353694,0.0029653922987529467,0.021562592246172012,0.0005747126436781436,0.0011494252873562871
mov_ll1,0.005203144383979685,0.005696618912491399,-0.0002873563218390829,0.0015474611514754452,0.003168388457672739,0.003944978306431658,0.0008620689655172153,0.0013168320962516384
mov_ll2,0.004589165556171579,0.002299125584720821,-0.002586206896551735,0.003263740428620854,0.0029919501723273925,0.006567131900190486,0.0005747126436781436,0.0011494252873562871
mov_lr1,0.004499739051528218,0.004511803333165812,0.0002873563218390829,0.0008620689655172485,0.003477912142238645,0.0011086535349760763,0.0002873563218390718,0.0008620689655172155
mov_lr2,0.00472321429486589,0.003929207640770047,0.0002873563218390829,0.00201149425287358,0.0029530290028809175,0.008098497816034875,0.0,0.0
total_mov_centroid,0.003540190972872091,0.0011220186577814383,-0.0008620689655172486,0.0013168320962516891,0.002331211174172697,0.00026777482890762106,0.0,0.0
total_mov_nose,0.003875603966638083,0.0035073712206475536,-0.0014367816091954144,0.0014367816091954144,0.00217026263157101,0.0030865664651931394,0.0002873563218390718,0.0008620689655172155
total_mov_tail,0.0025708969444008405,0.003524251528094409,-0.0014367816091954144,0.0014367816091954144,0.0026528712193883584,0.003872933473358595,0.0,0.0
centroid_distance_med2,0.011959473796464575,0.00017105414349771633,0.001724137931034464,0.003199864576339078,0.009439104831338087,0.00024677214419822663,0.0020114942528735025,0.0013168320962516384
centroid_distance_mean2,0.01695993799171679,0.003497705918301578,0.009482758620689624,0.0034121672663902348,0.018193493927326707,0.0037847972537388423,0.0005747126436781436,0.0021503778084907507
centroid_distance_med5,0.016063330947679127,0.0013711783483808858,0.007758620689655138,0.003646142971393556,0.020914145421932838,0.004983577764946867,0.0011494252873562982,0.0019061062013536472
centroid_distance_mean5,0.014926669148253302,0.0011026691189110203,0.006034482758620674,0.003735632183908031,0.014076853281997417,0.004621776332099571,-0.000287356321839094,0.0015474611514754227
centroid_distance_med15,0.024554468650587205,0.004406245121510095,0.00890804597701148,0.004534406275304463,0.026233073887846726,0.051486548693646564,0.016091954022988443,0.004668987588871252
centroid_distance_mean15,0.03099170741505648,0.10181924211764691,0.007183908045976994,0.0043103448275862025,0.029031903569135514,0.026434514656945542,0.017816091954022915,0.0044144515792348266
nose_to_nose_distance_med2,0.009446516738947232,0.001896446889428046,-0.0002873563218390829,0.0020114942528735805,0.013317212993651122,0.007951400184518422,0.0017241379310344418,0.001906106201353644
nose_to_nose_distance_mean2,0.011395708125656642,0.0018512512143506658,0.003448275862068961,0.0017241379310344528,0.013978632926304685,0.00016292810386877785,0.0022988505747125964,0.0021503778084907416
nose_to_nose_distance_med5,0.012954564294301689,0.0027521928756814645,0.006609195402298806,0.002244324619513407,0.01156399744786592,0.01877306522077375,0.003160919540229801,0.0008620689655172486
nose_to_nose_distance_mean5,0.012368888578768035,0.0012683251578575496,0.005172413793103426,0.003094922302950847,0.013344142601926907,0.0008092293913992047,0.0017241379310344418,0.001906106201353644
nose_to_nose_distance_med15,0.01726319846625562,0.013363964394884083,0.008045977011494222,0.003094922302950872,0.016983513651138333,0.01575002171491563,0.003160919540229834,0.002710914118407054
nose_to_nose_distance_mean15,0.011671979278216902,0.00135722387505254,0.0054597701149424974,0.0020114942528735376,0.017148458878480228,0.021975755200415628,0.0022988505747125855,0.0017241379310344528
total_mov_centroid_med2,0.003257276585018529,0.0020837605074458267,-0.003160919540229912,0.0015474611514754452,0.0030686035195900034,0.0018963588394988367,0.0,0.0
total_mov_centroid_mean2,0.004096927115581549,0.0003614092242926049,-0.0002873563218390829,0.0008620689655172485,0.0018934889038269781,0.00224803429557796,0.0,0.0
total_mov_centroid_med5,0.006439631618354644,0.0021683296253741107,0.0017241379310344862,0.0019061062013536708,0.0047907300917148345,0.0022100050420732135,0.001436781609195359,0.001436781609195359
total_mov_centroid_mean5,0.006220243663356601,0.0030038277878164724,-0.0017241379310344973,0.0014077527257374705,0.006289161487519804,0.00317690661018943,0.0008620689655172153,0.0013168320962516384
total_mov_centroid_med15,0.009678441644385945,0.011309914367215512,0.005172413793103414,0.0028155054514749024,0.017315878998892437,0.009024467756259869,0.0022988505747125964,0.0028155054514748933
total_mov_centroid_mean15,0.008442215231536994,0.00733661684953186,-0.0011494252873563316,0.0022988505747126627,0.010019426878734286,0.008420213826490826,0.001436781609195359,0.001436781609195359
total_mov_nose_med2,0.004977181091344805,0.003051918913437317,0.0014367816091954034,0.002316740732269697,0.0027383626637494224,0.0012075011947838465,0.0,0.0
total_mov_nose_mean2,0.003989330601040493,0.0008656285234422835,-0.0017241379310344973,0.0014077527257374705,0.0027953973966960938,0.004833363053997467,0.0017241379310344307,0.0014077527257374163
total_mov_nose_med5,0.004612719677760572,0.0024787414924445634,0.0,0.0022258524978203734,0.004959336810017482,0.0023755070989697987,-0.0020114942528735914,0.0018399782291473562
total_mov_nose_mean5,0.007383756352077557,0.007772030144946,0.0014367816091954144,0.00192764480818949,0.003539761286600708,0.0015106561493611606,0.0002873563218390718,0.0008620689655172155
total_mov_nose_med15,0.012051534693905847,0.016785110656287405,0.0011494252873563205,0.002298850574712641,0.013328966627927487,0.029702336344114354,0.0022988505747125743,0.0011494252873562871
total_mov_nose_mean15,0.012934203722935847,0.03030783102596494,0.002298850574712652,0.002505114335368196,0.013629711999284033,0.01539767596102042,0.0037356321839079774,0.0025862068965517297
M1_nose_to_tail_med2,0.007384867821976786,0.001856051602195477,-0.0008620689655172486,0.002244324619513425,0.00752945869280271,0.0003898222034435283,0.0,0.0
M1_nose_to_tail_mean2,0.0066159173392694205,0.004103679805330528,0.0011494252873563092,0.003199864576339088,0.010281381090710782,0.0004331807195658768,0.002873563218390762,0.0025701930775859374
M1_nose_to_tail_med5,0.006424498568503457,0.00309626881331213,0.003735632183908033,0.0025862068965516994,0.009172642247142851,0.00034640051296431677,0.0017241379310344307,0.0014077527257374163
M1_nose_to_tail_mean5,0.00772051533956057,0.01142645962415187,0.00201149425287358,0.0013168320962516893,0.008898813257690964,0.005263762243636635,0.0008620689655172153,0.0013168320962516384
M1_nose_to_tail_med15,0.01396364310641383,0.019610738908137564,0.006896551724137889,0.003199864576339096,0.03420853590360938,0.025212233675242553,0.01034482758620684,0.0043007556169815395
M1_nose_to_tail_mean15,0.010367984296954822,0.007812541310600205,0.007471264367816055,0.0019061062013536675,0.01628775099163927,0.018431744009416207,0.002586206896551668,0.0020114942528735376
M2_nose_to_tail_med2,0.007289837082482367,0.0013018868905904047,-0.002298850574712663,0.0011494252873563314,0.006257057453497841,0.003700117183818645,0.002873563218390718,0.0
M2_nose_to_tail_mean2,0.007786809951113815,0.0018325754308894896,0.0054597701149424974,0.0027109141184070494,0.004832042142577079,0.002796046183136485,0.001436781609195359,0.001436781609195359
M2_nose_to_tail_med5,0.009676785343123709,0.0016824723518958356,0.002011494252873558,0.0025862068965517137,0.011147513133087136,0.0009710855055672259,0.0025862068965516794,0.002386960880148844
M2_nose_to_tail_mean5,0.009002007149375595,0.009704742186591474,0.002298850574712641,0.0033511217786467203,0.01139143613509719,0.005884828728316808,0.0017241379310344196,0.0019061062013536472
M2_nose_to_tail_med15,0.010653946453886273,0.019319065821258755,0.0031609195402298672,0.002386960880148844,0.031180070104496114,0.01731867973950546,0.004310344827586155,0.003212741346982454
M2_nose_to_tail_mean15,0.011434369727209705,0.003970771612431831,0.0031609195402298672,0.0032637404286208296,0.021716411712142482,0.036287685828546246,0.00028735632183904956,0.0030000880772731325
M1_ear_distance_med2,0.006376455712907157,0.0032236061834310034,-0.0008620689655172486,0.0018399782291473857,0.0051089170107061115,0.0026661789833574466,0.002586206896551646,0.0008620689655172153
M1_ear_distance_mean2,0.00550271039620717,0.005115400589459984,-0.0002873563218390829,0.0015474611514754452,0.006144093413316594,0.00013104884948334286,0.0022988505747125743,0.0011494252873562871
M1_ear_distance_med5,0.007642880404312544,0.005202952817177582,-0.003160919540229912,0.00201149425287358,0.005290497273611382,0.005714349862102089,0.0025862068965516573,0.0015474611514754081
M1_ear_distance_mean5,0.0074977240295479,0.004397968080539346,-0.002298850574712663,0.002150377808490789,0.006544158540284885,0.007218979915317517,0.0011494252873562871,0.001407752725737416
M1_ear_distance_med15,0.013899133561397216,0.009513953491448289,0.0028735632183908067,0.0028735632183907955,0.006846464544309063,0.015947516613776518,0.0022988505747125855,0.0017241379310344528
M1_ear_distance_mean15,0.015150997973900189,0.023427058172448428,0.006609195402298829,0.003160919540229872,0.007280806188330009,0.007044400565583845,0.0025862068965516573,0.0015474611514754081
M2_ear_distance_med2,0.007758864246386035,0.001796626544766457,0.0011494252873563205,0.002298850574712641,0.006227680475561352,0.02255477090293934,0.002586206896551646,0.0008620689655172155
M2_ear_distance_mean2,0.009321645582976741,0.0018457720487354116,0.0005747126436781546,0.0025051143353682012,0.005993623348812221,0.003179200417745001,0.002586206896551646,0.0008620689655172155
M2_ear_distance_med5,0.009184239838911118,0.01625642672561675,-0.000574712643678188,0.0040229885057471255,0.00477072096555062,0.0015405660755825488,0.001436781609195359,0.001436781609195359
M2_ear_distance_mean5,0.00963505027137722,0.0005403516679182283,0.0017241379310344862,0.0019061062013536708,0.004865523436925134,0.002160335693503115,0.0020114942528735025,0.0013168320962516384
M2_ear_distance_med15,0.015494870170702547,0.0038312303854293015,0.004597701149425271,0.0031998645763390704,0.011072862262804592,0.020136229793960347,0.002586206896551646,0.0008620689655172155
M2_ear_distance_mean15,0.017254783917041466,0.009474440334619711,0.00775862068965516,0.0038659839215728956,0.011870321204252398,0.006933974684187017,0.0037356321839079666,0.0013168320962516893
total_mov_centroid_dev,0.004682456960463703,0.0014626891390955208,-0.0002873563218390829,0.0015474611514754452,0.001970081860799213,0.0001513059595215213,0.0,0.0
centroid_distance_dev,0.016078362023505162,0.002024502864186796,0.006034482758620685,0.004348490215638367,0.015543217058100713,0.0016879088568094425,-0.0022988505747126853,0.0030949223029508536
total_mov_nose_dev,0.0037721804952385463,0.004810786292772327,-0.002873563218390829,0.002570193077585987,0.0031352551748234547,0.001471266792072467,0.0002873563218390718,0.0008620689655172155
M1_angle,0.042921568149003365,0.08142498530416244,0.015804597701149403,0.0053374067876456035,0.034644379780281884,0.04142995875998243,0.005459770114942464,0.00201149425287358
M2_angle,0.026128709729702077,0.06629648486831877,0.009482758620689646,0.004073978988148799,0.03787377245779284,0.028431557893154272,0.009195402298850542,0.002150377808490789
total_angle,0.044347171177800224,0.02235675921559915,0.014367816091954023,0.003400045852356111,0.05105407550312635,0.08785351059327211,0.009770114942528685,0.003199864576339088
