feature,rf_gini,gb_importance,rf_permutation_mean,rf_permutation_std
M1_nose_to_tail,0.00849633271138264,0.0004185978004297252,0.002873563218390762,0.0025701930775859374
M1_ear_distance,0.0062331491945214436,0.0038932582890422356,0.0022988505747125743,0.0011494252873562871
M1_nose_to_centroid,0.008559172748102901,0.0054852273778785085,0.002586206896551646,0.0008620689655172155
M1_nose_to_lat_left,0.006526872147905207,0.008488833081462222,0.0005747126436781436,0.0011494252873562871
M1_nose_to_lat_right,0.004033157194100058,0.002836747407949367,0.0002873563218390718,0.0008620689655172155
M1_centroid_to_lat_left,0.008849473098600248,0.005829215569019767,0.003160919540229823,0.0020114942528735454
M1_centroid_to_lat_right,0.03501404576935937,0.0753317931172754,0.010919540229885016,0.007131996348270607
M2_nose_to_tail,0.008474082109403314,0.001562223644007465,0.0017241379310344418,0.001906106201353644
M2_ear_distance,0.0045789068226867935,0.0019446533642573113,-0.0008620689655172486,0.0013168320962516891
M2_nose_to_centroid,0.010062581086912986,0.01363073015021915,-2.2204460492503132e-17,0.0018174009541197386
M2_nose_to_lat_left,0.01234350003293589,0.00477704350062737,0.0005747126436781436,0.0011494252873562871
M2_nose_to_lat_right,0.010086998691919008,0.0031105185174238,0.0017241379310344307,0.0014077527257374163
M2_centroid_to_lat_left,0.0035100318533568737,0.004304624762393626,-2.2204460492503132e-17,0.0018174009541197386
M2_centroid_to_lat_right,0.006975906097719303,0.017684828924155176,0.0005747126436781436,0.0011494252873562871
centroid_distance,0.012567984207154874,0.00011951826434426527,0.0017241379310344418,0.001906106201353644
nose_to_nose_distance,0.016858169799195435,0.01787255429854878,0.002586206896551668,0.0020114942528735376
M1_nose_to_M2_lat_left,0.00629939372608924,0.0020973822929496494,0.0043103448275861435,0.0019276448081894653
M1_nose_to_M2_lat_right,0.007198038707009544,0.005637676188666759,0.0,0.0
M2_nose_to_M1_lat_left,0.010863685444462244,0.005113851165443755,0.003160919540229801,0.0008620689655172486
M2_nose_to_M1_lat_right,0.011222899496086316,0.050338352001283386,0.0034482758620688835,0.0011494252873563314
M1_nose_to_M2_tail_base,0.017648503847442296,0.006749982438325939,0.004022988505747072,0.0034482758620689594
M2_nose_to_M1_tail_base,0.01986815271385461,0.03366096575761041,0.0017241379310344307,0.0031998645763390765
mov_c1,0.00201185957603986,0.0017748428596692592,0.0005747126436781436,0.0011494252873562871
mov_c2,0.0031816388860210023,0.001991970155010023,0.0008620689655172153,0.0013168320962516384
mov_n1,0.0029151299384934343,0.003475361673726911,0.0,0.0
mov_n2,0.0035666847574095124,0.006883372281681797,0.0011494252873562871,0.0014077527257374163
mov_tb1,0.004771121451006802,0.01076032321963219,0.0020114942528735025,0.0013168320962516384
mov_tb2,0.006038872500951068,0.008931884424813864,0.0005747126436781436,0.0011494252873562871
mov_te1,0.0042697218496152945,0.0020348874948444154,0.001149425287356276,0.001906106201353644
mov_te2,0.002208073312787509,0.00579171090901614,0.0011494252873562871,0.0014077527257374163
mov_el1,0.0036691567201174815,0.0012522239229093106,0.0008620689655172153,0.0013168320962516384
mov_el2,0.002167677420835579,0.0028084276534526484,0.0008620689655172153,0.0013168320962516384
mov_er1,0.0019890276489429983,0.004510154168948366,0.0,0.0
mov_er2,0.0029653922987529467,0.021562592246172012,0.0005747126436781436,0.0011494252873562871
mov_ll1,0.003168388457672739,0.003944978306431658,0.0008620689655172153,0.0013168320962516384
mov_ll2,0.0029919501723273925,0.006567131900190486,0.0005747126436781436,0.0011494252873562871
mov_lr1,0.003477912142238645,0.0011086535349760763,0.0002873563218390718,0.0008620689655172155
mov_lr2,0.0029530290028809175,0.008098497816034875,0.0,0.0
total_mov_centroid,0.002331211174172697,0.00026777482890762106,0.0,0.0
total_mov_nose,0.00217026263157101,0.0030865664651931394,0.0002873563218390718,0.0008620689655172155
total_mov_tail,0.0026528712193883584,0.003872933473358595,0.0,0.0
centroid_distance_med2,0.009439104831338087,0.00024677214419822663,0.0020114942528735025,0.0013168320962516384
centroid_distance_mean2,0.018193493927326707,0.0037847972537388423,0.0005747126436781436,0.0021503778084907507
centroid_distance_med5,0.020914145421932838,0.004983577764946867,0.0011494252873562982,0.0019061062013536472
centroid_distance_mean5,0.014076853281997417,0.004621776332099571,-0.000287356321839094,0.0015474611514754227
centroid_distance_med15,0.026233073887846726,0.051486548693646564,0.016091954022988443,0.004668987588871252
centroid_distance_mean15,0.029031903569135514,0.026434514656945542,0.017816091954022915,0.0044144515792348266
nose_to_nose_distance_med2,0.013317212993651122,0.007951400184518422,0.0017241379310344418,0.001906106201353644
nose_to_nose_distance_mean2,0.013978632926304685,0.00016292810386877785,0.0022988505747125964,0.0021503778084907416
nose_to_nose_distance_med5,0.01156399744786592,0.01877306522077375,0.003160919540229801,0.0008620689655172486
nose_to_nose_distance_mean5,0.013344142601926907,0.0008092293913992047,0.0017241379310344418,0.001906106201353644
nose_to_nose_distance_med15,0.016983513651138333,0.01575002171491563,0.003160919540229834,0.002710914118407054
nose_to_nose_distance_mean15,0.017148458878480228,0.021975755200415628,0.0022988505747125855,0.0017241379310344528
total_mov_centroid_med2,0.0030686035195900034,0.0018963588394988367,0.0,0.0
total_mov_centroid_mean2,0.0018934889038269781,0.00224803429557796,0.0,0.0
total_mov_centroid_med5,0.0047907300917148345,0.0022100050420732135,0.001436781609195359,0.001436781609195359
total_mov_centroid_mean5,0.006289161487519804,0.00317690661018943,0.0008620689655172153,0.0013168320962516384
total_mov_centroid_med15,0.017315878998892437,0.009024467756259869,0.0022988505747125964,0.0028155054514748933
total_mov_centroid_mean15,0.010019426878734286,0.008420213826490826,0.001436781609195359,0.001436781609195359
total_mov_nose_med2,0.0027383626637494224,0.0012075011947838465,0.0,0.0
total_mov_nose_mean2,0.0027953973966960938,0.004833363053997467,0.0017241379310344307,0.0014077527257374163
total_mov_nose_med5,0.004959336810017482,0.0023755070989697987,-0.0020114942528735914,0.0018399782291473562
total_mov_nose_mean5,0.003539761286600708,0.0015106561493611606,0.0002873563218390718,0.0008620689655172155
total_mov_nose_med15,0.013328966627927487,0.029702336344114354,0.0022988505747125743,0.0011494252873562871
total_mov_nose_mean15,0.013629711999284033,0.01539767596102042,0.0037356321839079774,0.0025862068965517297
M1_nose_to_tail_med2,0.00752945869280271,0.0003898222034435283,0.0,0.0
M1_nose_to_tail_mean2,0.010281381090710782,0.0004331807195658768,0.002873563218390762,0.0025701930775859374
M1_nose_to_tail_med5,0.009172642247142851,0.00034640051296431677,0.0017241379310344307,0.0014077527257374163
M1_nose_to_tail_mean5,0.008898813257690964,0.005263762243636635,0.0008620689655172153,0.0013168320962516384
M1_nose_to_tail_med15,0.03420853590360938,0.025212233675242553,0.01034482758620684,0.0043007556169815395
M1_nose_to_tail_mean15,0.01628775099163927,0.018431744009416207,0.002586206896551668,0.0020114942528735376
M2_nose_to_tail_med2,0.006257057453497841,0.003700117183818645,0.002873563218390718,0.0
M2_nose_to_tail_mean2,0.004832042142577079,0.002796046183136485,0.001436781609195359,0.001436781609195359
M2_nose_to_tail_med5,0.011147513133087136,0.0009710855055672259,0.0025862068965516794,0.002386960880148844
M2_nose_to_tail_mean5,0.01139143613509719,0.005884828728316808,0.0017241379310344196,0.0019061062013536472
M2_nose_to_tail_med15,0.031180070104496114,0.01731867973950546,0.004310344827586155,0.003212741346982454
M2_nose_to_tail_mean15,0.021716411712142482,0.036287685828546246,0.00028735632183904956,0.0030000880772731325
M1_ear_distance_med2,0.0051089170107061115,0.0026661789833574466,0.002586206896551646,0.0008620689655172153
M1_ear_distance_mean2,0.006144093413316594,0.00013104884948334286,0.0022988505747125743,0.0011494252873562871
M1_ear_distance_med5,0.005290497273611382,0.005714349862102089,0.0025862068965516573,0.0015474611514754081
M1_ear_distance_mean5,0.006544158540284885,0.007218979915317517,0.0011494252873562871,0.001407752725737416
M1_ear_distance_med15,0.006846464544309063,0.015947516613776518,0.0022988505747125855,0.0017241379310344528
M1_ear_distance_mean15,0.007280806188330009,0.007044400565583845,0.0025862068965516573,0.0015474611514754081
M2_ear_distance_med2,0.006227680475561352,0.02255477090293934,0.002586206896551646,0.0008620689655172155
M2_ear_distance_mean2,0.005993623348812221,0.003179200417745001,0.002586206896551646,0.0008620689655172155
