model,degradation,accuracy,precision,recall,f1,roc_auc,pr_auc,n
Logistic Regression,Average,0.8348,0.376,0.9928,0.5454,0.9428,0.5357,18000
Logistic Regression,Misalignment,0.9504,0.6722,1.0,0.804,0.99,0.8346,18000
Logistic Regression,Missing Sections,0.9734,0.8128,0.9601,0.8803,0.9902,0.8462,18000
Logistic Regression,Mixed,0.9677,0.763,0.9951,0.8638,0.9904,0.8282,18000
Random Forest,Average,0.9281,0.6924,0.5036,0.5831,0.9425,0.6416,18000
Random Forest,Misalignment,0.976,0.882,0.882,0.882,0.9941,0.9477,18000
Random Forest,Missing Sections,0.9732,0.877,0.8569,0.8669,0.9926,0.9272,18000
Random Forest,Mixed,0.9619,0.9795,0.6435,0.7767,0.9961,0.9675,18000
Gradient Boosting,Average,0.9183,0.6364,0.4246,0.5093,0.94,0.5904,18000
Gradient Boosting,Misalignment,0.9848,0.9309,0.9192,0.925,0.9975,0.9758,18000
Gradient Boosting,Missing Sections,0.9714,0.9273,0.7799,0.8472,0.9948,0.9448,18000
Gradient Boosting,Mixed,0.9579,0.9919,0.5965,0.745,0.9984,0.9856,18000
XGBoost,Average,0.9098,0.5279,0.9171,0.6701,0.9689,0.7327,18000
XGBoost,Misalignment,0.9703,0.7743,0.9989,0.8724,0.9984,0.9816,18000
XGBoost,Missing Sections,0.9797,0.8377,0.9924,0.9085,0.9971,0.9582,18000
XGBoost,Mixed,0.9917,0.9601,0.9595,0.9598,0.9992,0.993,18000
"MLP (64,32)",Average,0.9873,0.9071,0.9727,0.9388,0.9988,0.9897,18000
"MLP (64,32)",Misalignment,0.9922,0.949,0.976,0.9623,0.9988,0.9866,18000
"MLP (64,32)",Missing Sections,0.9909,0.9602,0.9498,0.955,0.9992,0.9918,18000
"MLP (64,32)",Mixed,0.9896,0.997,0.9018,0.947,0.9999,0.9986,18000
