degradation,n_samples,n_positive,auc_roc,avg_precision,accuracy,precision,recall,f1,model
Mixed,18000,1854,0.9904352756822153,0.8281599929073157,0.9676666666666667,0.7630272952853598,0.9951456310679612,0.8637640449438202,Logistic Regression
Misalignment,18000,1831,0.9899866710302793,0.8345791035073283,0.9503888888888888,0.672173274596182,1.0,0.8039517014270033,Logistic Regression
Average,18000,1797,0.9428071932789571,0.5356976549615364,0.8347777777777777,0.3759747102212856,0.9927657206455203,0.5453989605625191,Logistic Regression
Missing Sections,18000,1831,0.9901568762415582,0.8461995534379461,0.9734444444444444,0.812760055478502,0.9601310759148006,0.8803204807210816,Logistic Regression
Mixed,18000,1854,0.9948709664013824,0.958228369204454,0.9692222222222222,0.9482758620689655,0.7416396979503775,0.8323244552058111,Random Forest
Misalignment,18000,1831,0.9924478066344499,0.9337262806115159,0.9652222222222222,0.7674212161562362,0.9442927362097214,0.846718903036239,Random Forest
Average,18000,1797,0.9256102432441816,0.5933184379554417,0.8842222222222222,0.45036319612590797,0.7245409015025042,0.5554607508532423,Random Forest
Missing Sections,18000,1831,0.9903950081604939,0.9124511987029131,0.9597222222222223,0.7357203751065644,0.9426542872747132,0.826430452477855,Random Forest
Mixed,18000,1854,0.9982333870636483,0.983910286542763,0.9549444444444445,0.9943127962085309,0.5658036677454154,0.7212100378136816,Gradient Boosting
Misalignment,18000,1831,0.9977957428700855,0.9789558901795341,0.9853333333333333,0.9321566464423607,0.922992900054615,0.9275521405049396,Gradient Boosting
Average,18000,1797,0.9508814003576149,0.6546349723130739,0.9266111111111112,0.7109929078014184,0.44629938786867,0.5483760683760683,Gradient Boosting
Missing Sections,18000,1831,0.995517816844398,0.9520554013234493,0.9735555555555555,0.9385113268608414,0.7919169852539596,0.8590047393364929,Gradient Boosting
Mixed,18000,1854,0.9989023435156354,0.9905204496477356,0.9902222222222222,0.9569716775599129,0.947680690399137,0.9523035230352304,XGBoost
Misalignment,18000,1831,0.9980665545949176,0.9796307321271925,0.9633333333333334,0.7358034635521546,0.997815401419989,0.847009735744089,XGBoost
Average,18000,1797,0.9633742605769984,0.7063612768576002,0.8951666666666667,0.48677248677248675,0.9215358931552587,0.6370455856895557,XGBoost
Missing Sections,18000,1831,0.9969440750397249,0.9604700473190008,0.9733333333333334,0.7956236323851203,0.9929000546149646,0.8833819241982507,XGBoost
Mixed,18000,1854,0.9997152132957208,0.9970016060511765,0.9917222222222222,0.9896611143021252,0.9293419633225458,0.9585535465924896,MLP (Neural Net)
Misalignment,18000,1831,0.9974635066211989,0.968196218776519,0.9875555555555555,0.9191444966092853,0.9623156744948116,0.9402347918890075,MLP (Neural Net)
Average,18000,1797,0.99849664064972,0.9873861628356398,0.9873888888888889,0.9127234490010515,0.9660545353366722,0.9386320627196539,MLP (Neural Net)
Missing Sections,18000,1831,0.9989290481387559,0.9885966756470311,0.9902222222222222,0.9480238224147266,0.9563080283997816,0.9521479064709081,MLP (Neural Net)
