,phase,annotated_age,state,batch,pseudotime_dynamic
0,S,6.933333332999999,cycling,1,0.22033685745352888
1,G2,16.26666667,cycling,1,0.7872485481949475
2,G0,2.666666667,arrested,1,0.10607731368878363
3,G1,0.26666666699999997,cycling,1,0.07409358205636327
4,G2,12.8,cycling,1,0.3026522318312273
5,S,10.13333333,cycling,1,0.3080716801644299
6,G1,4.533333333,cycling,1,0.11739189732683272
7,G2,18.66666667,cycling,1,0.4856229368338688
8,G1,1.6,cycling,1,0.14277030198809681
9,G1,15.46666667,cycling,1,0.18835068340856007
10,G1,5.066666667,cycling,1,0.10201167871455903
11,G1,6.4,cycling,1,0.16145998551027244
12,G1,0.26666666699999997,cycling,1,0.1555924841537587
13,S,7.733333332999999,cycling,1,0.2272567990125412
14,S,5.333333333,cycling,1,0.19426405489768198
15,S,8.533333333,cycling,1,0.20435601235685974
16,S,9.333333332999999,cycling,1,0.23312830820106417
17,G2,16.26666667,cycling,1,0.5781119599577269
18,G2,18.13333333,cycling,1,0.5672994696600017
19,G1,4.8,cycling,1,0.15999504889670746
20,G1,3.4666666669999997,cycling,1,0.08941616144753062
21,G1,6.933333332999999,cycling,1,0.12315565039331837
22,S,7.2,cycling,1,0.2417305468521623
23,S,16.8,cycling,1,0.22932765583646453
24,G2,20.0,cycling,1,0.36935094383181033
25,S,10.93333333,cycling,1,0.26291241157077205
26,G1,4.8,cycling,1,0.12161333180940517
27,S,8.0,cycling,1,0.27164635794371184
28,S,9.6,cycling,1,0.3407092490304751
29,S,5.6,cycling,1,0.20789726518893065
30,G1,5.066666667,cycling,1,0.1687276550663363
31,G1,4.266666667,cycling,1,0.11241024055963478
32,G0,18.93333333,arrested,1,0.22886306963239805
33,G1,5.8666666670000005,cycling,1,0.1472883949330726
34,S,8.0,cycling,1,0.23917928153776372
35,S,7.2,cycling,1,0.16785790358162472
36,S,10.93333333,cycling,1,0.22371837083704102
37,G1,4.266666667,cycling,1,0.2312745199024067
38,G2,13.86666667,cycling,1,0.43225379613420467
39,G0,8.266666667,arrested,1,0.12453396954833636
40,S,7.2,cycling,1,0.2117957019304632
41,G2,18.4,cycling,1,0.3827618539750554
42,S,9.6,cycling,1,0.3235429058935696
43,G1,5.066666667,cycling,1,0.1398659604692031
44,G1,3.2,cycling,1,0.18403887583948575
45,G1,1.333333333,cycling,1,0.11784421499435464
46,G1,4.266666667,cycling,1,0.12374414992625772
47,S,5.8666666670000005,cycling,1,0.23838300174217852
48,G1,2.133333333,cycling,1,0.16937854368522742
49,S,14.13333333,cycling,1,0.34121681482762445
50,G2,17.33333333,cycling,1,0.3886854104881103
51,G1,9.866666667,cycling,1,0.16412319369799916
52,S,5.8666666670000005,cycling,1,0.2929984032914871
53,S,9.066666667,cycling,1,0.344757805827922
54,G2,16.26666667,cycling,1,0.3775665340296499
55,G1,4.266666667,cycling,1,0.14493845747078904
56,S,7.2,cycling,1,0.26459692506063087
57,G2,20.0,cycling,1,0.5588110634828954
58,G1,4.266666667,cycling,1,0.19079340022438077
59,G1,4.266666667,cycling,1,0.11212921692230327
