feature,dynamic_score,age_spearman,batch_effect,variance,score
Int_Intg_DNA_nuc,2.1387196973013256,0.7359945236404305,0.001911811000449944,0.013663306186303261,1.5710823722538072
Int_Med_cycA_nuc,1.7669459867211532,0.73238994282907,0.000211237938730731,0.02450444643848392,1.2938201662917446
Int_Med_Skp2_nuc,1.4539279874078788,0.5137867003929677,0.0001278074005517104,0.03122169555349996,0.74691340219891
AreaShape_Area_nuc,0.9781852361691674,0.7146348635615428,0.000491811219528803,0.007515462889259949,0.6987016434803016
Int_Med_pH2AX_nuc,0.7162763277134825,0.5826144580301129,0.0002290968631998802,0.015501871713304775,0.4172173612818479
Int_Med_CDK2_nuc,0.6758967271989933,0.6007035083485317,0.0010836149953638578,0.015399673272709474,0.4055740491882948
Int_Std_PCNA_nuc,0.7030492482053833,0.5537299982861966,0.00029250870476778355,0.023469972023854552,0.3891856188226026
Int_Med_cycB1_ring,0.5245999517626946,0.560699121186191,0.0007323102625441002,0.012809334887786539,0.29392748581335615
Int_Med_cycB1_cyto,0.5245999517626946,0.560699121186191,0.0007323102625441002,0.012809334887786539,0.29392748581335615
Int_Med_E2F1_nuc,0.6566947445345207,0.42886615522800786,0.0022863466655070643,0.005532387531811874,0.28099170579737376
Int_Med_cycB1_cell,0.5046136495346989,0.5493045847193913,0.0007748308799606725,0.011533205590572203,0.2769719847547223
Int_Med_Cdh1_nuc,0.5960045877034905,-0.3670278266151216,0.0022528654419960038,0.01783232289002488,0.21825856130726487
Int_Med_p27_nuc,0.39121110804175396,-0.49477946900436137,0.001287530141782668,0.016722517161489016,0.19331432628357834
Int_Med_cycB1_nuc,0.34073733513711446,0.4304464779673577,0.0006113551450364648,0.00945931430350072,0.14657957364524885
Int_Med_Cdt1_nuc,0.2689663371644551,-0.5046733847071078,6.568781402869829e-05,0.007758150668249956,0.1357312358608796
Int_Med_pCHK1_nuc,0.23047236782785,0.32934887790097084,0.0003514041059369136,0.0069970375316011834,0.07587915148589505
Int_Med_GSK3b_nuc,0.24087562491291742,0.31112700357368656,7.18100240534366e-05,0.006370461654095113,0.07493753014725285
Int_Med_pp21_nuc,0.1502202771785008,0.4840634471442134,0.00026918646082507963,0.001822480056411836,0.07269657626790466
Int_Med_cycA_ring,0.24751408068677933,0.2937574364225623,0.0007436006696599031,0.0041985479245140065,0.07265507545827056
Int_Med_cycA_cyto,0.24751408068677933,0.2937574364225623,0.0007436006696599031,0.0041985479245140065,0.07265507545827056
Int_Med_pp53_nuc,0.17898490800169775,0.3704153269125631,0.0005675939477793879,0.0026658420916750914,0.06626114378567821
Int_Med_cycE_nuc,0.17067147883069003,0.36154346809320304,0.000594664773861354,0.0015232978580284942,0.061668486284592566
Int_Med_cycD1_nuc,0.3201656644955634,-0.15777634535034174,0.0008165982182420096,0.012135797142812179,0.05047335200146057
Int_Med_p16_nuc,0.1440895079050257,0.3242281444594991,0.0001987353091764687,0.013392025324032901,0.04670859113782783
Int_Med_p53_nuc,0.152572958580057,0.29796223528395205,0.0007376654990068572,0.0091089328643231,0.04542746950543827
Int_Med_pAKT_cell,0.1862295847124888,-0.24059667631057924,0.0011868714737435734,0.012742521074415288,0.0447531029312936
Int_MeanEdge_cycB1_cell,0.16208873365512505,0.274448762228661,0.001033913296820656,0.016827977394110485,0.04443910614012307
Int_Med_pAKT_ring,0.17637314310232216,-0.24997320120585825,0.001253215834718969,0.012575391811112675,0.04403337586413734
Int_Med_pAKT_cyto,0.17637314310232216,-0.24997320120585825,0.001253215834718969,0.012575391811112675,0.04403337586413734
Int_MeanEdge_pAKT_cell,0.16618125545744702,-0.25311296386772736,0.00020718093574070736,0.009433495306080177,0.04205391733814868
Int_Med_cFos_nuc,0.13299031184274832,0.31391288072518436,0.002922912398268879,0.009645230412181674,0.041625703613917944
Int_Med_BP1_nuc,0.15218307416425228,0.2680758638404665,0.0007867845921109245,0.013557214357245521,0.04076453615952485
Int_Med_p38_nuc,0.18605632860592416,0.20726432061059424,0.00013092843050750247,0.0041427583529359754,0.03855779023284932
Int_Med_pRB_nuc,0.14938842117430332,0.2582264626136358,0.0007822337747084287,0.026878338133693676,0.038545891656946
Int_Med_CDK6_nuc,0.1443904888721919,0.2602163261912233,0.0004076296796652988,0.004171435906486077,0.03755745301873342
Int_Med_PCNA_ring,0.13183826214908906,-0.2745114406756147,4.710455297514792e-05,0.0030177129836559033,0.036189406592895816
Int_Med_PCNA_cyto,0.13183826214908906,-0.2745114406756147,4.710455297514792e-05,0.0030177129836559033,0.036189406592895816
Int_Med_p21_nuc,0.15840576935113687,-0.22669044155715593,0.00036836304626897533,0.011806679876822051,0.03589585109435268
Int_Med_pAKT_nuc,0.24825973591759937,-0.14149436584683492,0.0009713730742772648,0.007315480057484531,0.03509326524601497
Int_Med_cycA_cell,0.11047526225789968,0.28653325024829934,0.0005031957820878125,0.0006553465704172995,0.031638915398011155
Int_Med_CDK4_nuc,0.1750913440988149,0.163320444142171,0.00013111586423196836,0.007908524959346174,0.02859224718646796
Int_Med_pGSK3b_nuc,0.1571370737117525,0.17471514653448733,0.00011343083060351066,0.01013693511599232,0.027451113056994336
Int_MeanEdge_pERK_cell,0.10441731559644407,-0.23287717648141512,0.0008018489459779661,0.013470178227465116,0.024296927166429817
Int_Med_bCat_nuc,0.12096036711363542,0.18944362607729187,0.00287616023882759,0.0044229022310353985,0.022849451872692255
Int_Med_pp38_nuc,0.10422105040875708,0.20999956954906698,0.0011515766166292248,0.004701232766212312,0.021861200876050306
